query	44 references	461 citations	VinVL: Revisiting Visual Representations in Vision-Language Models
citation	235692795	259203790	0	Dense Video Object Captioning from Disjoint Supervision
citation	235692795	259202917	0	LLMVA-GEBC: Large Language Model with Video Adapter for Generic Event Boundary Captioning
citation	235692795	259164927	0	Efficient Token-Guided Image-Text Retrieval with Consistent Multimodal Contrastive Training
citation	235692795	259137821	0	Scalable 3D Captioning with Pretrained Models
citation	235692795	259137818	0	Global and Local Semantic Completion Learning for Vision-Language Pre-training
citation	235692795	259129746	1	Embodied Executable Policy Learning with Language-based Scene Summarization
citation	235692795	259108365	0	Dealing with Semantic Underspecification in Multimodal NLP
citation	235692795	259108774	0	Modular Visual Question Answering via Code Generation
citation	235692795	259096008	1	Fine-Grained Visual Prompting
citation	235692795	259088810	0	Diversifying Joint Vision-Language Tokenization Learning
citation	235692795	259075604	0	VisualGPTScore: Visio-Linguistic Reasoning with Multimodal Generative Pre-Training Scores
citation	235692795	258511255	10	VLT: Vision-Language Transformer and Query Generation for Referring Segmentation
citation	235692795	258999962	0	GPT4Image: Can Large Pre-trained Models Help Vision Models on Perception Tasks?
citation	235692795	258999948	0	CapText: Large Language Model-based Caption Generation From Image Context and Description
citation	235692795	258999712	0	ManagerTower: Aggregating the Insights of Uni-Modal Experts for Vision-Language Representation Learning
citation	235692795	258987617	0	Joint Adaptive Representations for Image-Language Learning
citation	235692795	258968058	0	Scalable Performance Analysis for Vision-Language Models
citation	235692795	258968151	0	Enhanced Chart Understanding in Vision and Language Task via Cross-modal Pre-training on Plot Table Pairs
citation	235692795	258960254	0	FuseCap: Leveraging Large Language Models to Fuse Visual Data into Enriched Image Captions
citation	235692795	258959382	0	PuMer: Pruning and Merging Tokens for Efficient Vision Language Models
citation	235692795	258947273	0	AlignScore: Evaluating Factual Consistency with a Unified Alignment Function
citation	235692795	258888004	0	HAAV: Hierarchical Aggregation of Augmented Views for Image Captioning
citation	235692795	258865919	0	Measuring Faithful and Plausible Visual Grounding in VQA
citation	235692795	258888223	0	Weakly Supervised Vision-and-Language Pre-training with Relative Representations
citation	235692795	258378331	0	Pento-DIARef: A Diagnostic Dataset for Learning the Incremental Algorithm for Referring Expression Generation from Examples
citation	235692795	258865775	0	SmartTrim: Adaptive Tokens and Parameters Pruning for Efficient Vision-Language Models
citation	235692795	258865250	0	Exploring Diverse In-Context Configurations for Image Captioning
citation	235692795	258866014	0	NuScenes-QA: A Multi-modal Visual Question Answering Benchmark for Autonomous Driving Scenario
citation	235692795	258865419	0	GRILL: Grounded Vision-language Pre-training via Aligning Text and Image Regions
citation	235692795	258840965	2	Coarse-to-Fine Contrastive Learning in Image-Text-Graph Space for Improved Vision-Language Compositionality
citation	235692795	258841131	0	Training Transitive and Commutative Multimodal Transformers with LoReTTa
citation	235692795	258841566	0	UNIMO-3: Multi-granularity Interaction for Vision-Language Representation Learning
citation	235692795	258822906	0	TreePrompt: Learning to Compose Tree Prompts for Explainable Visual Grounding
citation	235692795	258762390	2	ONE-PEACE: Exploring One General Representation Model Toward Unlimited Modalities
citation	235692795	258762636	1	Instruct2Act: Mapping Multi-modality Instructions to Robotic Actions with Large Language Model
citation	235692795	258762221	0	Rethinking Multimodal Content Moderation from an Asymmetric Angle with Mixed-modality
citation	235692795	258740697	3	Evaluating Object Hallucination in Large Vision-Language Models
citation	235692795	258740805	0	An Empirical Study on the Language Modal in Visual Question Answering
citation	235692795	258676204	2	Measuring Progress in Fine-grained Vision-and-Language Understanding
citation	235692795	258615698	0	Simple Token-Level Confidence Improves Caption Correctness
citation	235692795	258588434	0	InfoMetIC: An Informative Metric for Reference-free Image Caption Evaluation
citation	235692795	258557622	0	OpenViVQA: Task, Dataset, and Multimodal Fusion Models for Visual Question Answering in Vietnamese
citation	235692795	258587972	1	Structure-CLIP: Enhance Multi-modal Language Representations with Structure Knowledge
citation	235692795	258546995	0	COLA: How to adapt vision-language models to Compose Objects Localized with Attributes?
citation	235692795	258479921	0	Multi-Modality Deep Network for JPEG Artifacts Reduction
citation	235692795	258461558	0	Transforming Visual Scene Graphs to Image Captions
citation	235692795	258427120	1	ArK: Augmented Reality with Knowledge Interactive Emergent Ability
citation	235692795	258378175	0	Multimodal Graph Transformer for Multimodal Question Answering
citation	235692795	258418220	0	Quality-agnostic Image Captioning to Safely Assist People with Vision Impairment
citation	235692795	258418310	1	Interpreting Vision and Language Generative Models with Semantic Visual Priors
citation	235692795	258331790	0	From Association to Generation: Text-only Captioning by Unsupervised Cross-modal Mapping
citation	235692795	258352499	0	Towards Medical Artificial General Intelligence via Knowledge-Enhanced Multimodal Pretraining
citation	235692795	258291554	0	Rethinking Benchmarks for Cross-modal Image-text Retrieval
citation	235692795	258291685	0	RoCOCO: Robust Benchmark MS-COCO to Stress-test Robustness of Image-Text Matching Models
citation	235692795	258236591	0	Movie Box Office Prediction With Self-Supervised and Visually Grounded Pretraining
citation	235692795	258179576	8	VALOR: Vision-Audio-Language Omni-Perception Pretraining Model and Dataset
citation	235692795	258108138	4	What does CLIP know about a red circle? Visual prompt engineering for VLMs
citation	235692795	258108191	0	Converting ECG Signals to Images for Efficient Image-text Retrieval via Encoding
citation	235692795	258060056	0	FashionSAP: Symbols and Attributes Prompt for Fine-grained Fashion Vision-Language Pre-training
citation	235692795	258079058	0	MoMo: A shared encoder Model for text, image and multi-Modal representations
citation	235692795	258048942	0	CAVL: Learning Contrastive and Adaptive Representations of Vision and Language
citation	235692795	258066076	0	Generative image captioning in Urdu using deep learning
citation	235692795	257985469	0	Learning Instance-Level Representation for Large-Scale Multi-Modal Pretraining in E-commerce
citation	235692795	259028453	0	Attending to Transforms: A Survey on Transformer-based Image Captioning
citation	235692795	257952390	1	Calibrating Cross-modal Feature for Text-Based Person Searching
citation	235692795	257913455	0	Multi-Modal Representation Learning with Text-Driven Soft Masks
citation	235692795	258234923	0	Dual-decoder transformer network for answer grounding in visual question answering
citation	235692795	258341194	0	Question-aware Dynamic Scene Graph of Local Semantic Representation Learning for Visual Question Answering
citation	235692795	257901059	0	DIME-FM: DIstilling Multimodal and Efficient Foundation Models
citation	235692795	257833991	3	SoftCLIP: Softer Cross-modal Alignment Makes CLIP Stronger
citation	235692795	257804657	3	MaMMUT: A Simple Architecture for Joint Learning for MultiModal Tasks
citation	235692795	257807793	1	A Review of the Application of Multi-modal Deep Learning in Medicine: Bibliometrics and Future Directions
citation	235692795	257771567	0	Variational Distribution Learning for Unsupervised Text-to-Image Generation
citation	235692795	257771855	0	KERM: Knowledge Enhanced Reasoning for Vision-and-Language Navigation
citation	235692795	257766245	2	Equivariant Similarity for Vision-Language Foundation Models
citation	235692795	257757267	1	Accelerating Vision-Language Pretraining with Free Language Modeling
citation	235692795	257687801	3	CoBIT: A Contrastive Bi-directional Image-Text Generation Model
citation	235692795	257687675	0	FER-former: Multi-modal Transformer for Facial Expression Recognition
citation	235692795	257687614	0	Open-Vocabulary Object Detection using Pseudo Caption Labels
citation	235692795	257636561	25	A Complete Survey on Generative AI (AIGC): Is ChatGPT from GPT-4 to GPT-5 All You Need?
citation	235692795	257636716	0	VideoXum: Cross-modal Visual and Textural Summarization of Videos
citation	235692795	257663410	1	Positive-Augmented Constrastive Learning for Image and Video Captioning Evaluation
citation	235692795	257631557	2	DeAR: Debiasing Vision-Language Models with Additive Residuals
citation	235692795	257557621	1	GridCLIP: One-Stage Object Detection by Grid-Level CLIP Representation Learning
citation	235692795	257505509	0	Efficient Image-Text Retrieval via Keyword-Guided Pre-Screening
citation	235692795	257496100	3	Scaling Vision-Language Models with Sparse Mixture of Experts
citation	235692795	257482355	5	Tag2Text: Guiding Vision-Language Model via Image Tagging
citation	235692795	258557855	0	Refined Vision-Language Modeling for Fine-grained Multi-modal Pre-training
citation	235692795	257364847	2	CleanCLIP: Mitigating Data Poisoning Attacks in Multimodal Contrastive Learning
citation	235692795	257364802	0	Models See Hallucinations: Evaluating the Factuality in Video Captioning
citation	235692795	257364872	1	FAME-ViL: Multi-Tasking Vision-Language Model for Heterogeneous Fashion Tasks
citation	235692795	257365573	3	ConZIC: Controllable Zero-shot Image Captioning by Sampling-Based Polishing
citation	235692795	257365896	4	Prismer: A Vision-Language Model with An Ensemble of Experts
citation	235692795	257353536	8	Prompting Large Language Models with Answer Heuristics for Knowledge-based Visual Question Answering
citation	235692795	257280308	1	MixPHM: Redundancy-Aware Parameter-Efficient Tuning for Low-Resource Visual Question Answering
citation	235692795	256630986	0	Understanding Social Media Cross-Modality Discourse in Linguistic Space
citation	235692795	257103228	0	TEVL: Trilinear Encoder for Video-Language Representation Learning
citation	235692795	257102608	1	HL Dataset: Grounding High-Level Linguistic Concepts in Vision
citation	235692795	257078872	1	Entity-Level Text-Guided Image Manipulation
citation	235692795	257038341	14	Large-scale Multi-Modal Pre-trained Models: A Comprehensive Survey
citation	235692795	257038499	0	STOA-VLP: Spatial-Temporal Modeling of Object and Action for Video-Language Pre-training
citation	235692795	257019883	0	Multimodal Propaganda Processing
citation	235692795	257019905	1	Towards Unifying Medical Vision-and-Language Pre-training via Soft Prompts
citation	235692795	256869991	5	PolyFormer: Referring Image Segmentation as Sequential Polygon Generation
citation	235692795	256826738	0	Differentiable Outlier Detection Enable Robust Deep Multimodal Analysis
citation	235692795	256697441	1	Re-ViLM: Retrieval-Augmented Visual Language Model for Zero and Few-Shot Image Captioning
citation	235692795	256627601	17	Hard Prompts Made Easy: Gradient-Based Discrete Optimization for Prompt Tuning and Discovery
citation	235692795	256658643	1	Sentimental Visual Captioning using Multimodal Transformer
citation	235692795	256597954	0	DEVICE: DEpth and VIsual ConcEpts Aware Transformer for TextCaps
citation	235692795	256459691	0	Multimodality Representation Learning: A Survey on Evolution, Pretraining and Its Applications
citation	235692795	252153973	1	Deep Supervised Dual Cycle Adversarial Network for Cross-Modal Retrieval
citation	235692795	259122077	0	A Study of Visual Question Answering Techniques Based on Collaborative Multi-Head Attention
citation	235692795	257038777	1	MAKE: Vision-Language Pre-training based Product Retrieval in Taobao Search
citation	235692795	258960373	0	Red teaming ChatGPT via Jailbreaking: Bias, Robustness, Reliability and Toxicity
citation	235692795	256389713	1	Debiased Fine-Tuning for Vision-language Models by Prompt Regularization
citation	235692795	256274922	1	Towards a Unified Model for Generating Answers and Explanations in Visual Question Answering
citation	235692795	256288570	1	Fashion-Oriented Image Captioning with External Knowledge Retrieval and Fully Attentive Gates
citation	235692795	255998461	3	Joint Representation Learning for Text and 3D Point Cloud
citation	235692795	255998421	0	Embodied Agents for Efficient Exploration and Smart Scene Description
citation	235692795	255749525	0	Toward Building General Foundation Models for Language, Vision, and Vision-Language Understanding Tasks
citation	235692795	255749414	0	Scene-centric vs. Object-centric Image-Text Cross-modal Retrieval: A Reproducibility Study
citation	235692795	258009239	0	CITE: Compact Interactive TransformEr for Multilingual Image Captioning
citation	235692795	255440399	0	GIVL: Improving Geographical Inclusivity of Vision-Language Models with Pre-Training Methods
citation	235692795	255440620	2	SPRING: Situated Conversation Agent Pretrained with Multimodal Questions from Incremental Layout Graph
citation	235692795	255440590	0	Adaptively Clustering Neighbor Elements for Image Captioning
citation	235692795	253187871	0	How to Practice VQA on a Resource-limited Target Domain
citation	235692795	256659010	1	GAFNet: A Global Fourier Self Attention Based Novel Network for multi-modal downstream tasks
citation	235692795	256652844	3	Fashion Image Retrieval with Text Feedback by Additive Attention Compositional Learning
citation	235692795	254926770	14	Generalized Decoding for Pixel, Image, and Language
citation	235692795	254926627	7	From Images to Textual Prompts: Zero-shot VQA with Frozen Large Language Models
citation	235692795	254853824	0	Efficient Image Captioning for Edge Devices
citation	235692795	254823508	1	Enhancing Multi-modal and Multi-hop Question Answering via Structured Knowledge and Unified Retrieval-Generation
citation	235692795	254686009	5	Are Multimodal Models Robust to Image and Text Perturbations?
citation	235692795	254636197	3	NLIP: Noise-robust Language-Image Pre-training
citation	235692795	254685851	9	CREPE: Can Vision-Language Foundation Models Reason Compositionally?
citation	235692795	254564204	6	REVEAL: Retrieval-Augmented Visual-Language Pre-Training with Multi-Source Multimodal Knowledge Memory
citation	235692795	254535929	9	VindLU: A Recipe for Effective Video-and-Language Pretraining
citation	235692795	254408945	1	BEVBert: Topo-Metric Map Pre-training for Language-guided Navigation
citation	235692795	257557855	0	Vision and Structured-Language Pretraining for Cross-Modal Food Retrieval
citation	235692795	254275009	2	Switching to Discriminative Image Captioning by Relieving a Bottleneck of Reinforcement Learning
citation	235692795	254247022	2	Controllable Image Captioning via Prompting
citation	235692795	254247171	7	Named Entity and Relation Extraction with Multi-Modal Retrieval
citation	235692795	254247167	1	Compound Tokens: Channel Fusion for Vision-Language Representation Learning
citation	235692795	254212572	1	Fusion of tactile and visual information in deep learning models for object recognition
citation	235692795	254069789	0	SLAN: Self-Locator Aided Network for Cross-Modal Understanding
citation	235692795	254043830	3	DQ-DETR: Dual Query Detection Transformer for Phrase Extraction and Grounding
citation	235692795	254044466	0	CLID: Controlled-Length Image Descriptions with Limited Data
citation	235692795	254017749	3	Language-Assisted 3D Feature Learning for Semantic Scene Understanding
citation	235692795	254017997	0	Seeing What You Miss: Vision-Language Pre-training with Semantic Completion Learning
citation	235692795	253761483	8	X2-VLM: All-In-One Pre-trained Model For Vision-Language Tasks
citation	235692795	253761575	2	Visually Grounded Commonsense Knowledge Acquisition
citation	235692795	253734932	1	PERCEIVER-VL: Efficient Vision-and-Language Modeling with Iterative Latent Attention
citation	235692795	253734247	7	Multitask Vision-Language Prompt Tuning
citation	235692795	253734782	2	You Need Multiple Exiting: Dynamic Early Exiting for Accelerating Unified Vision Language Model
citation	235692795	253734954	8	Diffusion-Based Scene Graph to Image Generation with Masked Contrastive Pre-Training
citation	235692795	253735003	1	SMAUG: Sparse Masked Autoencoder for Efficient Video-Language Pre-training
citation	235692795	253735413	6	Exploring Discrete Diffusion Models for Image Captioning
citation	235692795	253761197	2	A survey on knowledge-enhanced multimodal learning
citation	235692795	253734377	0	Detect Only What You Specify : Object Detection with Linguistic Target
citation	235692795	253764007	2	Contextual and selective attention networks for image captioning
citation	235692795	253581370	1	CapEnrich: Enriching Caption Semantics for Web Images via Cross-modal Pre-trained Knowledge
citation	235692795	254043633	0	Text-Aware Dual Routing Network for Visual Question Answering
citation	235692795	253581319	19	PromptCap: Prompt-Guided Task-Aware Image Captioning
citation	235692795	253510733	0	ContextCLIP: Contextual Alignment of Image-Text pairs on CLIP visual representations
citation	235692795	253510895	0	Large-Scale Bidirectional Training for Zero-Shot Image Captioning
citation	235692795	253420317	1	Understanding Cross-modal Interactions in V&L Models that Generate Scene Descriptions
citation	235692795	253254967	11	Chinese CLIP: Contrastive Vision-Language Pretraining in Chinese
citation	235692795	253516603	0	Fine-grained classification of drug trafficking based on Instagram hashtags
citation	235692795	253905588	1	Modeling graph-structured contexts for image captioning
citation	235692795	253244258	10	Text-Only Training for Image Captioning using Noise-Injected CLIP
citation	235692795	253244281	5	Behavioral Intention Prediction in Driving Scenes: A Survey
citation	235692795	253244224	2	Training Vision-Language Models with Less Bimodal Supervision
citation	235692795	248171717	1	Data-Driven Fuzzy Target-Side Representation for Intelligent Translation System
citation	235692795	253157329	1	Generalization Differences between End-to-End and Neuro-Symbolic Vision-Language Reasoning Systems
citation	235692795	253116580	0	Compressing And Debiasing Vision-Language Pre-Trained Models for Visual Question Answering
citation	235692795	253107241	4	VLC-BERT: Visual Question Answering with Contextualized Commonsense Knowledge
citation	235692795	253107301	2	Learning by Hallucinating: Vision-Language Pre-training with Weak Supervision
citation	235692795	253098236	1	Dissecting Deep Metric Learning Losses for Image-Text Retrieval
citation	235692795	253080885	2	Do Vision-and-Language Transformers Learn Grounded Predicate-Noun Dependencies?
citation	235692795	253080390	0	Describing Sets of Images with Textual-PCA
citation	235692795	253018728	1	Visual Spatial Description: Controlled Spatial-Oriented Image-to-Text Generation
citation	235692795	253018484	0	Image-Text Retrieval with Binary and Continuous Label Supervision
citation	235692795	252905020	3	Contrastive Label Correlation Enhanced Unified Hashing Encoder for Cross-modal Retrieval
citation	235692795	253337200	1	Relation Enhanced Vision Language Pre-Training
citation	235692795	252907639	3	Plausible May Not Be Faithful: Probing Object Hallucination in Vision-Language Pre-training
citation	235692795	252907558	3	EfficientVLM: Fast and Accurate Vision-Language Models via Knowledge Distillation and Modal-adaptive Pruning
citation	235692795	252873086	10	MAPL: Parameter-Efficient Adaptation of Unimodal Pre-Trained Models for Vision-Language Few-Shot Prompting
citation	235692795	252846643	0	One does not fit all! On the Complementarity of Vision Encoders for Vision and Language Tasks
citation	235692795	257766747	0	MAP: Multimodal Uncertainty-Aware Vision-Language Pre-training Model
citation	235692795	252783028	1	CMAL: A Novel Cross-Modal Associative Learning Framework for Vision-Language Pre-Training
citation	235692795	252782264	0	MoZuMa: A Model Zoo for Multimedia Applications
citation	235692795	252783076	1	Image Understanding by Captioning with Differentiable Architecture Search
citation	235692795	252782511	2	CAliC: Accurate and Efficient Image-Text Retrieval via Contrastive Alignment and Visual Contexts Modeling
citation	235692795	252783135	2	Unsupervised and Pseudo-Supervised Vision-Language Alignment in Visual Dialog
citation	235692795	252782997	0	AI-VQA: Visual Question Answering based on Agent Interaction with Interpretability
citation	235692795	255441409	0	B-AIS: An Automated Process for Black-box Evaluation of Visual Perception in AI-enabled Software against Domain Semantics
citation	235692795	252780722	1	VoLTA: Vision-Language Transformer with Weakly-Supervised Local-Feature Alignment
citation	235692795	252780916	2	MAMO: Masked Multimodal Modeling for Fine-Grained Vision-Language Representation Learning
citation	235692795	252780197	0	Learning Fine-Grained Visual Understanding for Video Question Answering via Decoupling Spatial-Temporal Modeling
citation	235692795	252780775	12	Retrieval Augmented Visual Question Answering with Outside Knowledge
citation	235692795	252735160	9	MuRAG: Multimodal Retrieval-Augmented Generator for Open Question Answering over Images and Text
citation	235692795	252735318	4	A New Path: Scaling Vision-and-Language Navigation with Synthetic Instructions and Imitation Learning
citation	235692795	252668454	9	Medical Image Understanding with Pretrained Vision Language Models: A Comprehensive Study
citation	235692795	252568043	1	Human-in-the-loop Robotic Grasping Using BERT Scene Representation
citation	235692795	252531901	0	Paraphrasing Is All You Need for Novel Object Captioning
citation	235692795	252407476	2	Show, Interpret and Tell: Entity-aware Contextualised Image Captioning in Wikipedia
citation	235692795	252352485	0	A BERT-based Language Modeling Framework
citation	235692795	252344571	2	Multilevel attention and relation network based image captioning model
citation	235692795	252280603	11	Align, Reason and Learn: Enhancing Medical Vision-and-Language Pre-training with Knowledge
citation	235692795	252283985	41	OmniVL: One Foundation Model for Image-Language and Video-Language Tasks
citation	235692795	252222320	120	PaLI: A Jointly-Scaled Multilingual Language-Image Model
citation	235692795	257255497	1	Correlation Information Bottleneck: Towards Adapting Pretrained Multimodal Models for Robust Visual Question Answering
citation	235692795	252113622	2	Multimodal detection of hateful memes by applying a vision-language pre-training model
citation	235692795	252211618	2	VL-Taboo: An Analysis of Attribute-based Zero-shot Capabilities of Vision-Language Models
citation	235692795	252185148	6	Pre-training image-language transformers for open-vocabulary tasks
citation	235692795	253462256	0	Image Captioning using Pretrained Language Models and Image Segmentation
citation	235692795	256615676	1	Universal Vision-Language Dense Retrieval: Learning A Unified Representation Space for Multi-Modal Retrieval
citation	235692795	252574390	2	Graph neural network-based visual relationship and multilevel attention for image captioning
citation	235692795	251903171	9	Efficient Vision-Language Pretraining with Visual Concepts and Hierarchical Alignment
citation	235692795	251765309	0	FashionVQA: A Domain-Specific Visual Question Answering System
citation	235692795	251741496	0	Learning More May Not Be Better: Knowledge Transferability in Vision and Language Tasks
citation	235692795	251814882	2	U-BERT for Fast and Scalable Text-Image Retrieval
citation	235692795	251719655	231	Image as a Foreign Language: BEiT Pretraining for All Vision and Vision-Language Tasks
citation	235692795	251643466	8	See Finer, See More: Implicit Modality Alignment for Text-based Person Retrieval
citation	235692795	251623174	7	Towards Open-vocabulary Scene Graph Generation with Prompt-based Finetuning
citation	235692795	251493129	2	ARMANI: Part-level Garment-Text Alignment for Unified Cross-Modal Fashion Design
citation	235692795	251442553	1	Attribute Controllable Beautiful Caucasian Face Generation by Aesthetics Driven Reinforcement Learning
citation	235692795	251320380	14	Fine-Grained Semantically Aligned Vision-Language Pre-Training
citation	235692795	251280143	10	Masked Vision and Language Modeling for Multi-modal Representation Learning
citation	235692795	252165089	0	Action Semantic Alignment for Image Captioning
citation	235692795	252165758	0	Towards Multimodal Semantic Consistency Analysis of Long Form Articles
citation	235692795	251223804	0	Augmenting Vision Language Pretraining by Learning Codebook with Visual Semantics
citation	235692795	251196992	1	Curriculum Learning for Data-Efficient Vision-Language Alignment
citation	235692795	251196713	2	ALADIN: Distilling Fine-grained Alignment Scores for Efficient Image-Text Matching and Retrieval
citation	235692795	251066774	6	LaKo: Knowledge-driven Visual Question Answering via Late Knowledge-to-Text Injection
citation	235692795	251018313	9	Zero-Shot Video Captioning with Evolving Pseudo-Tokens
citation	235692795	251018605	4	Efficient Modeling of Future Context for Image Captioning
citation	235692795	250698884	24	GRIT: Faster and Better Image captioning Transformer Using Dual Visual Features
citation	235692795	250626667	0	Towards the Human Global Context: Does the Vision-Language Model Really Judge Like a Human Being?
citation	235692795	250644478	21	Exploiting Unlabeled Data with Vision and Language Models for Object Detection
citation	235692795	250627337	11	FashionViL: Fashion-Focused Vision-and-Language Representation Learning
citation	235692795	250451319	5	IDEA: Increasing Text Diversity via Online Multi-Label Recognition for Vision-Language Pre-training
citation	235692795	250393402	1	Pre-Training and Fine-Tuning with Next Sentence Prediction for Multimodal Entity Linking
citation	235692795	252017908	1	On Multimodal Semantic Consistency Detection of News Articles with Image Caption Pairs
citation	235692795	250279886	0	Vision-and-Language Pretraining
citation	235692795	250279986	2	Toward Explainable and Fine-Grained 3D Grounding through Referring Textual Phrases
citation	235692795	250264976	5	DUET: Cross-modal Semantic Grounding for Contrastive Zero-shot Learning
citation	235692795	250265008	1	Exploiting Context Information for Generic Event Boundary Captioning
citation	235692795	250244105	14	VL-CheckList: Evaluating Pre-trained Vision-Language Models with Objects, Attributes and Relations
citation	235692795	250243960	5	e-CLIP: Large-Scale Vision-Language Representation Learning in E-commerce
citation	235692795	250636850	1	Visual Emotion Representation Learning via Emotion-Aware Pre-training
citation	235692795	250192188	2	Deep Vision Multimodal Learning: Methodology, Benchmark, and Trend
citation	235692795	250303261	7	Are Vision-Language Transformers Learning Multimodal Representations? A Probing Perspective
citation	235692795	249848207	12	VLMixer: Unpaired Vision-Language Pre-training via Cross-Modal CutMix
citation	235692795	249848120	10	Bridge-Tower: Building Bridges Between Encoders in Vision-Language Representation Learning
citation	235692795	249674874	33	Coarse-to-Fine Vision-Language Pre-training with Fusion in the Backbone
citation	235692795	256901258	4	Write and Paint: Generative Vision-Language Models are Unified Modal Learners
citation	235692795	249674329	14	Measuring Representational Harms in Image Captioning
citation	235692795	249674556	21	LAVENDER: Unifying Video-Language Understanding as Masked Language Modeling
citation	235692795	249642175	55	Multimodal Learning with Transformers: A Survey
citation	235692795	249626342	58	GLIPv2: Unifying Localization and Vision-Language Understanding
citation	235692795	249626158	3	A Unified Continuous Learning Framework for Multi-modal Knowledge Discovery and Pre-training
citation	235692795	249605577	0	Symbolic image detection using scene and knowledge graphs
citation	235692795	249431964	8	Detection Hub: Unifying Object Detection Datasets via Query Adaptation on Language Embedding
citation	235692795	249375629	36	A-OKVQA: A Benchmark for Visual Question Answering using World Knowledge
citation	235692795	249282486	18	REVIVE: Regional Visual Representation Matters in Knowledge-Based Visual Question Answering
citation	235692795	249282645	20	VL-BEiT: Generative Vision-Language Pretraining
citation	235692795	249438653	21	FashionVLP: Vision Language Transformer for Fashion Retrieval with Feedback
citation	235692795	251020112	14	The Unreasonable Effectiveness of CLIP Features for Image Captioning: An Experimental Analysis
citation	235692795	250150680	0	VisualHow: Multimodal Problem Solving
citation	235692795	250602160	14	Towards General Purpose Vision Systems: An End-to-End Task-Agnostic Vision-Language Architecture
citation	235692795	250980730	20	3DJCG: A Unified Framework for Joint Dense Captioning and Visual Grounding on 3D Point Clouds
citation	235692795	251024765	3	Learning to Ask Informative Sub-Questions for Visual Question Answering
