query	142 references	11546 citations	Language Models are Few-Shot Learners
reference	218971783	53221289	357	Sentence Encoders on STILTs: Supplementary Training on Intermediate Labeled-data Tasks
reference	218971783	53116244	217	ReCoRD: Bridging the Gap between Human and Machine Commonsense Reading Comprehension
reference	218971783	102353817	271	WiC: the Word-in-Context Dataset for Evaluating Context-Sensitive Meaning Representations
reference	218971783	52109970	36	WiC: 10, 000 Example Pairs for Evaluating Context-Sensitive Representations
reference	218971783	52098907	305	Dissecting Contextual Word Embeddings: Architecture and Representation
reference	218971783	52100101	183	Meta-Learning for Low-Resource Neural Machine Translation
reference	218971783	52055325	803	CoQA: A Conversational Question Answering Challenge
reference	218971783	52057510	568	QuAC: Question Answering in Context
reference	218971783	52183757	423	Can a Suit of Armor Conduct Electricity? A New Dataset for Open Book Question Answering
reference	218971783	52113461	859	Understanding Back-Translation at Scale
reference	218971783	49667762	520	Universal Transformers
reference	218971783	49393754	530	The Natural Language Decathlon: Multitask Learning as Question Answering
reference	218971783	47018994	1866	Know What You Don’t Know: Unanswerable Questions for SQuAD
reference	218971783	47015717	336	A Simple Method for Commonsense Reasoning
reference	218971783	5112038	340	Looking Beyond the Surface: A Challenge Set for Reading Comprehension over Multiple Sentences
reference	218971783	13756572	389	Gender Bias in Coreference Resolution
reference	218971783	13751870	1726	A Call for Clarity in Reporting BLEU Scores
reference	218971783	52123220	133	Collecting Diverse Natural Language Inference Problems for Sentence Representation Evaluation
reference	218971783	3922816	414	Think you have Solved Question Answering? Try ARC, the AI2 Reasoning Challenge
reference	218971783	4537113	894	Annotation Artifacts in Natural Language Inference Data
reference	218971783	3608234	601	Generating Wikipedia by Summarizing Long Sequences
reference	218971783	40100965	2877	Universal Language Model Fine-tuning for Text Classification
reference	218971783	2222076	378	Deep Learning Scaling is Predictable, Empirically
reference	218971783	53592270	8014	Decoupled Weight Decay Regularization
reference	218971783	3462549	88	Few-shot Autoregressive Density Estimation: Towards Learning to Learn Distributions
reference	218971783	9447219	825	Learned in Translation: Contextualized Word Vectors
reference	218971783	13756489	59970	Attention is All you Need
reference	218971783	26501419	1227	TriviaQA: A Large Scale Distantly Supervised Challenge Dataset for Reading Comprehension
reference	218971783	6826032	893	RACE: Large-scale ReAding Comprehension Dataset From Examinations
reference	218971783	2413610	2088	Domain randomization for transferring deep neural networks from simulation to the real world
reference	218971783	6719686	7744	Model-Agnostic Meta-Learning for Fast Adaptation of Deep Networks
reference	218971783	3083502	116	Learning to Optimize Neural Nets
reference	218971783	12462234	1203	Outrageously Large Neural Networks: The Sparsely-Gated Mixture-of-Experts Layer
reference	218971783	67413369	2722	Optimization as a Model for Few-Shot Learning
reference	218971783	14763001	779	RL$^2$: Fast Reinforcement Learning via Slow Reinforcement Learning
reference	218971783	8451212	499	Sequence-Level Knowledge Distillation
reference	218971783	2381275	241	The LAMBADA dataset: Word prediction requiring a broad discourse context
reference	218971783	2928017	1638	Learning to learn by gradient descent by gradient descent
reference	218971783	8909022	5209	Matching Networks for One Shot Learning
reference	218971783	15337246	156	A Corpus and Evaluation Framework for Deeper Understanding of Commonsense Stories
reference	218971783	8224916	411	Adaptive Computation Time for Recurrent Neural Networks
reference	218971783	260422	1036	Exploring the Limits of Language Modeling
reference	218971783	15600925	2156	Improving Neural Machine Translation Models with Monolingual Data
reference	218971783	7138078	1009	Semi-supervised Sequence Learning
reference	218971783	11754890	397	Representation Learning Using Multi-Task Deep Neural Networks for Semantic Classification and Information Retrieval
reference	218971783	7200347	12312	Distilling the Knowledge in a Neural Network
reference	218971783	216034672	347	A Neural Network for Factoid Question Answering over Paragraphs
reference	218971783	1957433	26793	GloVe: Global Vectors for Word Representation
reference	218971783	5028232	53	Edinburgh’s Phrase-based Machine Translation Systems for WMT-14
reference	218971783	6401679	1557	Semantic Parsing on Freebase from Question-Answer Pairs
reference	218971783	18406556	2045	Estimating or Propagating Gradients Through Stochastic Neurons for Conditional Computation
reference	218971783	5959482	26106	Efficient Estimation of Word Representations in Vector Space
reference	218971783	168726441	274	Guide for Conducting Risk Assessments
reference	218971783	434646	423	SemEval-2012 Task 7: Choice of Plausible Alternatives: An Evaluation of Commonsense Causal Reasoning
reference	218971783	15710851	947	The Winograd Schema Challenge
reference	218971783	13886408	3132	SentiWordNet 3.0: An Enhanced Lexical Resource for Sentiment Analysis and Opinion Mining
reference	218971783	8587959	2100	The Third PASCAL Recognizing Textual Entailment Challenge
reference	218971783	9322367	203	Corpus-based Learning of Analogies and Semantic Relations
reference	218971783	29074	164	Combining Independent Modules to Solve Multiple-choice Synonym and Analogy Problems
reference	218971783	1438450	4011	NLTK: The Natural Language Toolkit
reference	218971783	52872549	593	Learning to Learn Using Gradient Descent
reference	218971783	45998148	6319	Multitask Learning
reference	218971783	5151364	933	The Penn Treebank: Annotating Predicate Argument Structure
reference	218971783	15819455	1302	Information-Based Objective Functions for Active Data Selection
reference	218971783	50145091	999	Acquiring a Single New Word
reference	218971783	52967399	53782	BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding
reference	218971783	108303466	34	Multi-Agent Dual Learning
reference	218971783	160025533	10495	Language Models are Unsupervised Multitask Learners
reference	218971783	49313245	5561	Improving Language Understanding by Generative Pre-Training
reference	218971783	5791809	404	The Seventh PASCAL Recognizing Textual Entailment Challenge
reference	218971783	858065	599	The Sixth PASCAL Recognizing Textual Entailment Challenge
reference	218971783	8564414	230	Machine Learning Challenges. Evaluating Predictive Uncertainty, Visual Object Classification, and Recognising Tectual Entailment
reference	218971783	13385138	509	The Second PASCAL Recognising Textual Entailment Challenge
reference	218971783	18306353	26	A Natural Logic Inference System
reference	218971783	*** ERROR ***	{'paperId': None, 'externalIds': None, 'title': 'Ai and efficiency', 'citationCount': None}
reference	218971783	*** ERROR ***	{'paperId': None, 'externalIds': None, 'title': 'Model cards for model reporting, 2018', 'citationCount': None}
reference	218971783	*** ERROR ***	{'paperId': None, 'externalIds': None, 'title': 'The trouble with bias', 'citationCount': None}
reference	218971783	*** ERROR ***	{'paperId': None, 'externalIds': None, 'title': 'Natural language corpus data', 'citationCount': None}
reference	218971783	*** ERROR ***	{'paperId': None, 'externalIds': None, 'title': 'Tr-mt (ensemble)', 'citationCount': None}
citation	218971783	258045456	0	A BERT-based deontic logic learner
citation	218971783	258150972	0	On the class separability of contextual embeddings representations – or “The classifier does not matter when the (text) representation is so good!”
citation	218971783	258318406	0	A social media event detection framework based on transformers and swarm optimization for public notification of crises and emergency management
citation	218971783	258776628	0	Trustworthy journalism through AI
citation	218971783	253360362	0	HardGBM: A Framework for Accurate and Hardware-Efficient Gradient Boosting Machines
citation	218971783	259223966	0	SENECA: building a fully digital neuromorphic processor, design trade-offs and challenges
citation	218971783	259224523	0	Apolitical Intelligence? Auditing Delphi's responses on controversial political issues in the US
citation	218971783	259224700	0	Overview of Robust and Multilingual Automatic Evaluation Metrics for Open-Domain Dialogue Systems at DSTC 11 Track 4
citation	218971783	259224932	0	FLAG: Finding Line Anomalies (in code) with Generative AI
citation	218971783	259223599	0	HotGPT: How to Make Software Documentation More Useful with a Large Language Model?
citation	218971783	259224516	0	Generative Multimodal Entity Linking
citation	218971783	259224426	0	Deep Metric Learning with Soft Orthogonal Proxies
citation	218971783	259224535	0	AI could create a perfect storm of climate misinformation
citation	218971783	259224364	0	Explainable Recommendation with Personalized Review Retrieval and Aspect Learning
citation	218971783	259224497	0	Impacts and Risk of Generative AI Technology on Cyber Defense
citation	218971783	259224345	0	AudioPaLM: A Large Language Model That Can Speak and Listen
citation	218971783	259224520	0	Ladder Fine-tuning approach for SAM integrating complementary network
citation	218971783	259224389	0	Can LLMs Express Their Uncertainty? An Empirical Evaluation of Confidence Elicitation in LLMs
citation	218971783	259224609	0	Accelerated Training via Incrementally Growing Neural Networks using Variance Transfer and Learning Rate Adaptation
citation	218971783	259224666	0	PromptIR: Prompting for All-in-One Blind Image Restoration
citation	218971783	259224905	0	Mapping and Cleaning Open Commonsense Knowledge Bases with Generative Translation
citation	218971783	259212487	0	CompMix: A Benchmark for Heterogeneous Question Answering
citation	218971783	259211856	0	Which Spurious Correlations Impact Reasoning in NLI Models? A Visual Interactive Diagnosis through Data-Constrained Counterfactuals
citation	218971783	259211999	0	Prompt Sapper: A LLM-Empowered Production Tool for Building AI Chains
citation	218971783	259212005	0	Iterated Piecewise Affine (IPA) Approximation for Language Modeling
citation	218971783	259212117	0	Task-Robust Pre-Training for Worst-Case Downstream Adaptation
citation	218971783	259212164	0	Do you still need a manual smart contract audit?
citation	218971783	259211941	0	A Chain of AI-based Solutions for Resolving FQNs and Fixing Syntax Errors in Partial Code
citation	218971783	259212200	0	Solving and Generating NPR Sunday Puzzles with Large Language Models
citation	218971783	259212325	0	EquiformerV2: Improved Equivariant Transformer for Scaling to Higher-Degree Representations
citation	218971783	259211975	0	PriorBand: Practical Hyperparameter Optimization in the Age of Deep Learning
citation	218971783	259212162	0	Limits for Learning with Language Models
citation	218971783	259212276	0	Learning Homogenization for Elliptic Operators
citation	218971783	259212219	0	Mitigating Communication Costs in Neural Networks: The Role of Dendritic Nonlinearity
citation	218971783	259212242	0	Fantastic Weights and How to Find Them: Where to Prune in Dynamic Sparse Training
citation	218971783	259212376	0	End-to-End Augmentation Hyperparameter Tuning for Self-Supervised Anomaly Detection
citation	218971783	259212477	0	Edge Devices Inference Performance Comparison
citation	218971783	259212102	0	Mass-Producing Failures of Multimodal Systems with Language Models
citation	218971783	259224503	0	Evaluating Large Language Models with NeuBAROCO: Syllogistic Reasoning Ability and Human-like Biases
citation	218971783	259224973	0	Auto-BI: Automatically Build BI-Models Leveraging Local Join Prediction and Global Schema Graph
citation	218971783	259203671	0	ChatGPT is not Enough: Enhancing Large Language Models with Knowledge Graphs for Fact-aware Language Modeling
citation	218971783	259212305	0	DynaQuant: Compressing Deep Learning Training Checkpoints via Dynamic Quantization
citation	218971783	259203402	0	ChatGPT Chemistry Assistant for Text Mining and Prediction of MOF Synthesis
citation	218971783	259178060	0	CUFF: A Configurable Uncertainty-driven Forecasting Framework for Green AI Clusters
citation	218971783	259202628	0	Self-learning Monte Carlo with equivariant Transformer
citation	218971783	259202577	0	Eight challenges in developing theory of intelligence
citation	218971783	259203165	0	One model to rule them all: ranking Slovene summarizers
citation	218971783	259203682	0	Explicit Syntactic Guidance for Neural Text Generation
citation	218971783	259203325	0	GIO: Gradient Information Optimization for Training Dataset Selection
citation	218971783	259203385	0	LoSparse: Structured Compression of Large Language Models based on Low-Rank and Sparse Approximation
citation	218971783	259203436	0	Improving Image Captioning Descriptiveness by Ranking and LLM-based Fusion
citation	218971783	259203938	0	Lingua Manga: A Generic Large Language Model Centric System for Data Curation
citation	218971783	259203790	0	Dense Video Object Captioning from Disjoint Supervision
citation	218971783	259203877	0	Segment Anything Model (SAM) for Radiation Oncology
citation	218971783	259203912	0	Towards Theory-based Moral AI: Moral AI with Aggregating Models Based on Normative Ethical Theory
citation	218971783	259202800	0	GUMSum: Multi-Genre Data and Evaluation for English Abstractive Summarization
citation	218971783	259203932	0	The Cultivated Practices of Text-to-Image Generation
citation	218971783	259203115	0	A Simple and Effective Pruning Approach for Large Language Models
citation	218971783	259202938	0	SALSA VERDE: a machine learning attack on Learning With Errors with sparse small secrets
citation	218971783	259203998	0	Textbooks Are All You Need
citation	218971783	259212024	0	SPRINT: Scalable Policy Pre-Training via Language Instruction Relabeling
citation	218971783	259211996	0	Opportunities and Risks of LLMs for Scalable Deliberation with Polis
citation	218971783	259211957	0	Towards Understanding What Code Language Models Learned
citation	218971783	259211890	0	Open-Domain Text Evaluation via Meta Distribution Modeling
citation	218971783	259212340	0	On Compositionality and Improved Training of NADO
citation	218971783	259212020	0	Exploring New Frontiers in Agricultural NLP: Investigating the Potential of Large Language Models for Food Applications
citation	218971783	259213212	0	Near-Duplicate Sequence Search at Scale for Large Language Model Memorization Evaluation
citation	218971783	259223908	0	Designing meaningful continuous representations of T cell receptor sequences with deep generative models
citation	218971783	259224480	0	Comparing deep learning models for volatility prediction using multivariate data
citation	218971783	259196131	0	Evaluating a Large Language Model on Searching for GUI Layouts
citation	218971783	259203367	0	Causal Effect Regularization: Automated Detection and Removal of Spurious Attributes
citation	218971783	259203134	0	JiuZhang 2.0: A Unified Chinese Pre-trained Language Model for Multi-task Mathematical Problem Solving
citation	218971783	259189679	0	Embodying an Interactive AI for Dance Through Movement Ideation
citation	218971783	259203717	0	Large Language Models are Fixated by Red Herrings: Exploring Creative Problem Solving and Einstellung Effect using the Only Connect Wall Dataset
citation	218971783	259076753	0	Towards Automated Interactive Tutoring - Focussing on Misconceptions and Adaptive Level-Specific Feedback
citation	218971783	259189701	0	AnalogiLead: Improving Selection of Analogical Inspirations with Chunking and Recombination
citation	218971783	259189676	0	Investigating the Perception of the Future in GPT-3, -3.5 and GPT-4
citation	218971783	259202854	0	OpenP5: Benchmarking Foundation Models for Recommendation
citation	218971783	259203027	0	Generative Sequential Recommendation with GPTRec
citation	218971783	259203265	0	Evaluating Privacy Questions From Stack Overflow: Can ChatGPT Compete?
citation	218971783	259203723	0	Temporal Data Meets LLM -- Explainable Financial Time Series Forecasting
citation	218971783	259203498	0	Toward the Cure of Privacy Policy Reading Phobia: Automated Generation of Privacy Nutrition Labels From Privacy Policies
citation	218971783	259203213	0	Preserving Commonsense Knowledge from Pre-trained Language Models via Causal Inference
citation	218971783	259203832	0	Simplifying and Empowering Transformers for Large-Graph Representations
citation	218971783	259203425	0	Road Barlow Twins: Redundancy Reduction for Road Environment Descriptors and Motion Prediction
citation	218971783	259203552	0	Multilingual Few-Shot Learning via Language Model Retrieval
citation	218971783	259203913	0	BayLing: Bridging Cross-lingual Alignment and Instruction Following through Interactive Translation for Large Language Models
citation	218971783	259203911	0	MotionGPT: Finetuned LLMs are General-Purpose Motion Generators
citation	218971783	259204134	0	Fine-tuning Large Enterprise Language Models via Ontological Reasoning
citation	218971783	259205622	0	OmniscientDB: A Large Language Model-Augmented DBMS That Knows What Other DBMSs Do Not Know
citation	218971783	259196099	0	Human Expectations and Perceptions of Learning in Machine Teaching
citation	218971783	259203241	0	Language-Guided Generation of Physically Realistic Robot Motion and Control
citation	218971783	259203643	0	Generation of Radiology Findings in Chest X-Ray by Leveraging Collaborative Knowledge
citation	218971783	259203321	0	Gender Bias in Transformer Models: A comprehensive survey
citation	218971783	259202672	0	CompanyKG: A Large-Scale Heterogeneous Graph for Company Similarity Quantification
citation	218971783	258990535	0	In-network Allreduce with Multiple Spanning Trees on PolarFly
citation	218971783	259202592	0	CLARA: Classifying and Disambiguating User Commands for Reliable Interactive Robotic Agents
citation	218971783	259203109	0	AI Clinics on Mobile (AICOM): Universal AI Doctors for the Underserved and Hard-to-Reach
citation	218971783	259203163	0	Bloated Disclosures: Can ChatGPT Help Investors Process Financial Information?
citation	218971783	259202815	0	Snowman: A Million-scale Chinese Commonsense Knowledge Graph Distilled from Foundation Model
citation	218971783	259187980	0	ReactGenie: An Object-Oriented State Abstraction for Complex Multimodal Interactions Using Large Language Models
citation	218971783	259187509	0	GRM: Generative Relevance Modeling Using Relevance-Aware Sample Estimation for Document Retrieval
citation	218971783	259187896	0	Investigating Prompting Techniques for Zero- and Few-Shot Visual Question Answering
citation	218971783	259188051	0	Investigating the Utility of Surprisal from Large Language Models for Speech Synthesis Prosody
citation	218971783	259187929	0	ClinicalGPT: Large Language Models Finetuned with Diverse Medical Data and Comprehensive Evaluation
citation	218971783	259203273	0	Differentiable Instruction Optimization for Cross-Task Generalization
citation	218971783	259178185	1	ChatGPT in the Classroom: A Preliminary Exploration on the Feasibility of Adapting ChatGPT to Support Children’s Information Discovery
citation	218971783	259187507	0	FALL-E: A Foley Sound Synthesis Model and Strategies
citation	218971783	259187722	0	$\pi2\text{vec}$: Policy Representations with Successor Features
citation	218971783	259187719	0	No Strong Feelings One Way or Another: Re-operationalizing Neutrality in Natural Language Inference
citation	218971783	259187796	0	MagicBrush: A Manually Annotated Dataset for Instruction-Guided Image Editing
citation	218971783	259187975	0	Robot Learning with Sensorimotor Pre-training
citation	218971783	259187859	0	MedFMC: A Real-world Dataset and Benchmark For Foundation Model Adaptation in Medical Image Classification
citation	218971783	259187872	0	Clickbait Detection via Large Language Models
citation	218971783	259187921	0	Parameter-efficient is not sufficient: Exploring Parameter, Memory, and Time Efficient Adapter Tuning for Dense Predictions
citation	218971783	259187874	0	Energy-Based Cross Attention for Bayesian Context Update in Text-to-Image Diffusion Models
citation	218971783	259188035	0	Pushing the Limits of ChatGPT on NLP Tasks
citation	218971783	259203397	0	ActiveGLAE: A Benchmark for Deep Active Learning with Transformers
citation	218971783	259203752	0	AD-AutoGPT: An Autonomous GPT for Alzheimer's Disease Infodemiology
citation	218971783	259203337	0	Data Selection for Fine-tuning Large Language Models Using Transferred Shapley Values
citation	218971783	259188012	0	Inverse Scaling: When Bigger Isn't Better
citation	218971783	259203041	0	Thrilled by Your Progress! Large Language Models (GPT-4) No Longer Struggle to Pass Assessments in Higher Education Programming Courses
citation	218971783	259165602	0	Encyclopedic VQA: Visual questions about detailed properties of fine-grained categories
citation	218971783	259165244	0	KoLA: Carefully Benchmarking World Knowledge of Large Language Models
citation	218971783	259165489	0	SCALE: Scaling up the Complexity for Advanced Language Model Evaluation
citation	218971783	259203988	0	Opportunities and Challenges for ChatGPT and Large Language Models in Biomedicine and Health
citation	218971783	259203031	0	Retrieving-to-Answer: Zero-Shot Video Question Answering with Frozen Large Language Models
citation	218971783	259025739	0	Large Scale Foundation Model on Single-cell Transcriptomics
citation	218971783	259164647	0	Deep Generative Models for Decision-Making and Control
citation	218971783	259165390	0	Improving Reading Comprehension Question Generation with Data Augmentation and Overgenerate-and-rank
citation	218971783	259164643	0	Diplomat: A Dialogue Dataset for Situated PragMATic Reasoning
citation	218971783	259164637	0	Knowledge Guided Representation Learning and Causal Structure Learning in Soil Science
citation	218971783	259164707	0	ViP: A Differentially Private Foundation Model for Computer Vision
citation	218971783	259165195	0	Active Representation Learning for General Task Space with Applications in Robotics
citation	218971783	259165061	0	Opportunities for Large Language Models and Discourse in Engineering Design
citation	218971783	259165387	0	Safeguarding Crowdsourcing Surveys from ChatGPT with Prompt Injection
citation	218971783	259165520	0	Exploring the MIT Mathematics and EECS Curriculum Using Large Language Models
citation	218971783	259165667	0	Interleaving Pre-Trained Language Models and Large Language Models for Zero-Shot NL2SQL Generation
citation	218971783	259165640	0	Neural models for Factual Inconsistency Classification with Explanations
citation	218971783	259164968	0	MetricPrompt: Prompting Model as a Relevance Metric for Few-shot Text Classification
citation	218971783	259165597	0	ArchGym: An Open-Source Gymnasium for Machine Learning Assisted Architecture Design
citation	218971783	259165040	0	LVLM-eHub: A Comprehensive Evaluation Benchmark for Large Vision-Language Models
citation	218971783	259164398	0	Matching Pairs: Attributing Fine-Tuned Models to their Pre-Trained Large Language Models
citation	218971783	259165461	0	Macaw-LLM: Multi-Modal Language Modeling with Image, Audio, Video, and Text Integration
citation	218971783	259167991	0	Automatic depression severity assessment with deep learning using parameter-efficient tuning
citation	218971783	259171763	0	Language-Guided Music Recommendation for Video via Prompt Analogies
citation	218971783	259171769	0	PaReprop: Fast Parallelized Reversible Backpropagation
citation	218971783	259171767	0	SIGHT: A Large Annotated Dataset on Student Insights Gathered from Higher Education Transcripts
citation	218971783	259171750	0	DreamHuman: Animatable 3D Avatars from Text
citation	218971783	259171762	0	Lexical Speaker Error Correction: Leveraging Language Models for Speaker Diarization Error Correction
citation	218971783	259171765	0	Semantic HELM: An Interpretable Memory for Reinforcement Learning
citation	218971783	259187506	0	Block-State Transformer
citation	218971783	259187545	0	Tighter Prediction Intervals for Causal Outcomes Under Hidden Confounding
citation	218971783	259187620	0	Explore, Establish, Exploit: Red Teaming Language Models from Scratch
citation	218971783	259187807	0	Building blocks for complex tasks: Robust generative event extraction for radiology reports under domain shifts
citation	218971783	259188047	0	Understanding Parameter Sharing in Transformers
citation	218971783	259187951	0	ChatGPT for Suicide Risk Assessment on Social Media: Quantitative Evaluation of Model Performance, Potentials and Limitations
citation	218971783	259187949	0	Explaining Legal Concepts with Augmented Large Language Models (GPT-4)
citation	218971783	259164631	0	DistSim: A performance model of large-scale hybrid distributed DNN training
citation	218971783	259164765	0	Towards AGI in Computer Vision: Lessons Learned from GPT and Large Language Models
citation	218971783	259164714	0	Language models are not naysayers: An analysis of language models on negation benchmarks
citation	218971783	259164906	0	Language to Rewards for Robotic Skill Synthesis
citation	218971783	259165563	0	Unifying Large Language Models and Knowledge Graphs: A Roadmap
citation	218971783	259165262	0	Efficient Backdoor Attacks for Deep Neural Networks in Real-world Scenarios
citation	218971783	259165417	0	Explore In-Context Learning for 3D Point Cloud Understanding
citation	218971783	259164788	1	Radiology-GPT: A Large Language Model for Radiology
citation	218971783	259164628	0	Solving Large-scale Spatial Problems with Convolutional Neural Networks
citation	218971783	259164755	0	Anticipatory Music Transformer
citation	218971783	259164559	0	AssistGPT: A General Multi-modal Assistant that can Plan, Execute, Inspect, and Learn
citation	218971783	259164710	0	LiveChat: A Large-Scale Personalized Dialogue Dataset Automatically Constructed from Live Streaming
citation	218971783	259164936	0	LoSh: Long-Short Text Joint Prediction Network for Referring Video Object Segmentation
citation	218971783	259165298	0	Multiclass Confidence and Localization Calibration for Object Detection
citation	218971783	259165111	0	A Proxy-Free Strategy for Practically Improving the Poisoning Efficiency in Backdoor Attacks
citation	218971783	259164782	0	When to Use Efficient Self Attention? Profiling Text, Speech and Image Transformer Variants
citation	218971783	259164899	0	Fed-ZERO: Efficient Zero-shot Personalization with Federated Mixture of Experts
citation	218971783	259165134	0	Multi-target Backdoor Attacks for Code Pre-trained Models
citation	218971783	259165039	0	Simple Embodied Language Learning as a Byproduct of Meta-Reinforcement Learning
citation	218971783	259164678	0	Operationalising Representation in Natural Language Processing
citation	218971783	259165503	0	PoetryDiffusion: Towards Joint Semantic and Metrical Manipulation in Poetry Generation
citation	218971783	259165397	0	Beyond Implicit Bias: The Insignificance of SGD Noise in Online Learning
citation	218971783	259165201	0	Assessing the Effectiveness of GPT-3 in Detecting False Political Statements: A Case Study on the LIAR Dataset
citation	218971783	259165018	0	POP: Prompt Of Prompts for Continual Learning
citation	218971783	259164722	0	Knowledge Distillation of Large Language Models
citation	218971783	259165540	0	Are training trajectories of deep single-spike and deep ReLU network equivalent?
citation	218971783	259164815	1	WizardCoder: Empowering Code Large Language Models with Evol-Instruct
citation	218971783	259165224	0	On the Robustness of Latent Diffusion Models
citation	218971783	259187769	0	Warpformer: A Multi-scale Modeling Approach for Irregular Clinical Time Series
citation	218971783	259204037	0	Generate to Understand for Representation
citation	218971783	253460374	0	Iterative self-transfer learning: A general methodology for response time-history prediction based on small dataset
