	doc_id	mag_id	corpus_id	title	abstract	descriptor	qualifier
10	19464364	2400337402	19464364	Impact of an information and consent form on patients having chemotherapy	Of 100 patients having chemotherapy who were given a written information and consent form, only 34 understood the purpose of the form and only one considered it the major source of information; 75 patients could not name any of their drugs, 26 did not know the goal of therapy and only 15 remembered all of four general side effects. Such forms may not satisfy the requirements of informed consent.	Antineoplastic Agents	therapeutic use
11	205152357	2463242228	205152357	Chronic Rhinosinusitis and Aspirin-Exacerbated Respiratory Disease.	Patients with severe asthma and concomitant chronic rhinosinusitis often have severe, refractory upper and lower airway inflammation. This inflammation has been proposed to be similar throughout the upper and lower airways leading to the unified airways concept. This article reviews chronic rhinosinusitis with and without nasal polyps, and the subgroup with aspirin-exacerbated respiratory disease, while focusing on the relationship with asthma. Additionally, diagnosis and treatment with current and newer therapies are discussed.	Asthma	etiology
12	41752129	2012058562	41752129	Thiopurine methyltransferase regulation in rat kidney: immunoprecipitation studies.	1. Thiopurine methyltransferase (TPMT) catalyses the S-methylation of thiopurine drugs. TPMT activity in the kidneys of male Sprague-Dawley (S-D) rats is approximately twice that present in the kidneys of female S-D rats, and this difference is testosterone-dependent. Renal TPMT activities in these animals also increase dramatically during growth and development. 2. Our studies were conducted to determine whether variations in TMPT activity in the S-D rat kidney were due to differences in the quantity of TPMT protein. Rabbit polyclonal antibodies to partially purified rat kidney TPMT were used to develop an immunoprecipitation assay for immunoreactive TPMT protein. 3. Gender-related differences in renal TPMT activities in S-D rats were due to a lower content of immunoreactive TPMT protein in kidneys of female animals. TPMT enzyme activities and immunoreactive protein levels were also directly correlated in renal preparations from castrated and sham-operated male rats, from testosterone-treated castrated and sham-operated male rats, and from testosterone-treated and control female rats. 4. There was also a significant positive correlation between TPMT enzymic activities and immunoreactive TPMT protein levels in renal tissue from different aged male S-D rats (rs = 0.955, n = 15, P less than 0.001.) 5. These results demonstrate that changes in S-D kidney TPMT activity during growth and development, in the two sexes and in response to testosterone, were due to variations in the quantity of immunoreactive TPMT protein.	Kidney	metabolism
13	30045544	2412068318	30045544	An immunohistochemical study of helix pomatia agglutinin binding on carcinomas of the esophagus.	In many factors affecting the biologic behavior of malignant cells, alterations in the carbohydrate composition of cell membrane glycoproteins and glycolipids are considered to underlie the changes in cell adhesion that accompany malignant transformation and the development of invasive and metastatic properties. We investigated the alterations of the cell surface glycoproteins structure of carcinoma of the esophagus cells by HPA staining. The rate of patients with positive HPA staining increases with progression of depth of carcinoma invasion and venous invasion, and the survival in patients with positive HPA was poorer than in those with negative HPA. HPA-positive cells of carcinoma of the esophagus represent high malignant potentials. The HPA staining method is available to predict the prognosis of patients with carcinoma of the esophagus.	Carcinoma, Squamous Cell	metabolism
14	41998015	1485718311	41998015	Metabolism of the carbocyclic analogue of (E)-5-(2-iodovinyl)-2'-deoxyuridine in herpes simplex virus-infected cells. Incorporation of C-IVDU into DNA.	The carbocyclic analogues of (E)-5-(2-bromovinyl)-2'-deoxyuridine (BVDU) and (E)-5-(2-iodovinyl)-2'-deoxyuridine (IVDU), in which the sugar moiety is replaced by a cyclopentane ring and which have been designated as C-BVDU and C-IVDU, respectively, are, like their parent compounds BVDU and IVDU, potent and selective inhibitors of herpes simplex virus type 1 (HSV-1) and, to a lesser extent, herpes simplex virus type 2 (HSV-2) replication. We have now synthesized the radiolabeled C-IVDU analogue, C-[125I]IVDU, and determined its metabolism by HSV-infected and mock-infected Vero cells. C-[125I]IVDU was effectively phosphorylated by HSV-1-infected cells and, to a lesser extent, HSV-2-infected cells. C-[125I]IVDU was not phosphorylated to an appreciable extent by either mock-infected cells or cells that had been infected with a thymidine kinase-deficient mutant of HSV-1. Furthermore, C-[125I]IVDU was incorporated into both viral and cellular DNA of HSV-1-infected Vero cells. This finding represents the first demonstration of the incorporation of a cyclopentylpyrimidine into DNA.	DNA	biosynthesis
15	21351395	2411980029	21351395	Hepatic uridine-diphosphate glucuronyl transferase activity of guinea pig with scurvy.	Ascorbic acid (AsA) concentrations in plasma exert a modulating effect on the activity of liver enzymes. Since UDP-glucuronyl transferase is a liver enzyme, which is responsible for bilirubin glucuronidation, the effect of varied amounts of AsA on this enzyme activity was studied. Sixty male guinea-pigs were randomly allocated to the following six groups: controls, scorbutic and groups given 2, 5, 10 or 20 mg of ascorbic acid, respectively. All the animals with the vitamin C deficient diet presented clinical signs of scurvy at the end of the experimental period, and had lost both body and liver weight compared to all other groups. Scorbutic animals had very low levels of AsA in the liver compared with controls (0.20 +/- 0.10 and 1.65 +/- 0.45 mg/g liver, respectively) (p less than 0.001). Liver AsA levels increased as the AsA dose increased. The UDP-glucuronyl transferase activity was lower in scorbutic animals than in controls (6.20 +/- 1.95 and 23.85 +/- 4.20 mg bilirubin/g protein/h, respectively) (p less than 0.001). The other groups C, D, E and F also had higher mean levels of UDP-GT activity than the scorbutic group B. Finally, no correlation was found between UDP-glucuronyl transferase activity and ascorbic acid intake.	Liver	enzymology
16	9204759	2068789468	9204759	Renal outcome of children with horseshoe kidney: a single-center experience.	"OBJECTIVE
To assess the clinical features, additional abnormalities, and renal consequences of children with horseshoe kidney (HSK).


METHODS
The medical records of 41 children with HSK followed in our pediatric nephrology clinic between the years of 2004 and 2014 were retrospectively reviewed.


RESULTS
There were 22 girls (53.6%) and 19 boys (46.4%) aged 60 (2-192) months. The median follow-up time was 48 (12-120) months. HSK was incidentally found in 12 patients (29.3%), and 5 patients (12.2%) were prenatally diagnosed. Urinary tract abnormalities including vesicoureteral reflux (n = 8), ureteropelvic junction obstruction (n = 7), and duplex system (n = 3) were identified in 18 patients (43.9%). Eight children (19.5%) had bladder dysfunction, and 9 patients (21.9%) had additional systemic abnormalities. Urinary tract infection had been detected in 17 patients (41.4%). Seven patients (17%) required surgical intervention including pyeloplasty (n = 3), ureteroneocystostomy (n = 3), and upper pole heminephrectomy (n = 1). Renal scarring (RS) occurred in 10 patients (24.4%). Six patients (14.6%) developed proteinuria and 4 (9.8%) complicated with hypertension. Three patients (7.3%) progressed to chronic kidney disease (CKD). Multivariate logistic regression analysis showed that proteinuria, hypertension, and RS are independently associated with CKD.


CONCLUSION
Children with HSK might be examined for additional urologic and nonurologic abnormalities. Patients might be closely followed up for the increased risk of urinary tract infection and RS. Proteinuria, hypertension, and presence of RS seem to be the major determinants for progression to CKD in children with HSK."	Kidney	abnormalities
17	22331837	2029691648	22331837	Evidence for the existence of three classes of neurokinin receptors in brain. Differential ontogeny of neurokinin-1, neurokinin-2 and neurokinin-3 binding sites in rat cerebral cortex	The autoradiographic distribution of the 3 neurokinin (NK) receptor sub-types, NK-1, NK-2 and NK-3, was compared in rat cerebral cortex during post-natal development using [125I]Bolton-Hunter-substance P, (2-[125I]iodohistidyl1)neurokinin A and [125I]Bolton-Hunter-eledoisin as respective radioligands. Throughout brain development, NK-1 receptor sites are present in low densities with some enrichment seen in lamina III while NK-3 binding sites are concentrated in layers IV and V. However, it appears that NK-2 receptors are mostly expressed in lamina VI and only during the first two postnatal weeks. These results demonstrate further the existence and differential ontogeny of 3 classes of NK receptors in rat brain cortex.	Aging	metabolism
18	26832027	2950543052	26832027	Novel nikkomycins Lx and Lz produced by genetically engineered Streptomyces tendae Tü901.	structures have been generated by mutasynthesis, directed fermentation, and enzymatic modification, and have been isolated from mutants and as minor components from the culture filtrate of the wild type strain. Here we report the isolation, structure elucidation, and antimicrobial activity of two novel nikkomycin derivatives, nikkomycins Lx and Lz, synthesized as main components by a genetically engineered mutant of S. tendae Tu901. The mutant was obtained by inserting a kanamycin resistance gene in the nikkomycin biosynthesis gene nikF encoding a cytochrome P450 monooxygenase (characterization and inactivation of the nikF gene will be separately published). To characterize the effect of the mutation on nikkomycin biosynthesis the nikF gene insertion mutant was cultivated in SP producpp. 582 585	Anti-Bacterial Agents	biosynthesis
19	6523210	1947988035	6523210	Pain self-management in HIV-infected individuals with chronic pain: a qualitative study.	"OBJECTIVE
Chronic pain in individuals with HIV is a common, impairing condition. Behavioral interventions for chronic pain specifically tailored to this population have yet to be developed. We assert that understanding self-management strategies already used by persons living with these conditions is an essential first step, and is the objective of this investigation.


DESIGN
We conducted a thematic analysis of qualitative data from 25 in-depth interviews with individuals with HIV and chronic pain.


RESULTS
The primary pain self-management strategies articulated by participants were: physical activity; cognitive and spiritual strategies; spending time with family and friends and social support; avoidance of physical/social activity; medication-centric pain management; and substance use.


CONCLUSIONS
Some of these strategies may be viewed as beneficial and overlap with known HIV self-management strategies (cognitive strategies), whereas others may have negative health consequences (substance use). Interventions that incorporate healthy self-management strategies may be particularly effective in improving both HIV and pain outcomes."	HIV Infections	complications
20	34839349	2028306408	34839349	Characterization and phenotypic variation with passage number of cultured human endometrial adenocarcinoma cells.	Despite numerous endometrial cancer cell lines, little is know about the progression and transition of primary cultured endometrial tumours. Herein, a stage I grade III endometrial adenocarcinoma was maintained in primary culture and the phenotypic and protein expression changes were observed in relation to passage number. At early passage numbers, cultured human endometrial cancer (CHEC) cells displayed classic epithelial cell morphology, growing in groups in a glandular structure and staining positive for cytokeratin. However, with increasing passage number, CHEC cells changed in morphology to display a stromal phenotype which was accompanied by a significant reduction in cytokeratin and increases in alpha-actin and vimentin expression. Simultaneous culture of stromal cells isolated from the original tumour failed to show the same morphological characteristics or protein expression patterns. We further characterised CHEC cells through a screening of cancer related proteins, among others, caveolin-1 and Tissue factor in comparison with established cancer cell lines and corresponding non-cancerous cells. This report demonstrates that endometrial adenocarcinoma cells in culture can undergo phenotypic and protein expression changes reminiscent of epithelial-mesenchymal transition. This work suggests that primary tumours and cell lines displaying stromal morphologies may have undergone epithelial-mesenchymal transition from an adenocarcinoma origin.	Adenocarcinoma	pathology
21	3326613	164789470	3326613	Superselective embolization in the treatment of active bleeding after percutaneous renal biopsy.	Sung Bae Park, Department of Internal Medicine, Keimyung University School of Medicine, 194 Dong San Dong, Taegu 700-310 (Korea) Dear Sir, Renal biopsy has become an integral part in the diagnosis, management and prognosis of renal diseases. Percutaneous renal biopsy has been a relatively safe procedure. Rarely, severe hemorrhage after percutaneous renal biopsy is a risk to the patient because of high morbidity and mortality. The risk of surgery for nephrectomy or to repair a laceration due to biopsy is approximately 1/500 to 1/1,000 [1]. Recent technological improvements in intervention radiology devices have made superselective catheterization and embolization possible [2]. Superselective embolization with coaxial catheter techniques is an effective method of treating hemorrhage after renal biopsy. We present a case of active bleeding following percutaneous renal biopsy, who was treated successfully with super-selective embolization of a branch of the intrarenal artery. A 14-year-old boy had a percutaneous renal needle biopsy performed as part of a study for glomerulonephritis. The biopsy was carried out by our usual technique with the patient in the prone position and a pillow under the abdomen. The ultrasound-guided percutaneous renal biopsy was performed using a Franklin-modified Vim-Silverman needle. The biopsy specimen was obtained easily after only one attempt. Thirty minutes after biopsy the patient experienced severe left flank pain with rapid pulse rates (124 min). An hour later, blood pressure dropped to around 90/50 mm Hg, and the patient became lethargic and extremely ill. Ultrasonic delineation of the kidney revealed a diffuse perirenal and subcapsular	Kidney	pathology
22	206230778	2018316883	206230778	Whole-brain proton MR spectroscopic imaging of mild-to-moderate traumatic brain injury and correlation with neuropsychological deficits.	Changes in the distribution of the magnetic resonance (MR)-observable brain metabolites N-acetyl aspartate (NAA), total choline (Cho), and total creatine (Cre), following mild-to-moderate closed-head traumatic brain injury (mTBI) were evaluated using volumetric proton MR spectroscopic imaging (MRSI). Studies were carried out during the subacute time period following injury, and associations of metabolite indices with neuropsychological test (NPT) results were evaluated. Twenty-nine subjects with mTBI and Glasgow Coma Scale (GCS) scores of 10-15 were included. Differences in individual metabolite and metabolite ratio distributions relative to those of age-matched control subjects were evaluated, as well as analyses by hemispheric lobes and tissue types. Primary findings included a widespread decrease of NAA and NAA/Cre, and increases of Cho and Cho/NAA, within all lobes of the TBI subject group, and with the largest differences seen in white matter. Examination of the association between all of the metabolite measures and the NPT scores found the strongest negative correlations to occur in the frontal lobe and for Cho/NAA. No significant correlations were found between any of the MRSI or NPT measures and the GCS. These results demonstrate that significant and widespread alterations of brain metabolites occur as a result of mild-to-moderate TBI, and that these measures correlate with measures of cognitive performance.	Brain	metabolism
23	44508495	2311674889	44508495	Effects of sex and gender in ten types of psychotherapy	Abstract Objective: This paper addresses the results of two samples of a large naturalistic (effectiveness study) outpatient process-outcome study in Switzerland (Practice-Oriented Outpatient Psychotherapy Study). Ten different types of psychotherapy were investigated by looking at the role of the sex or gender of therapists and patients with regard to treatment outcome by including several nonspecific therapeutic factors. Method: Ten different types of psychotherapy, 237 patients, and 68 therapists were included in the study. A subsample of 116 cases was analyzed with regard to therapists' technical interventions. Results: Sex and gender issues of both therapists and patients did not play a crucial role in any type of psychotherapy investigated. Gender issues appeared to play an indirect role. Female therapists intervene more empathically, whereas male therapists tend to use more confrontational techniques. Conclusions: Since the results show that therapists differ substantially with regard to their intervention techniques due to their sex, they should become more conscious of their interventions by considering patients' severity of psychological problems and patients' level of psychological functioning so as to not over or underchallenge them.	Mental Disorders	therapy
24	41971717	2130260681	41971717	CDP-CHOLINE REDUCES DOPAMINERGIC CELL LOSS INDUCED BY MPP+ AND GLUTAMATE IN PRIMARY MESENCEPHALIC CELL CULTURE	Cytidine-5′-diphosphocholine (citicoline or CDP-choline) is an essential endogenous intermediate in the biosynthesis of phosphatidylcholine. In the present study, primary dopaminergic cultures from mouse mesencephala were treated with citicoline to investigate its neuroprotective potential on the survival of dopaminergic neurons exposed to MPP+ and glutamate. Treatment with citicoline alone significantly increased the survival of dopaminergic neurons compared to controls. MPP+ or glutamate decreased the total number of dopaminergic neurons whereas citicoline afforded significant protection against either toxicity. Moreover, citicoline significantly decreased propidium iodide uptake by cultured cells. The study concludes that citicoline exerts stimulant and neuroprotective actions on cultured dopaminergic neurons.	Neurons	drug effects
25	39126913	1982430885	39126913	Family Caregivers’ Monitoring of Medication Usage: A Qualitative Study of Mexican-Origin Families with Serious Mental Illness	Despite the high level of involvement of many family caregivers of adults with serious mental illness such as schizophrenia, little is known about their experiences with and beliefs about monitoring the psychiatric medication usage of their relatives. We used consensual qualitative research methods to analyze narratives on this topic by 12 Mexican-descent caregivers (160 pages of transcripts). The caregivers predominantly represented parent (mother) caregivers with levels of psychological distress and burden that were similar to those of larger samples of Mexican-descent caregivers. They represented equally high and low Expressed Emotion. We found that (a) caregivers’ high knowledge (awareness) of medication usage was either tied to a hands-on monitoring approach or inferred by either the absence or the presence of their relatives’ symptoms, (b) caregivers struggled with reconciling the symptom stabilization benefits of medication with the medications’ side effects and limitations, and (c) most caregivers received little to no assistance from other available family members. Theory development and possible interventions involving family-assisted support of psychiatric medication usage should assess and possibly address caregivers’ struggles with medications’ side effects and low levels of support from available family.	Mental Disorders	drug therapy
26	27618680	2091805219	27618680	A capillary monolithic trypsin reactor for efficient protein digestion in online and offline coupling to ESI and MALDI mass spectrometry.	We describe the preparation of a capillary trypsin immobilized monolithic enzyme reactor (IMER) for a rapid and efficient digestion of proteins down to the femtomole level. Trypsin was immobilized on a poly(glycidyl methacrylate-co-acrylamide-co-ethylene glycol dimethycrylate) monolith using the glutaraldehyde technique. Digestion efficiencies of the IMER were evaluated using model proteins and protein mixtures as well as chemically cross-linked lysozyme regarding the addition of denaturants and increasing digestion temperature. The trypsin IMER described herein is applicable for the digestion of protein mixtures. Even at a 1000-fold molar excess of one protein, low-abundance proteins are readily identified, in combination with MS/MS analysis. An online setup of the IMER with reversed phase nano-HPLC separation and nano-ESI-MS/MS analysis was established. The great potential of the trypsin IMER for proteomics applications comprise short digestion times in the range of seconds to minutes, in addition to improved digestion efficiencies, compared to in-solution digestion.	Proteins	metabolism
27	35392335	2071190516	35392335	Comparison of clinical features and liver histology in hepatitis C-positive dialysis patients and renal transplant recipients	Objective: Liver biopsies in hepatitis C virus (HCV)-positive end stage renal disease (ESRD) patients before or after renal transplantation were compared to study the effect of transplant-related immunosuppression. Methods: In this prospective study all patients on the active transplant list and all patients with functioning renal transplants at our hospital were tested for HCV antibody (ELISA-2) over a 30-month period. HCV infection was confirmed by polymerase chain reaction in most patients. All HCV-positive patients were asked to undergo liver biopsy without regard to serum transaminase levels. Patients were interviewed, examined, and had detailed chart review. By protocol, liver histology was evaluated according to stage and inflammatory activity in a blinded fashion. Results: There were 129 HCV-antibody–positive patients, of 795 tested. Sixty-seven agreed to liver biopsy. Of these, 22 patients had never been transplanted and 45 had received transplants. Mean transplant duration before biopsy was 41.2 months (range, 1–204 months). Transplant patients had significantly longer duration of ESRD and estimated duration of HCV infection than patients not transplanted. Dialysis patients had significantly more portal inflammatory activity and lymphoid follicles on biopsy whereas transplant patients had more piecemeal necrosis and steatosis. However, the total histological activity score and stage were similar between groups. Multivariate analysis confirmed the association between transplant and steatosis. But independent variables including transplant duration, HCV infection duration, and ESRD duration were not correlated with histological findings. Conclusion: Renal transplantation may not be associated with an increased risk of progressive liver disease in HCV-positive patients, compared with ESRD patients receiving chronic dialysis. Long-term studies with serial liver biopsies are needed to resolve this issue.	Liver	pathology
