	doc_id	corpus_id	title	abstract	labels	labels_text
10	43748060	43748060	Collagen prolyl 4-hydroxylase is up-regulated in an acute bladder outlet obstruction.	"OBJECTIVE
Compliance is primarily related to extracellular matrix deposition, and prolyl 4-hydroxylase (P4Hs) plays a critical role in the synthesis of the matrix. To study the alteration of P4Hs, under the influence of variable hydrostatic pressure, a novel pressure device was used to expose human bladder smooth muscle cells (HBSMC) and fibroblasts (HBF) to pressures in the physiologic range. We then studied acute obstructed porcine bladder tissues to see if changes can also be seen after in-vitro obstruction.


MATERIALS AND METHODS
HBSMC and HBF were exposed to pressures at 0, 20 and 40 cmH(2)O for up to 72 h. In-vivo studies were carried out next, using six normal (control) and five obstructed porcine bladders. Pigs were exposed to a consistent hydrostatic pressure of < or =20 cm for 24 h after ligation of the urethra. We used 2-DE to compare protein profiling of HBSMC under normal and increased pressures. Other analyses were used to detect molecular alteration and altered expression of mRNA for P4Hs.


RESULTS
We identified 437 proteins from 476 spots (91.8%) obtained from HBSMC that were differentially expressed under normal and increased pressures. Under increased pressure, 48 unique proteins were significantly increased or decreased, and a prominent protein regulating extracellular matrix synthesis highly correlated with P4Hs. The exposure of both HBSMC and HBF to a sustained hydrostatic pressure resulted in the increased expression of P4Hs in a time- and pressure-dependent manner. In vivo, P4Hs expression was also significantly increased in the obstructed group.


CONCLUSIONS
P4Hs is up-regulated, in the human bladder, time and pressure dependently. The alteration of P4Hs over a short period may significantly influence the synthesis of extracellular matrix in vivo and lead to decreased compliance. Our results also support the concept that bladder outlet obstruction, with resultant pressures of 40 cmH(2)O or less, results in molecular changes consistent with decreased compliance."	[17]	['Medicine']
11	14878689	14878689	One-Step Formation of WO3-Loaded TiO2 Nanotubes Composite Film for High Photocatalytic Performance	High aspect ratio of WO3-loaded TiO2 nanotube arrays have been successfully synthesized using the electrochemical anodization method in an ethylene glycol electrolyte containing 0.5 wt% ammonium fluoride in a range of applied voltage of 10–40 V for 30 min. The novelty of this research works in the one-step formation of WO3-loaded TiO2 nanotube arrays composite film by using tungsten as the cathode material instead of the conventionally used platinum electrode. As compared with platinum, tungsten metal has lower stability, forming dissolved ions (W6+) in the electrolyte. The W6+ ions then move towards the titanium foil and form a coherent deposit on titanium foil. By controlling the oxidation rate and chemical dissolution rate of TiO2 during the electrochemical anodization, the nanotubular structure of TiO2 film could be achieved. In the present study, nanotube arrays were characterized using FESEM, EDAX, XRD, as well as Raman spectroscopy. Based on the results obtained, nanotube arrays with average pore diameter of up to 74 nm and length of 1.6 µm were produced. EDAX confirmed the presence of tungsten element within the nanotube arrays which varied in content from 1.06 at% to 3.29 at%. The photocatalytic activity of the nanotube arrays was then investigated using methyl orange degradation under TUV 96W UV-B Germicidal light irradiation. The nanotube with the highest aspect ratio, geometric surface area factor and at% of tungsten exhibited the highest photocatalytic activity due to more photo-induced electron-hole pairs generated by the larger surface area and because WO3 improves charge separation, reduces charge carrier recombination and increases charge carrier lifetime via accumulation of electrons and holes in the two different metal oxide semiconductor components.	[15]	['Materials science']
12	15783304	15783304	Plasmon exchange model for superconductivity in carbon nanotubes and metallic nanowires	Recent investigations of superconductivity in carbon nanotubes have shown that a single-wall zig-zag nanotube can become superconducting at around 15 K. Theoretical studies of superconductivity in nanotubes using the traditional phonon exchange model, however, give a superconducting transition temperature T c less than 1 K. To explain the observed higher critical temperature we explore the possibility of the plasmon exchange mechanism for superconductivity in nanotubes. We first calculate the effective interaction between electrons in a nanotube mediated by plasmon exchange and show that this interaction can become attractive. Using this attractive interaction in the modified Eliashberg theory for strong coupling superconductors, we then calculate the critical temperature T c in a single-wall nanotube. Our theoretical results can explain the observed T c in a single-wall nanotube. In particular, we find that T c is sensitively dependent on the dielectric constant of the medium, the effective mass of the electrons and the radius of the nanotube. We then consider superconductivity in a bundle of single-wall nanotubes and find that bundling of nanotubes does not change the critical temperature significantly. Going beyond carbon nanotubes we show that in a metallic hollow nanowire T c has some sort of oscillatory behaviour as a function of the surface number density of electrons.	[19]	['Physics']
13	38349062	38349062	Approximate Reasoning for Processing Uncertainty		[5]	['Computer science']
14	58627829	58627829	Thalasaaemia & Extramedullary Haematopoiesis.		[17]	['Medicine']
15	87054527	87054527	ISSR Analysis of 3 Natural Populations of the Wild Banana Distributed in the Middle of Fujian Province Based on NTSYS and STRUCTURE	To improve the studies of genetic background of wild banana in Fujian, 100 wild banana leaf samples were collected from 3 populations in Sanming and Fuzhou, and molecular marker of wild banana was conducted by ISSR technology combining NTSYS, STRUCTURE and POPGENE. The results showed that, 175 stable and clear bands were amplified by 13 primers, and 13.5 bands were obtained by each primer on the average. PCR products mainly presented between 200 bp and 2 000 bp, among which 158 bands were polymorphic, accounted for90.3%. Clustering analysis of genetic structure indicated that 100 wild banana samples including Yanqian, Xinkou and Chibi wild banana were divided into three groups strictly according to geographical distribution. The three groups could be further divided into 3, 3 and 4 subgroups respectively. The parameters of genetic diversity revealed that variation within group was greater than that between groups among the total variation of wild banana populations which existed abundant gene exchange. There was a high level of genetic diversity in wild banana,and Yanqian wild banana present the highest, followed by Xinkou wild banana, Chibi wild banana as the lowest.This study showed Fujian wild banana possessed independent genetic structure, and that water, human beings played key roles in population evolution of wild banana.	[0]	['Agricultural and Food sciences']
16	98161670	98161670	Synthesis of 6,7,8,13-tetrahydro[1]benzopyrano[4,3-b][1,4]benzodiazepine-6,8-dione		[4]	['Chemistry']
17	24850205	24850205	Ultrastructural changes and Heat Shock Proteins 70 induced by atmospheric pollution are similar to the effects observed under in vitro heavy metals stress in Conocephalum conicum (Marchantiales--Bryophyta).	Changes in ultrastructure and induction of Heat Shock Proteins 70 have been studied in Conocephalum conicum (Marchantiales) collected in different urban and country sites in Italy. These results were compared to the effects in vitro of exposition to different heavy metals for several days. At urban sites, cellular ultrastructure was modified, and heavy metals could be observed accumulating in cell walls. Simultaneously, a strong increment in Hsp70 was detected, compared with results observed on control specimens. When C. conicum was exposed to heavy metals in vitro, comparable effects as in polluted sites were observed: Cd and Pb accumulated mostly within parenchyma and, within cells, were absorbed to cell walls or concentrated in vacuoles. Moreover, severe alterations were observed in organelles. Concomitantly, a progressive accumulation of Hsp70 was detected following heavy metals exposition. These effects are discussed in order to describe the dose and time-dependent response to heavy metal stress in C. conicum.	[9]	['Environmental science']
18	39002732	39002732	Frequency of symptomatic vertebral body compression fractures requiring intervention following single-fraction stereotactic radiosurgery for spinal metastases.	OBJECTIVE The purpose of this study was to determine the rate of symptomatic vertebral body compression fractures (VCFs) requiring kyphoplasty or surgery in patients treated with 24-Gy single-fraction stereotactic radiosurgery (SRS). METHODS This retrospective analysis included all patients who had been treated with 24-Gy, single-fraction, image-guided intensity-modulated radiation therapy for histologically confirmed solid tumor metastases over an 8-year period (2005-2013) at Memorial Sloan Kettering Cancer Center. Charts and imaging studies were reviewed for post-SRS kyphoplasty or surgery for mechanical instability. A Spinal Instability Neoplastic Score (SINS) was calculated for each patient both at the time of SRS and at the time of intervention for VCF. RESULTS Three hundred twenty-three patients who had undergone single-fraction SRS between C-1 and L-5 were included in this analysis. The cumulative incidence of VCF 5 years after SRS was 7.2% (95% CI 4.1-10.2), whereas that of death following SRS at the same time point was 82.5% (95% CI 77.5-87.4). Twenty-six patients with 36 SRS-treated levels progressed to symptomatic VCF requiring treatment with kyphoplasty (6 patients), surgery (10 patients), or both (10 patients). The median time to symptomatic VCF was 13 months. Seven patients developed VCF at 11 levels adjacent to the SRS-treated level. Fractured levels had no evidence of tumor progression. The median SINS changed from 6.5 at SRS (interquartile range [IQR] 4.3-8.8) to 11.5 at stabilization (IQR 9-13). In patients without prior stabilization at the level of SRS, there was an association between the SINS and the time to fracture. CONCLUSIONS Five years after ablative single-fraction SRS to spinal lesions, the cumulative incidence of symptomatic VCF at the treated level without tumor recurrence was 7.2%. Higher SINSs at the time of SRS correlated with earlier fractures.	[17]	['Medicine']
19	145671567	145671567	Communication and Language Intervention: Why a Constructivist Approach is Insufficient	The purpose of this article is to present the basis for a broad-based cross-paradigmatic approach to language intervention. Factors that have shaped the field over the past 40 years are briefly discussed to provide a context for considering the present state of practice and research. Three widely used language intervention approaches are described and critiqued to demonstrate the limitations of any single approach. The main challenges facing the language intervention field and a rationale for taking a broad-based cross-paradigmatic perspective are then discussed.	[7]	['Education']
20	220667113	220667113	Replication of the Association Between Keratoconus and Polymorphisms in PNPLA2 and MAML2 in a Han Chinese Population	Keratoconus (KC) is a complex ocular disease that is affected by both genetic and non-genetic triggers. A recent genome-wide association study (GWAS) identified a genome-wide significant locus for KC in the region of PNPLA2 (rs61876744), as well as a suggestive signal in the MAML2 (rs10831500) locus. In order to validate their findings, here we performed a replication study of the Han Chinese population, with 120 sporadic KC cases and 206 gender and age matched control subjects, utilizing the TaqMan SNP genotyping assays. SNP rs10831500, as well as two proxy SNPs for rs61876744, named rs7942159 and rs28633403, were subjected to genotyping. However, we did not find a significant difference (P > 0.05) in all the three genotyped SNPs between KC cases and the controls. A further meta-analysis on four previous cohorts of white patients and this Han Chinese cohort showed a significant genetic heterogeneity within the replicated loci. Thus, the current study suggests that SNP rs61876744 (or its proxy SNPs) and rs10831500 might not be associated with KC susceptibility in this Han Chinese cohort, and a large-scale association analysis focusing on the loci is therefore warranted in further investigations.	[2]	['Biology']
21	119050344	119050344	Origin of Non-axisymmetric Features of Virgo Cluster Early-type Dwarf Galaxies. I. Bar Formation and Recurrent Buckling	A fraction of early-type dwarf galaxies in the Virgo cluster have a disk component and even possess disk features such as bar, lens, and spiral arms. In this study, we construct 15 galaxy models that resemble VCC856, considered to be an infalling progenitor of disk dwarf galaxies, within observational error ranges, and use $N$-body simulations to study their long-term dynamical evolution in isolation as well as the formation of bar in them. We find that dwarf disk galaxies readily form bars unless they have an excessively concentrated halo or a hot disk. This suggests that infalling dwarf disk galaxies are intrinsically unstable to bar formation, even without any external perturbation, accounting for a population of barred dwarf galaxies in the outskirts of the Virgo cluster. The bars form earlier and stronger in galaxies with a lower fraction of counter-streaming motions, lower halo concentration, lower velocity anisotropy, and thinner disk. Similarly to normal disk galaxies, dwarf disk galaxies also undergo recurrent buckling instabilities. The first buckling instability tends to shorten the bar and to thicken the disk, and drives a dynamical transition in the bar pattern speed as well as mass inflow rate. In nine models, the bars regrow after the mild first buckling instability due to the efficient transfer of disk angular momentum to the halo, and are subject to recurrent buckling instabilities to turn into X-shaped bulges.	[19]	['Physics']
22	118220335	118220335	(F)-Räume mit absoluter Basis		[16]	['Mathematics']
23	202712811	202712811	Computing Full Conformal Prediction Set with Approximate Homotopy	If you are predicting the label $y$ of a new object with $\hat y$, how confident are you that $y = \hat y$? Conformal prediction methods provide an elegant framework for answering such question by building a $100 (1 - \alpha)\%$ confidence region without assumptions on the distribution of the data. It is based on a refitting procedure that parses all the possibilities for $y$ to select the most likely ones. Although providing strong coverage guarantees, conformal set is impractical to compute exactly for many regression problems. We propose efficient algorithms to compute conformal prediction set using approximated solution of (convex) regularized empirical risk minimization. Our approaches rely on a new homotopy continuation technique for tracking the solution path with respect to sequential changes of the observations. We also provide a detailed analysis quantifying its complexity.	[5]	['Computer science']
24	167942922	167942922	Application of Association Rule Mining in Economy Pattern of Minority Areas	Introduces the association rule mining technology, and presents the application of associ-ation rule mining in economy pattern of minority areas. It attempts to construct a model, which is suitable to the development of the minority areas. It provides the scientific basis for the policy makers to decide to select what kind of economy pattern of the region.	[5]	['Computer science']
25	109204942	109204942	New Ceramic Electron Multiplier	"The design and performance of a new ceramic envelope electron multiplier are described. The tube uses hemispherically shaped 3/8"" diameter dynodes crimped into kovar cups. The dynode assemblies are alternately stacked between high-alumina ceramic rings and brazed into a rugged single piece construction envelope. The structure has an outside diameter of 0. 5 inches with an overall length of 2.75 inches and is capable of withstanding extreme environmental conditions. The tube withstands 100 g shocks for 11 msec duration, random vibration levels of 1.3 g2 /Hz, and can be operated over a temperature range from liquid N2 to 400°C. The electron optics of the discrete dynodes provide optimum interstage electron collection. The single electron pulse height distribution at gains higher than 108 is nearly Gaussian and has a FWHM of approximately 0.6. Complete data on pulse height distribution characteristics is reviewed over the dynamic range of the device. The photon sensitivity of the device will be discussed within the range of 58.3 to 150 nm as well as the adaptability for charged particle conversion below 3 keV. Fatigue characteristics are examined as a function of accumulated counts up to 1012, exposure to controlled atmospheres of dry air, noble gases, and maximum counting rates up to 10 MHz. Applications for these detectors are reviewed, including their projected use in mass spectroscopy experiments on the Apollo 17 mission."	[19]	['Physics']
26	27265860	27265860	Responsive design for household surveys: tools for actively controlling survey errors and costs	Summary. Over the past few years surveys have expanded to new populations, have incorporated measurement of new and more complex substantive issues and have adopted new data collection tools. At the same time there has been a growing reluctance among many household populations to participate in surveys. These factors have combined to present survey designers and survey researchers with increased uncertainty about the performance of any given survey design at any particular point in time. This uncertainty has, in turn, challenged the survey practitioner’s ability to control the cost of data collection and quality of resulting statistics. The development of computer-assisted methods for data collection has provided survey researchers with tools to capture a variety of process data (‘paradata’) that can be used to inform cost–quality trade-off decisions in realtime. The ability to monitor continually the streams of process data and survey data creates the opportunity to alter the design during the course of data collection to improve survey cost efficiency and to achieve more precise, less biased estimates. We label such surveys as ‘responsive designs’. The paper defines responsive design and uses examples to illustrate the responsive use of paradata to guide mid-survey decisions affecting the non-response, measurement and sampling variance properties of resulting statistics.	[16]	['Mathematics']
27	112556842	112556842	Status Quo and Development Trend of Brass Condenser Tube Production Process	"This paper briefly introduces three production processes applied in pipe production and discusses the feasibility of making brass condenser tube with the process of ""extrusion - rolling - continuous induction annealing and horizontal continuous casting - three-roll planetary rolling - bull block drawing""."	[15]	['Materials science']
28	42423520	42423520	Antidepressant withdrawal syndrome.		[17, 21]	['Medicine', 'Psychology']
29	119226415	119226415	Field-dependent superradiant quantum phase transition of molecular magnets in microwave cavities	We find a superradiant quantum phase transition in the model of triangular molecular magnets coupled to the electric component of a microwave cavity field. The transition occurs when the coupling strength exceeds a critical value which, in sharp contrast to the standard two-level emitters, can be tuned by an external magnetic field. In addition to emitted radiation, the molecules develop an in-plane electric dipole moment at the transition. We estimate that the transition can be detected in state of the art microwave strip-line cavities containing $10^{15}$ molecules.	[15]	['Materials science']
30	94171107	94171107	Chemical Modification of Minerals and Its Application as Silicone Rubber Reinforcing Filler	By ultrafinecrashing and chemical modifying, the modified mineral ultrafinepowders as silicone rubber reinforcing fillers were prepared firstly, their reinforcing effect have approached to the level of silica.	[4]	['Chemistry']
31	195326141	195326141	Acute meningitis complicated by transverse myelitis: A rare complication	Acute meningitis can be complicated by intracranial complications commonly and rarely by spinal cord dysfunction. The causes of spinal cord dysfunction are cord compression, ischemic infarction of the cord, and acute myelitis. Magnetic resonance imaging (MRI) of the cord is the choice of investigation which not only helps to rule out any compressive lesion but will also confirm the diagnosis of myelitis. The usual findings of myelitis on MRI spine are the hyperintensities in T2-weighted images that predominantly involve the gray matter and usually extend from the cervical to the lumbar cord. Usually, patients are left with some residual deficits including spasticity, weakness, walking difficulties, and bowel–bladder dysfunction. We report a case of acute meningitis which was complicated by acute transverse myelitis.	[17]	['Medicine']
32	151858596	151858596	A Capitol Journey: Reflections on the Press, Politics, and the Making of Public Policy in Pennsylvania. By VINCENT P. CAROCCI		[12]	['History']
33	138366947	138366947	An Automatic Cleaning Equipment Based on Graphite Lubricant for Extrusion Parts	Based on the requirement of the graphite surface-clean-up process for the extrusion parts of copper alloy solid roller bearing cage,this article brings forward a new method to design an automatic cleaning equipment.It adopts a desiccated sand-spray method.Combined the feeding structure driving by metal strip with the automatic spray sand equipment,the automatic feed and effective seal can be realized.At the same time,it can also automatically spray sand for the complicated annular parts and operates in succession.It attains the higher productivity and the lower labor intensity,as well as good cleaning effects and no power leak.This design makes a way for the industrialization of copper alloy solid roller bearing cage by isothermal extrusion technology and supplies reference to automatic spray sand for annular parts.	[15]	['Materials science']
34	123417804	123417804	Scepticism about self-knowledge redux		[18]	['Philosophy']
35	144176725	144176725	Institutional Policy and Its Abuses.	Observers of organizational life have treated policy-makers and policy manuals to caustic verbal blows for years. For example, it has been said that the last act of a dying organization is to issue a greatly enlarged policy manual. But policy itself is like any other management tool: it can be used or abused. Thus, the question for college administrators is not whether one should have formal policy, but rather what policies are needed and how they can be put to work for more effective organizational functioning. The purposes of this article are to review the role of institutional policy, to cite frequent abuses of policy, and finally to delineate the several principles of policy management. It is hoped that a review of the pitfalls and standards of policy application will provide a set of criteria against which a university administration may gauge the effectiveness of its existing policy management.	[7]	['Education']
36	123768547	123768547	Internal structure and essence		[18]	['Philosophy']
37	56800720	56800720	Power Line Communication (PLC)		[8]	['Engineering']
38	206900700	206900700	TRIM: An architecture for transparent IMS-based mobility	In recent years, the development and deployment of new wired and wireless access network technologies have made the ubiquitous Internet a reality. Users can access anywhere and anytime to the broad set of value-added Internet services, which are delivered by means of the IP protocol. In this context, 3GPP is currently developing the IP Multimedia Subsystem (IMS), as a key element that allows to evolve from the ubiquitous access to the Internet services towards a next generation network model, by providing a set of essential facilities such as session control, QoS, charging and service integration. Nevertheless, several open issues still need consideration before the future Internet becomes real, such as supporting user mobility in IP networks. Although mobility support in the Internet is receiving much attention, IMS networks present inherent particularities that require further analysis. The solutions proposed so far for IMS do not support mobility transparently to the end-user applications, or address the problem by introducing complex changes to the IMS infrastructure. This paper presents TRIM, an architecture for transparent IMS-based mobility. TRIM supports mobility in IMS networks transparently to the end-user applications, which are unaware of the handover management procedures executed between the mobile node and the network. We have performed several experiments with a TRIM prototype, using a real IMS testbed with 3G and WLAN access networks, validating the proposal for UDP and TCP based applications.	[5]	['Computer science']
39	7519619	7519619	Student Self-Assessment and Faculty Assessment of Performance in an Interprofessional Error Disclosure Simulation Training Program	Objectives. To conduct a prospective evaluation for effectiveness of an error disclosure assessment tool and video recordings to enhance student learning and metacognitive skills while assessing the IPEC competencies. Design. The instruments for assessing performance (planning, communication, process, and team dynamics) in interprofessional error disclosure were developed. Student self-assessment of performance before and after viewing the recordings of their encounters were obtained. Faculty used a similar instrument to conduct real-time assessments. An instrument to assess achievement of the Interprofessional Education Collaborative (IPEC) core competencies was developed. Qualitative data was reviewed to determine student and faculty perceptions of the simulation. Assessment. The interprofessional simulation training involved a total of 233 students (50 dental, 109 nursing and 74 pharmacy). Use of video recordings made a significant difference in student self-assessment for communication and process categories of error disclosure. No differences in student self-assessments were noted among the different professions. There were differences among the family member affects for planning and communication for both pre-video and post-video data. There were significant differences between student self-assessment and faculty assessment for all paired comparisons, except communication in student post-video self-assessment. Students’ perceptions of achievement of the IPEC core competencies were positive. Conclusion. The use of assessment instruments and video recordings may have enhanced students’ metacognitive skills for assessing performance in interprofessional error disclosure. The simulation training was effective in enhancing perceptions on achievement of IPEC core competencies. This enhanced assessment process appeared to enhance learning about the skills needed for interprofessional error disclosure.	[7, 17]	['Education', 'Medicine']
40	148986682	148986682	Book Review: The Reading Railroad: History of a Coal Age Empire, Volume I: The Nineteenth Century by James L. Holton		[12]	['History']
41	145335243	145335243	Luis Rubio and Susan Kaufman Purcell (eds.), Mexico under Fox (Boulder, CO, and London: Lynne Rienner Publishers for the Americas Society and CIDAC, 2004), pp. xii+177, £12.50, pb.		[20]	['Political science']
42	56244271	56244271	An Optimality Theoretic Approach to Accent Insertion	This paper explores the accentuation in the words consisting of inherently unaccented morphemes in the languages which distinguish between inherently accented and unaccented morphemes. In this paper, a variety of accent insertion in non-Indo-European languages (Turkish, Tokyo Japanese, Cupeno, and Thompson River Salish) is presented and compared with the word-initial accent insertion in Vedic Sanskrit, which is an Indo-European language. Then, from the viewpoint of Optimality Theory (OT) (Prince and Smolensky 1993 and McCarthy and Prince 1993a, b), it is argued that the parametric difference in the ranking relation of ALlGN-R(ACC, PrWd) and ALIGN-L(ACC, PrWd) between Vedic Sanskrit and Turkish causes the difference in accent insertion between these languages. Further, the examination of accentual systems of Cupeno and Thompson River Salish shows that Root Faith >> Affix Faith as a meta-constraint is too fixed to explain a cross-linguistic variety of places for an inserted accent. This examination also shows that the difference in accent insertion among languages should be explained by the different rankings among domain-specific DEP-IO-faithfulness constraints.	[14]	['Linguistics']
43	121220869	121220869	Self-interaction of optical beams under resonance absorption conditions	An investigation is made of self-interaction of optical beams under one- and two-photon absorption conditions by solving nonlinear quasioptics equations using numberical techniques. An analysis is also made of self-focusing in the aberration-free approximation. The various self-interaction regimes are classified. A dependence of the threshold power on a factor characterizing the relationship between diffraction and saturation effects is obtained.	[8, 19]	['Engineering', 'Physics']
44	156210729	156210729	Probe of the teaching reform of item-chosen for the course of tackwondo in Guangdong's Higher-learning institutions	In this paper, the author, through the survey and analysis of students' learning motives and behaviors toward the item-chosen for the course of tackwondo as well as teachers' working attitudes and teaching methods and the training of students' abilities of tackwondo, discusses problems existed in the item chosen for the course of tackwondo in the higher-learning institutions of Guangdong Province and puts his suggestions for improvements.	[7]	['Education']
45	8767623	8767623	The plasma membrane transporter SLC5A8 suppresses tumour progression through depletion of survivin without involving its transport function.	SLC5A8 (solute carrier gene family 5A, member 8) is a sodium-coupled transporter for monocarboxylates. Among its substrates are the HDAC (histone deacetylase) inhibitors butyrate, propionate and pyruvate. Expression of SLC5A8 is silenced in cancers via DNA methylation, and ectopic expression of SLC5A8 in cancer cells induces apoptosis in the presence of its substrates that are HDAC inhibitors. In the present study we show that ectopic expression of SLC5A8 in cancer cells translocates the anti-apoptotic protein survivin to the plasma membrane through protein-protein interaction resulting in depletion of nuclear survivin and also decreases cellular levels of survivin through inhibition of transcription. These SLC5A8-induced changes in the location and levels of survivin result in cell-cycle arrest, disruption of the chromosome passenger complex involved in mitosis, induction of apoptosis and enhancement in chemosensitivity. These effects are seen independently of the transport function of SLC5A8 and histone acetylation status of the cell; in the presence of pyruvate, a SLC5A8 substrate and also an HDAC inhibitor, these effects are amplified. Ectopic expression of SLC5A8 in the breast cancer cell line MB231 inhibits the ability of cells to form colonies in vitro and to form tumours in mouse xenografts in vivo. The suppression of survivin transcription occurs independently of HDAC inhibition, and the underlying mechanism is associated with decreased phosphorylation of STAT3 (signal transducer and activator of transcription 3). The observed effects are specific for survivin with no apparent changes in expression of other inhibitor-of-apoptosis proteins. The present study unravels a novel, hitherto unrecognized, mechanism for the tumour-suppressive role of a plasma membrane transporter independent of its transport function.	[2, 5]	['Biology', 'Computer science']
46	154506471	154506471	Entertainment and Politics: The Influence of Pop Culture on Young Adult Political Socialization by David J. Jackson		[20]	['Political science']
47	125921640	125921640	On the decay of a viscous vortex		[16]	['Mathematics']
