	doc_id	title	abstract	corpus_id
10	cdd759240d2bdae429ad0821cd5a2a01ac358a1b	Algebraic signatures for scalable distributed data structures	Signatures detect changes to data objects. Numerous schemes are in use, especially the cryptographically secure standards SHA-1. We propose a novel signature scheme which we call algebraic signatures. The scheme uses the Galois field calculations. Its major property is the sure detection of any changes up to a parameterized size. More precisely, we detect for sure any changes that do not exceed n-symbols for an n-symbol algebraic signature. This property is new for any known signature scheme. For larger changes, the collision probability is typically negligible, as for the other known schemes. We apply the algebraic signatures to the scalable distributed data structures (SDDS). We filter at the SDDS client node the updates that do not actually change the records. We also manage the concurrent updates to data stored in the SDDS RAM buckets at the server nodes. We further use the scheme for the fast disk backup of these buckets. We sign our objects with 4-byte signatures, instead of 20-byte standard SHA-1 signatures. Our algebraic calculus is then also about twice as fast.	9757504
11	1c1f1aff8bd0d552980a51e5e93abf0ca3b2d8e4	Corpus-Based Induction of Syntactic Structure : Models of Constituency and Dependency	The task of statistically inducing hierarchical syntactic structure over unannotated sentences of natural language has received a great deal of attention (Carroll and Charniak, 1992a; Pereira and Schabes, 1992; Brill, 1993; Stolcke and Omohundro, 1994). Researchers have explored this problem for a variety of reasons: to argue empirically against the poverty of the stimulus (Clark, 2001), to use induction systems as a first stage in constructing large treebanks (van Zaanen, 2000), to build better language models (Baker, 1979; Chen, 1995), and to examine psychological issues in language learning (Solan et al., 2003). An important distinction should be drawn between work primarily interested in the weak generative capacity of models, where modeling hierarchical structure is only useful insofar as it leads to improved models over observed structures (Baker, 1979; Chen, 1995), and work interested in the strong generative capacity of models, where the unobserved structure itself is evaluated (van Zaanen, 2000; Clark, 2001; Klein and Manning, 2002). This paper falls into the latter category; we will be inducing models of linguistic constituency and dependency with the goal of recovering linguistically plausible structures. We make no claims as to the congitive plausibility of the induction mechanisms we present here, however the ability of these systems to recover substantial linguistic patterns from surface yields alone does speak to the strength of support for these patterns in the data, and hence to undermine arguments based on “the poverty of the stimulus” (Chomsky, 1965). 2 Distributional Syntax Induction	10438770
12	1a29597ec321e940748fd2afb2905bd47ef2fc15	is achieved. Prior to stabilization, neural networks do not jump around between points in activation space. Stabiliza-tion is the process whereby a network first generates a de-terminate activation pattern, and thereby arrives at a point in activation space		115300137
13	b1161d6dfb99a68a5b88876b5bbea772f620cc9d	Learning the Kernel Matrix for Superresolution	This paper proposes the application of learned kernels in support vector regression to superresolution in the discrete cosine transform (DCT) domain. Though previous works involve kernel learning, their problem formulation is examined to reformulate the semi-definite programming problem of finding the optimal kernel matrix. For the particular application to superresolution, downsampling properties derived in the DCT domain are exploited to add structure to the learning algorithm. The advantage of the proposed method over other learning-based superresolution algorithms include specificity with regard to image content, structured consideration of energy compaction, and the added degrees of freedom that regression has over classification-based algorithms	15477997
14	fb8dac27694a14b9b1ff9ef1fe04387bc14468f1	Spectral Kernel Methods for Clustering	In this paper we introduce new algorithms for unsupervised learning based on the use of a kernel matrix. All the information required by such algorithms is contained in the eigenvectors of the matrix or of closely related matrices. We use two different but related cost functions, the Alignment and the 'cut cost'. The first one is discussed in a companion paper [3], the second one is based on graph theoretic concepts. Both functions measure the level of clustering of a labeled dataset, or the correlation between data clusters and labels. We state the problem of unsupervised learning as assigning labels so as to optimize these cost functions. We show how the optimal solution can be approximated by slightly relaxing the corresponding optimization problem, and how this corresponds to using eigenvector information. The resulting simple algorithms are tested on real world data with positive results.	10304437
15	aa62f369d20dc644eb5cf8b88599900f6cbe7bca	SNAPPER: Fashion Coordinate Image Retrieval System	Fashion is one of the most important factors in our lives. A lot of people enjoy their fashion. On the other hand, they are not confident about their fashion coordination. Especially, it is a very worrisome problem to purchase a new fashion item that suits to their clothing. In this paper, we propose an image-retrieval-based system for supporting a person's fashion coordination and purchase of new fashion items. This system provides users an efficient way to know and purchase the fashion items which suit to those in their closets. The user uploads the image of his or her clothing and specifies the part which he or she puts it on. Then, our system retrieves similar items and recommends fashion coordinate from our fashion coordinate database that has been collected from fashion websites.	12438506
16	c7ca425c1dc2704d6748c42597ab2e47b48c1799	Efficient stereo video encoding for mobile applications using the 3D+F codec	This paper presents a stereo video codec called 3D+F which has specifically been designed to meet the low complexity requirements imposed by mobile applications while trying to be competitive with the state-of-the-art coders, such as the multi view video coding (MVC) extension of the H.264/AVC standard, in terms of rate-distortion (RD). By exploiting the stereo geometry of stereoscopic image pairs it is possible to transcode a 3D movie into a 2D movie and a 2-bit labeling. The 2D movie can then be compressed using any video coder while the labeling needs to be compressed losslessly. Preliminary subjective testing shows that the resulting quality has potential to be very competitive.	12346051
17	23f7c32dd053978fb913ee2cf28f4c109fc22ac8	Detecting Forgery From Static-Scene Video Based on Inconsistency in Noise Level Functions	Recently developed video editing techniques have enabled us to create realistic synthesized videos. Therefore, using video data as evidence in places such as courts of law requires a method to detect forged videos. In this study, we developed an approach to detect suspicious regions in a video of a static scene on the basis of the noise characteristics. The image signal contains irradiance-dependent noise the variance of which is described by a noise level function (NLF) as a function of irradiance. We introduce a probabilistic model providing the inference of an NLF that controls the characteristics of the noise at each pixel. Forged pixels in the regions clipped from another video camera can be differentiated by using maximum a posteriori estimation for the noise model when the NLFs of the regions are inconsistent with the rest of the video. We demonstrate the effectiveness of our proposed method by adapting it to videos recorded indoors and outdoors. The proposed method enables us to highly accurately evaluate the per-pixel authenticity of the given video, which achieves denser estimation than prior work based on block-level validation. In addition, the proposed method can be applied to various kinds of videos such as those contaminated by large noise and recorded with any scan formats, which limits the applicability of the existing methods.	8139575
18	83e6b767cecdfbf99b4c9a346c17fd45f3849050	Study on the interactive relationship between specialized market and industrial clusters of textiles and clothing in China	The purpose of this paper is to explore how the textiles and clothing industry cluster and specialized market influence each other. This research observed and documented a case study of industry development in Changshu of Jiangsu province. Through the analysis, the researchers summarized the factors that account for significantly improvement of competiveness of clothing industry in Changshu. The research indicates that the relationship between industrial cluster and specialized market is interdependent and mutually promotive. As the industry is one pillar of China's economy, it's important to study this interactive mechanism for further growth of the industry in a global competition situation.	45511302
19	3133a9ec787dd2f2a50ed7c927e5d867482375ab	Parametric Distance Metric Learning with Label Information	Distance-based methods in pattern recognition and machine learning have to rely on a similarity or dissimilarity measure between patterns in the input space. For many applications, Euclidean distance in the input space is not a good choice and hence more complicated distance metrics have to be used. In this paper, we propose a parametric method for metric learning based on class label information. We first define a dissimilarity measure that can be proved to be metric. It has the favorable property that between-class dissimilarity is always larger than within-class dissimilarity. We then perform parametric learning to find a regression mapping from the input space to a feature space, such that the dissimilarity between patterns in the input space is approximated by the Euclidean distance between points in the feature space. Parametric learning is performed using the iterative majorization algorithm. Experimental results on real-world benchmark data sets show that this approach is promising.	119018298
20	4f4d107584a6ec1d79d59adeab32faae81c497e5	A model-based method with joint sparsity constraint for direct diffusion tensor estimation	Diffusion tensor imaging (DTI) has been widely used for nondestructive characterization of microstructures of myocardium or brain connectivity. It requires repeated acquisition with different diffusion gradients. The long acquisition time greatly limits the clinical application of DTI. In this paper, a novel method, named model-based method with joint sparsity constraint (MB-JSC), effectively incorporates the prior information on the joint sparsity of different diffusion-weighted images in direct estimation of the diffusion tensor from highly undersampled k-space data. Experimental results demonstrate that the proposed method is able to estimate the diffusion tensors more accurately than the existing method when a high net reduction factor is used.	2189946
21	9b670525e9fb64509c3fb98dd0d65ed63b14c708	Multiple-antenna differential lattice decoding	From a lattice viewpoint, Clarkson, Sweldens and Zheng significantly reduced the complexity of multiantenna differential decoding. Their approximate decoding algorithm, however, has not unleashed the full potential of lattice decoding. In this paper, we present several improved algorithms, generally referred to as differential lattice decoding (DLD), for multiantenna communication. We first analyze two distinct approximate DLD algorithms, and then develop an algorithm that exactly finds the closest lattice point in the Euclidean space. This exact DLD is subsequently augmented by local search to compensate for the remaining approximation. The small amount of extra complexity of the exact or augmented DLD is rewarded by a clear performance gain. We find that employing basis reduction is very effective to reduce the overall decoding complexity for high lattice dimensions. Moreover, the dimension of the lattice defined in this paper is independent of the number of receive antennas, which results in not only lower complexity, but also better performance for a multiantenna receiver.	10940850
22	18bb76f5c7a10c6f79b0b842cf626e8cf65eaefb	Ant stigmergy shop floor control architecture for intelligent product oriented manufacturing system	In this paper we consider an alternative approach to the problem of infusing local shop floor control decisions with more global performance information. The approach proposed is that of using artificial ant colonies to decentralize and autonomize the shop floor routing. The proposed ant stigmergy shop floor control (ASSFC) has two functional levels: a virtual shop floor level in which ant agents explore optimal processing route stochastically, and a physical shop floor in which intelligent work pieces (IWPs) deterministically exploit the best paths that have been detected by their corresponding ant agents on virtual shop floor. The simple indirect communication and the robust adaptability to disturbances make the ASSFC more suitable for intelligent product oriented manufacturing system than tradition shop floor control.	9484222
23	9a3ac96e1add4369abdf32a128a17a18be1c3ae0	Computer Vision for Human–Machine Interaction: Probabilistic Models of Verbal and Body Gestures	This chapter describes several probabilistic techniques for representing, recognizing, and generating spatiotemporal connguration sequences. We rst describe how such techniques can be used to visually track and recognize lip movements to augment a speech recognition system. We then demonstrate additional techniques that can be used to animate video footage of talking faces and synchronize it to diierent sentences of an audio track. Finally we outline alternative low-level representations that are needed to apply these techniques to articulated body gestures. 7.1 Introduction Gestures can be described as characteristic conngurations over time. While uttering a sentence we express very ne grained verbal gestures as complex lip conngurations over time, and while performing body actions, we generate articulated connguration sequences of jointed arm and leg segments. Such conngurations lie in constrained subspaces and diierent y Part of this report is published at ICCV'95 9]	15661420
24	a00685aaa3683d8e197fae1dd80219d8c5c7cf0a	Maximum-likelihood estimation for articulatory speech recognition using a stochastic target model		39756606
25	636dad2afa8e41f9aa4faf6434418cfe3cbaa3ff	The CRLB analysis for target localization behind wall and in free space	In through-the-wall target localization area, wall effect including absorption and refraction will arise, wall effect needs to be compensated. If wall parameters including thickness and dielectric constant are exactly known, the target can be compensated to its correct position. In this paper, based on the transmitting model of through-the-wall radar, we deduced the Cramer-Rao lower bound (CRLB) of target localization behind wall. Due to the wall effect, the target localization CRLB behind wall is better than that in free space. We also validated our conclusions using wavenumber domain analysis. Simulation results evaluated the effect of wall thickness and dielectric constant on CRLB qualitatively.	23435197
26	a02f70c8d58d1a407a087636e57c19b706fb4090	UN-MUSIC and UN-CLE: an application of generalized correlation analysis to the estimation of the direction of arrival of signals in unknown correlated noise	A new approach is proposed for the consistent estimation of the directions of arrival (DOA) of signals in an unknown spatially-correlated noise environment. The signal and noise model used is based on the assumption that the data are received by two arrays well separated so that their noise outputs are uncorrelated. The generalized correlation decomposition of the cross-correlation matrix between the two arrays is then introduced. Of particular interest is the canonical correlation decomposition. The analysis of the generalized correlation leads to various interesting geometric and asymptotic properties of the eigenspace structure. Two algorithms, UN-MUSIC and UN-CLE, are developed to estimate the DOA of signals in unknown spatially correlated noise based on the utilization of these properties. Computer simulations show that these methods are superior in performance compared to conventional methods. Furthermore, it is demonstrated that the new methods are equally effective even when only one sensor array is employed. >	28674631
27	dd3fffe3093915bbd1ffbf261b25947aa508b03d	Joint optimization of scalar and tree-structured quantization of wavelet image decompositions	Wavelet image decompositions generate a tree-structured set of coefficients, providing an hierarchical data-structure for representing images. While early wavelet-based algorithms for image compression concentrated on optimal quantization of wavelet coefficients, several recent researchers have proposed approaches which couple coefficient quantization (either scalar or vector-based) with various strategies for quantizing the tree itself. This paper proposes an image compression algorithm based on optimal bit rate allocation between scalar and tree-structured quantizers. A predictive approach to representing the pruned tree structure is presented, and the entropy of this representation is included in the optimal allocation problem. The algorithm couples Lagrangian optimization of scalar quantizers with a marginal analysis approach for optimizing the tree structure, and achieves excellent coding efficiency in the rate-distortion sense.<<ETX>>	15560563
28	94066dc12fe31e96af7557838159bde598cb4f10	Policy Invariance Under Reward Transformations: Theory and Application to Reward Shaping	This paper investigates conditions under which modi cations to the reward function of a Markov decision process preserve the op timal policy It is shown that besides the positive linear transformation familiar from utility theory one can add a reward for tran sitions between states that is expressible as the di erence in value of an arbitrary poten tial function applied to those states Further more this is shown to be a necessary con dition for invariance in the sense that any other transformation may yield suboptimal policies unless further assumptions are made about the underlying MDP These results shed light on the practice of reward shap ing a method used in reinforcement learn ing whereby additional training rewards are used to guide the learning agent In par ticular some well known bugs in reward shaping procedures are shown to arise from non potential based rewards and methods are given for constructing shaping potentials corresponding to distance based and subgoal based heuristics We show that such po tentials can lead to substantial reductions in learning time	5730166
29	a1cda8e30ce35445e4f51b47ab65b775f75c9f18	Normalized face image generation with perceptron generative adversarial networks	This paper presents a deep neural architecture for synthesizing the frontal and neutral facial expression image of a subject given a query face image with arbitrary expression. This is achieved by introducing a combination of feature space perceptual loss, pixel-level loss, adversarial loss, symmetry loss, and identity-preserving loss. We leverage both the frontal and neutral face distributions and pre-trained discriminative deep perceptron models to guide the identity-preserving inference of the normalized views from expressive profiles. Unlike previous generative methods that utilize their intermediate features for the recognition tasks, the resulting expression- and pose-disentangledface image has potential for several downstream applications, such as facial expression or face recognition, and attribute estimation. We show that our approach produces photorealistic and coherent results, which assist the deep metric learning-based facial expression recognition (FER) to achieve promising results on two well-known FER datasets.	3887036
30	d76b7236a47b273063284419b76c55da291ee381	On the Complexity of Learning for Spiking Neurons with Temporal Coding	Abstract Spiking neurons are models for the computational units in biological neural systems where information is considered to be encoded mainly in the temporal patterns of their activity. In a network of spiking neurons a new set of parameters becomes relevant which has no counterpart in traditional neural network models: the time that a pulse needs to travel through a connection between two neurons (also known as delay of a connection). It is known that these delays are tuned in biological neural systems through a variety of mechanisms. In this article we consider the arguably most simple model for a spiking neuron, which can also easily be implemented in pulsed VLSI. We investigate the Vapnik–Chervonenkis (VC) dimension of networks of spiking neurons, where the delays are viewed as programmable parameters and we prove tight bounds for this VC dimension. Thus, we get quantitative estimates for the diversity of functions that a network with fixed architecture can compute with different settings of its delays. In particular, it turns out that a network of spiking neurons with k adjustable delays is able to compute a much richer class of functions than a threshold circuit with k adjustable weights. The results also yield bounds for the number of training examples that an algorithm needs for tuning the delays of a network of spiking neurons. Results about the computational complexity of such algorithms are also given.	6543171
31	69bc641357e9ce27b86ebd80b1ea680abf9d2a6b	The expected performance curve: a new assessment measure for person authentication	Keywords: learning Reference EPFL-REPORT-82993 URL: http://publications.idiap.ch/downloads/reports/2003/rr03-84.pdf Record created on 2006-03-10, modified on 2017-05-10	15524058
32	7019669fc9b5dc8b0b0933aed8ee1e4596cb3383	Simultaneous seismic compression and denoising using a lapped transform coder	Compression and denoising are two of the most successful applications of wavelets to signals and natural images. Both techniques have also been successfully applied to seismic signals, but compression is not widely accepted yet, since it is often believed to harm seismic information.	2454952
33	3798125b5843b00f9b5d441588c905e1746fc6e0	Analysis on Computer Automatic Identification of Low-Over Current for Conductor Insulating Lagging		206583074
34	7801c9d098d4c300b978ccaffca6e3b9ca3d58d9	Dots and Incipients: Extended Features for Partial Fingerprint Matching	There are fundamental differences in the way fingerprints are compared by forensic examiners and current automatic systems. For example, while automatic systems focus mainly on the quantitative measures of fingerprint minutiae (ridge ending and bifurcation points), forensic examiners often analyze details of intrinsic ridge characteristics and relational information. This process, known as qualitative friction ridge analysis [1], includes examination of ridge shape, pores, dots, incipient ridges, etc. This explains the challenges that current automatic systems face in processing partial fingerprints, mostly seen in latents. The forensics and automatic fingerprint identification systems (AFIS) communities have been active in standardizing the definition of extended feature set, as well as quantifying the relevance and reliability of these features for automatic matching systems. CDEFFS (committee to define an extended feature set) has proposed a working draft on possible definitions and representations of extended features [2]. However, benefits of utilizing these extended features in automatic systems are not yet known. While fingerprint matching technology is quite mature for matching tenprints [3], matching partial fingerprints, especially latents, still needs a lot of improvement. We propose an algorithm to extract two major level 3 feature types, dots and incipients, based on local phase symmetry and demonstrate their effectiveness in partial print matching. Since dots and incipients can be easily encoded by forensic examiners, we believe the results of this research will have benefits to next generation identification (NGI) systems.	14894885
35	e98d0826cbb2651313b44931358dbdf1312f4cc2	Tissue motion estimation using dictionary learning: Application to cardiac amyloidosis	Cardiac strain estimation from ultrasound images is an efficient tool for the diagnosis of cardiac diseases. This study focuses on cardiac amyloidosis (CA), a pathology characterized by nonspecific early symptoms such as increased wall thickness. Recent clinical studies have demonstrated that patients with CA present an apex-to-base gradient longitudinal strain pattern, i.e., a normal strain in apex and abnormally lower values for base segments. Existing cardiac motion estimation (ME) methods belong to three categories: optical flow, speckle tracking and elastic registration. To overcome the ill-posedness of ME, they use local parametric models (e.g., affine) or global regularizations (e.g., B-splines). The objective of this study is twofold: i) to propose a novel ME method based on dictionary learning, ii) to evaluate this method on patients subjected to CA.	47472176
36	762e7417c793a64e064276f178f3ddd061659965	An Infeasible Start Predictor Corrector Method for Semi-deenite Linear Programming	In this paper we present an infeasible start path following predictor corrector method for semideenite linear programming problem. This method does not assume that the dual pair of semideenite programs have feasible solutions, and, in at most O(jlog((A;b;C))jn) iterations of the predictor corrector method, nds either an approximate solution to the dual pair or shows that there is no optimal solution with duality gap zero in a well deened bounded region. The nonexistence of optimal solutions is detected in a nite number of iterations. Here is a measure of non-optimality and infeasibility of the pair of solutions found, and is generally chosen to be small; (A; b; C) is a function of the data of the problem and is a measure of the size of the region searched, and is generally large. The method we present generalizes a method for linear programming developed by Mizuno. We give some preliminary computational experience for this method, and compare its performance (measured by the number of iterations) with that of the code SP of Vandenberghe and Boyd which is Supported by the grant number CCR{9321550 from the National Science Foundation. 0 based on a potential reduction strategy, and the code SDPA of Fujisawa and Kojima which is based on a path following and potential reduction strategy.	18953785
37	186133e5027fc8a32c003a8ef732d25472683836	Maximum mutual information based reduction strategies for cross-correlation based joint distributional modeling	In maximum-likelihood based speech recognition systems, it is important to accurately estimate the joint distribution of feature vectors given a particular acoustic model. In previous work, we showed we can boost the accuracy in this task by modeling the joint distribution of time-localized feature vectors along with the statistics relating those feature vectors to their surrounding context. In this work, we evaluate information preserving reduction strategies for those statistics. We claim that those statistics corresponding to spectro-temporal loci in speech with relatively large mutual information are most useful in estimating the information contained in the feature-vector joint distribution. Furthermore, we claim that such statistics are most likely to generalize. Using an EM algorithm to compute the mutual information between pairs of points in the time-frequency grid, we verify these hypotheses using both overlap plots and speech recognition word error results.	12303329
38	afdec637c898ada6443c961b254b58e433a5198a	Universal Steganalysis Based on Local Prediction Error in Wavelet Domain	A passive universal image steganalysis method is proposed that is shown to be of higher detection accuracy than existing truly blind steganalysis methods including Farid's and the WAM. This is achieved by improving some weaknesses of Farid's steganalysis scheme in feature extraction, that is, instead of deriving an over-determined equation system for each sub band of the wavelet decomposition, the sub bands are divided into overlapping blocks and an over-determined equation system is constructed for each block. To guarantee the existence of finite answers, the over-determined equation systems are solved in a way different from Farid's by using Moore-Penrose pseudo-inverse concept. Further improvement to the performance is achieved by adding diagonal directions and increasing the number of moments. The comparative evaluations confirm the superiority of the proposed method over prevalent blind steganalysis schemes.	7342580
39	8b5fbc3788d15e93276f161f75a1b3054dac07be	Median Frequency Changes Of Elbow Antagonist Muscle Pair During Sustained Constant-force Contraction		61779016
40	864f4bd585a6f368a60ea4aa083a1ebfabace7b3	Learning-based control of preception for mobility	To overcome the lack of flexibility and inadequacy in performance speed of perception systems for use in real-time tasks, the authors have applied integrated learning techniques to a perception system that is based on a selective sensing paradigm. The incorporation of multiple learning algorithms at different levels provides a great deal of flexibility and robustness when different perceptual task are performed. Using a selective sensing paradigm allows the system to eliminate a large amount of nonpertinent sensory data so that processing speed is greatly increased. Such a perception system is being implemented on an autonomous mobile agent. The methodology and a preliminary example of learning within the perception system are presented.<<ETX>>	15720662
41	7f27d96c4c963690d1e61ca419a6b2f26c5fb275	Scale-invariant region-based hierarchical imagematching	This paper presents an approach to scale-invariant image matching. Given two images, the goal is to find correspondences between similar subimages, e.g., representing similar objects, even when the objects are captured under large variations in scale. As in previous work: similarity is defined in terms of geometric, photometric and structural properties of regions, and images are represented by segmentation trees that capture region properties and their recursive embedding. Matching two regions thus amounts to matching their corresponding subtrees. Scale invariance is aimed at overcoming two challenges in matching two images of similar objects. First, the absolute values of many object image properties may change with scale. Second, some of the finest details visible in the high-zoom image may not be visible in the coarser scale image. We normalize the region properties associated with one of the subtrees to the corresponding properties of the root of the other subtree. This makes the scales of objects represented by the two subtrees equal, and also decouples this scale from that of the entire scene. We also weight contributions of subregions to the total similarity of their parent regions by the relative area the subregions occupy within the parents. This reduces the penalty for not being able to match fine-resolution details present within only one of the two regions, since the penalty will be down-weighted by the relatively small area of these details. Our experiments demonstrate invariance of the proposed algorithm to large changes in scale.	14323360
42	c8518a038a8bcbdf9d2f465fb6462d7f45e1e2bc	Point-Based Manifold Harmonics	This paper proposes an algorithm to build a set of orthogonal Point-Based Manifold Harmonic Bases (PB-MHB) for spectral analysis over point-sampled manifold surfaces. To ensure that PB-MHB are orthogonal to each other, it is necessary to have symmetrizable discrete Laplace-Beltrami Operator (LBO) over the surfaces. Existing converging discrete LBO for point clouds, as proposed by Belkin et al. [CHECK END OF SENTENCE], is not guaranteed to be symmetrizable. We build a new point-wisely discrete LBO over the point-sampled surface that is guaranteed to be symmetrizable, and prove its convergence. By solving the eigen problem related to the new operator, we define a set of orthogonal bases over the point cloud. Experiments show that the new operator is converging better than other symmetrizable discrete Laplacian operators (such as graph Laplacian) defined on point-sampled surfaces, and can provide orthogonal bases for further spectral geometric analysis and processing tasks.	457918
43	f8e0600e1f00b1bc089ac7e8700426f7e13f3835	Neural Network Adaptive L2 Robust Control for Induction Motors	A neural network adaptive L2 robust control method is proposed for induction motors. The proposed controllers are combined with a rotor flux observer. The disturbances caused by the uncertainties of stator and rotor resistances and load torque are compensated using radial basis function neural networks (RBFNNs). Based on backstepping, RBFNN, and HJI (Hamilton-Jaccobi-Issacs) inequality, the neural network adaptive L2 robust controllers are designed and the control system is proved to have L2-gain less than or equal to a specified positive constant gamma without solving the HJI inequality directly. The simulation results indicate that the proposed method is robust to the considered uncertainties of the induction motor parameters and has high dynamic performance.	21223251
44	4838c664bb5b8c90e803719b1b72d0a993cb52f6	A game-theoretic mode for EV discharging price and its application	With a large number of EV (Electric Vehicle) accessing to distribution network, this paper put to use game theory to balance grid company's gains and the consumers' costs. Reasonable subsidy and discharging price are the fundamental driving force for consumers to participate in V2G (Vehicle-to-grid). Based on different strategic decisions of grid company and consumers, the paper analyzes the their profits and the losses explains the relasionship between dischanging price and the numbers of EV paticipating to V2G. This research provides a reference for companies to formulate the subsidy and the discharging price.	21314044
