	doc_id	corpus_id	title	abstract	label_type	label	class
10	16198962	632447	Primary angiosarcoma of the lung	Primary angiosarcoma of the lung is a rare disorder with few cases reported in the literature [Patel AM, Ryu JH. Angiosarcoma in the lung. Chest 1993;103:1531-35]. We present a case of primary angiosarcoma of the lung in a 79-year-old woman. Preoperative computed tomographic scan revealed soft tissue nodules surrounded by a halo of ground-glass attenuation, an appearance consistent with hemorrhagic pulmonary nodules [Primack S, Hartman T, Lee KS. Pulmonary nodules and the CT halo sign. Radiology 1994;190:513-15]. Lung biopsy revealed a multifocal malignant neoplasm with areas of hemorrhage. The histologic, cytologic, and immunophenotypic features were characteristic of epithelioid angiosarcoma. This case report contributes to the sparse literature on this disease and provides computed tomographic and pathologic correlation in a patient with hemorrhagic pulmonary nodules.	Labeled	clinical characteristics or disease pathology	0
11	21534334	26355735	Pediatric pulmonology in a developing country: our focus	This study was designed to determine the profile of our pediatric pulmonology unit in Turkey, a developing country, by investigating the patients admitted to our unit for the first time. Our objectives were: to determine the profile of patients admitted for the first time, to compare their initial diagnoses before referral to our hospital with the diagnoses determined in our unit, to determine the definitive diagnoses for patients requiring advanced intervention with invasive diagnostic methods, and to follow the treatments, operations and invasive-noninvasive mechanical ventilation practices. With these objectives in mind, the records of 412 patients who visited the pediatric pulmonology clinic within a six-month period were reviewed. The referral diagnoses, consisting mostly of primary ciliary dyskinesia, recurrent lung infections caused by immune deficiency and bronchiectasis, as well as definitive diagnoses were recorded. Tuberculosis (14%), cystic fibrosis (7.8%), bronchiectasis (4.6%), immune deficiency (1.6%), hydatid cyst (2%), and primary ciliary dyskinesia (1%) were the most commonly diagnosed diseases. Final diagnosis in 145 of the 412 patients (35.2%) differed from the referral diagnosis. Consanguineous marriages are encountered more commonly in developing countries like Turkey, leading to an increased incidence of genetic diseases such as primary ciliary dysgenesis, cystic fibrosis and immune deficiencies. Infectious diseases such as hydatid cyst and tuberculosis are also common. In any country in which there is a unique distribution of diseases, in other words, a characteristic and unique disease spectrum, courses and instructional fellowship programs should be arranged accordingly.	Gold Standard	clinical characteristics or disease pathology	0
12	24782230	13959302	Clinical delineation and natural history of the PIK3CA-related overgrowth spectrum	Somatic mutations in the phosphatidylinositol/AKT/mTOR pathway cause segmental overgrowth disorders. Diagnostic descriptors associated with PIK3CA mutations include fibroadipose overgrowth (FAO), Hemihyperplasia multiple Lipomatosis (HHML), Congenital Lipomatous Overgrowth, Vascular malformations, Epidermal nevi, Scoliosis/skeletal and spinal (CLOVES) syndrome, macrodactyly, and the megalencephaly syndrome, Megalencephaly-Capillary malformation (MCAP) syndrome. We set out to refine the understanding of the clinical spectrum and natural history of these phenotypes, and now describe 35 patients with segmental overgrowth and somatic PIK3CA mutations. The phenotypic data show that these previously described disease entities have considerable overlap, and represent a spectrum. While this spectrum overlaps with Proteus syndrome (sporadic, mosaic, and progressive) it can be distinguished by the absence of cerebriform connective tissue nevi and a distinct natural history. Vascular malformations were found in 15/35 (43%) and epidermal nevi in 4/35 (11%) patients, lower than in Proteus syndrome. Unlike Proteus syndrome, 31/35 (89%) patients with PIK3CA mutations had congenital overgrowth, and in 35/35 patients this was asymmetric and disproportionate. Overgrowth was mild with little postnatal progression in most, while in others it was severe and progressive requiring multiple surgeries. Novel findings include: adipose dysregulation present in all patients, unilateral overgrowth that is predominantly left-sided, overgrowth that affects the lower extremities more than the upper extremities and progresses in a distal to proximal pattern, and in the most severely affected patients is associated with marked paucity of adipose tissue in unaffected areas. While the current data are consistent with some genotype-phenotype correlation, this cannot yet be confirmed.	Labeled	disease mechanism	2
13	20602486	6402348	Creatine transporter deficiency in two half-brothers	X-linked cerebral creatine deficiency is caused by the deficiency of the creatine transporter encoded by the SLC6A8 gene. Here, we report two half-brothers with this condition and characterize creatine transport in human fibroblasts. The propositus presented at 6 months of age with delays in development and slow progress since then with no regression. Seizures started at 3.5 years of age and responded well to treatment with anticonvulsants. He had failure to thrive with all growth parameters (including head size) at or below the fifth centile. Brain MRI indicated hemispheric white matter abnormalities, while MR spectroscopy indicated markedly reduced creatine peak. Biochemical testing indicated increased urine creatine/creatinine ratio, with normal plasma creatine and guanidinoacetate. To confirm the diagnosis, we measured ([14])C-creatine transport in fibroblasts. ([14])C-Creatine transport in normal human fibroblasts was linear for up to 2 hr at 37 degrees C. Kinetic studies indicated the presence of a single saturable creatine transporter with a K(m) of 34.7 +/- 2.5 microM. Fibroblasts from the propositus lacked creatine transport. DNA testing indicated hemizygosity for a novel deletion producing a frameshift (c.974_975delCA, p.Thr325SerfsX139) in the creatine transporter gene. His 12-year-old half-brother had similar biochemical and clinical abnormalities except for the presence of macrocephaly and the absence of seizures. The mother had history of seizures in childhood, but had normal development. These results show that human fibroblasts have a single major creatine transporter and that measurement of its specific activity can confirm creatine transporter deficiency.	Labeled	clinical characteristics or disease pathology	0
14	15459119	17151713	Pancreatic islet adaptation to fasting is dependent on peroxisome proliferator-activated receptor alpha transcriptional up-regulation of fatty acid oxidation	The cellular response to fasting and starvation in tissues such as heart, skeletal muscle, and liver requires peroxisome proliferator-activated receptor-alpha (PPARalpha)-dependent up-regulation of energy metabolism toward fatty acid oxidation (FAO). PPARalpha null (PPARalphaKO) mice develop hyperinsulinemic hypoglycemia in the fasting state, and we previously showed that PPARalpha expression is increased in islets at low glucose. On this basis, we hypothesized that enhanced PPARalpha expression and FAO, via depletion of lipid-signaling molecule(s) for insulin exocytosis, are also involved in the normal adaptive response of the islet to fasting. Fasted PPARalphaKO mice compared with wild-type mice had supranormal ip glucose tolerance due to increased plasma insulin levels. Isolated islets from the PPARalpha null mice had a 44% reduction in FAO, normal glucose use and oxidation, and enhanced glucose-induced insulin secretion. In normal rats, fasting for 24 h increased islet PPARalpha, carnitine palmitoyltransferase 1, and uncoupling protein-2 mRNA expression by 60%, 62%, and 82%, respectively. The data are consistent with the view that PPARalpha, via transcriptionally up-regulating islet FAO, can reduce insulin secretion, and that this mechanism is involved in the normal physiological response of the pancreatic islet to fasting such that hypoglycemia is avoided.	Labeled	disease mechanism	2
15	11685615	21205737	Histological study on local invasiveness of clival chordoma	Case report of autopsy. It is well known that clival chordomas invade bony structures; however, their invasiveness of other structures has rarely been reported. We report an autopsy case of clival chordoma in a 61-year-old woman, who underwent surgery 6 times for a period of 8 years, with special reference to its local invasiveness. The histological studies showed that the tumour grew in the loose connective tissue in multilayers or multilobular fashion, invading the submucous layer in addition to the bone; however, it did not invade other soft tissue, particularly vital neurovascular structures or the dura itself, even in the advanced stage. The dura may serve as a strong barrier against tumour invasion into the intradural space, which emphasises the importance of not injuring the dura, when the tumour is removed extradurally. For radical removal of clival chordoma, it will be necessary to remove the tumour extensively including normal bone and soft tissues surrounding the tumour, especially the mucous membrane, because the normal mucous membrane is surgically difficult to preserve by dissecting it from the invaded submucous layer.	Labeled	clinical characteristics or disease pathology	0
16	16900301	28672315	Purtscher's-like retinopathy as an initial presentation of adult-onset Still's disease: a case report and review of the literature	Adult-onset Still's disease is a multisystem inflammatory disorder of unknown etiology and is characterized by high, spiking fever, arthritis, evanescent maculopapular rash, myalgia, serositis, leukocytosis, and involvement of various organs including the eyes. The ocular manifestations have been described including orbital pseudotumor, ptosis, and diplopia with orbital pain but never Purtscher's-like retinopathy. We describe a 21-year-old male patient with adult-onset Still's disease who developed the Purtscher's-like retinopathy. To our knowledge, this is the first reported adult-onset Still's disease patient with Purtscher's-like retinopathy as the initial presentation.	Labeled	clinical characteristics or disease pathology	0
17	28991683	29944288	A new PLA2G6 mutation in a family with infantile neuroaxonal dystrophy	Phospholipase A2-associated neurodegeneration (PLAN), a syndrome of Neurodegeneration with Brain Iron Accumulation (NBIA), is an autosomal recessive disorder caused by mutations in PLA2G6 gene. This gene encodes a calcium-independent group VI phospholipase A2 (iPLA-VI) critical in cell membrane homeostasis. PLAN syndrome encompasses a group of phenotypes with a different age of onset: classic infantile neuroaxonal dystrophy (INAD), atypical neuroaxonal dystrophy of childhood-onset (atypical NAD) and adult-onset PLA2G6-related dystonia-parkinsonism (PARK14). INAD is a severe progressive psychomotor disorder characterized by the presence of axonal spheroids throughout the central and peripheral nervous system. Here we report clinical, genetic and histopathological findings of an INAD consanguineous-family from Senegal. Sanger sequencing analysis revealed a new homozygous PLA2G6-mutation in the proband (c.1483C>T) and the co-segregation of the mutation in this family. Electron microscopy on skin biopsy showed degenerated axons confirming the phenotype. This study contributes to enrich the landscape of PLA2G6-associated INAD mutations and enforce the genotype-phenotype correlation.	Labeled	disease mechanism	2
18	26288526	41887516	Pediatric multifocal liver lesions evaluated by MRI	The purpose of this study is to present our experience with MRI evaluation of multifocal liver lesions in children and describe the MRI characteristics of these lesions. A retrospective review of consecutive MRI exams performed for the evaluation of multiple liver lesions between 1 January 2007 and 31 December 2012 was done to note the number of lesions, the size of the largest lesion, MR signal characteristics, and background liver. Final diagnosis was assigned to each case based on pathology in the available cases and a combination of clinical features, imaging features, and follow-up in the remaining cases. A total of 48 children (22 boys, 26 girls; age between 3 months and 18 years with average age 10.58 years and median age 11 years) were included in the study. Totally 51 lesion diagnoses were seen in 48 children that included 17 focal nodular hyperplasia (FNH), 8 hemangiomas, 7 metastases, 6 regenerative nodules, 3 adenomas, 3 abscesses, and one each of angiomyolipoma, epithelioid hemangioendothelioma, focal fatty infiltration, hepatocellular carcinoma, hepatic infarction, nodular regenerative hyperplasia, and hepatic cyst. Background liver was normal in 33, cirrhotic in 10, fatty in 3, and siderotic in 2 children. Most FNH, hemangiomas, and regenerative nodules showed characteristic MRI features, while metastases were variable in signal pattern. Many commonly seen multifocal liver lesions in children have characteristic MRI features. MRI can help to arrive at reasonable differential diagnoses for multifocal liver lesions in children and guide further investigation and management.	Labeled	clinical characteristics or disease pathology	0
19	33243178	227180162	Two novel mutations in the DNAH11 gene in primary ciliary dyskinesia (CILD7) with considerable variety in the clinical and beating cilia phenotype	Diagnosis of primary ciliary dyskinesia (PCD) still remains a challenge, especially with mutations in the Dynein Arm Heavy Chain 11 (DNAH11) gene. Classical diagnostic measures like Transmission Electron Microscopy (TEM) are not applicable for mutations in the DNAH11 gene since ultrastructural defects of the ciliary apparatus are absent. Novel mutations encoding for PCD appear all the time with considerable variation in the clinical picture, making it necessary to update data bases and guidelines for PCD diagnostics. In this study we examined two unrelated, Finnish families with symptoms of PCD applying the clinical scoring system: Primary ciliary dyskinesia Rule (PICADAR), high speed video microscopy analysis (HSVMA) for ciliary movement, a commercially available gene panel analysis and nasal Nitric Oxide (nNO) measurements if applicable. Two, likely pathogenic variants in the DNAH11 gene (c.2341G > A, p. (Glu781Lys) ja c.7645 + 5G > A) were detected. In the first family, compound heterozygous mutations led to disease manifestation in two of 4 children, which showed a similar phenotype of cilia beating pattern but marked differences in disease severity. In the second family, all three children were homozygotes for the c.2341G > A p.(Glu781Lys) mutation and showed a similar degree of disease severity. However, the phenotype of cilia beating pattern was different ranging from stiff, static cilia to a hyperkinetic movement in one of these children. In this study we describe two Finnish families with PCD, revealing two novel mutations in the DNAH11 gene which show considerable variety in the clinical and beating cilia phenotype. The results of this study show the clinician that PCD can be much milder than generally expected and diagnosis demands a combination of measures which are only successful in experienced hands. Chronic and repeatedly treated wet cough should raise suspicion of PCD, referring the patient for further diagnostics to a specialised PCD centre.	Labeled	disease mechanism	2
20	25365848	9797384	Cloves syndrome: a case report and perinatal diagnostic findings	We report a neonate with prenatal ultrasound imaging features suggestive of CLOVES syndrome, confirmed postnatally by clinical and imaging findings of the constellation of truncal overgrowth, cutaneous capillary malformations, lymphatic and musculoskeletal anomalies. The clinical, radiological and histopathological findings noted in our patient help differentiate from other overgrowth syndromes such as Proteus syndrome. We report perinatal findings and add new clinical findings of this rare syndrome.	Labeled	clinical characteristics or disease pathology	0
21	17039144	23505375	Worsening of macrophage activation syndrome in a patient with adult onset Still's disease after initiation of etanercept therapy	The macrophage activation syndrome (MAS) is a rare, potentially fatal, clinical syndrome, which has been described in childhood rheumatic disorders. MAS is defined by a prolonged period of fevers, pancytopenia, and hypertriglyceridemia (with or without hypofibrinogenemia). Histopathological examination of bone marrow, spleen, or lymph nodes shows hemophagocytosis by mononuclear phagocytes. In patients with Still's disease, observed triggering events for MAS have included both infectious processes and pharmacological agents, such as parenteral gold and nonsteroidal anti-inflammatory drugs. We report the case of a young woman with adult-onset Still's disease (AOSD), complicated by an Epstein-Barr virus infection and subsequent MAS, whose course worsened after administration of the soluble tumor necrosis factor-alpha receptor, etanercept. Subsequent treatment with pulse corticosteroids and cyclosporine A induced a dramatic clinical improvement. Treatment data regarding the use of etanercept in AOSD are lacking; given our experience and recent reports in children with Still's disease, we would suggest caution using this agent in patients with AOSD, particularly when complicated by MAS.	Labeled	therapeutics in the clinic	3
22	21906157	205678479	Multiple cutaneous plexiform schwannomas as initial presentation of neurofibromatosis 2 in a 9-year-old	Neurofibromatosis 2 (NF2) is an autosomal-dominant disease caused by genetic mutations of the NF2 gene on chromosome 22. Patients are often diagnosed according to the presence of bilateral vestibular schwannomas and other tumors in the brain and spinal cord. In children, NF2 can present early with ocular findings and cutaneous tumors. We report here a 9-year-old girl who presented with multiple pigmented, slightly tender plaques on her scalp, face, and back that were revealed by histopathology to be plexiform schwannomas. We suspected NF2 and sent the patient's blood for genetic testing, which confirmed our diagnosis.	Labeled	clinical characteristics or disease pathology	0
23	26799970	1801503	Whole-Body Diffusion-Weighted Imaging in Chronic Recurrent Multifocal Osteomyelitis in Children	Chronic recurrent multifocal osteomyelitis/ chronic non-bacterial osteomyelitis (CRMO/ CNO) is a rare auto-inflammatory disease and typically manifests in terms of musculoskeletal pain. Because of a high frequency of musculoskeletal disorders in children/ adolescents, it can be quite challenging to distinguish CRMO/ CNO from nonspecific musculoskeletal pain or from malignancies. The purpose of this study was to evaluate the visibility of CRMO lesions in a whole-body diffusion-weighted imaging (WB-DWI) technique and its potential clinical value to better characterize MR-visible lesions. Whole-body imaging at 3T was performed in 16 patients (average: 13 years) with confirmed CRMO. The protocol included 2D Short Tau Inversion Recovery (STIR) imaging in coronal and axial orientation as well as diffusion-weighted imaging in axial orientation. Visibility of lesions in DWI and STIR was evaluated by two readers in consensus. The apparent diffusion coefficient (ADC) was measured for every lesion and corresponding reference locations. A total of 33 lesions (on average 2 per patient) visible in STIR and DWI images (b = 800 s/mm2 and ADC maps) were included, predominantly located in the long bones. With a mean value of 1283 mm2/s in lesions, the ADC was significantly higher than in corresponding reference regions (782 mm2/s). By calculating the ratio (lesion to reference), 82% of all lesions showed a relative signal increase of 10% or higher and 76% (25 lesions) showed a signal increase of more than 15%. The median relative signal increase was 69%. This study shows that WB-DWI can be reliably performed in children at 3T and predominantly, the ADC values were substantially elevated in CRMO lesions. WB-DWI in conjunction with clinical data is seen as a promising technique to distinguish benign inflammatory processes (in terms of increased ADC values) from particular malignancies.	Labeled	clinical characteristics or disease pathology	0
24	8994531	30778093	Bilateral chylothorax complicating massive osteolysis (Gorham's syndrome)	Chylothorax may rarely occur in osteolysis. A fatal case of bilateral chylothorax complicating massive osteolysis is described and the pathogenesis and management are discussed.	Labeled	clinical characteristics or disease pathology	0
25	15368153	24162036	Gorham-Stout disease: report of a case affecting the right hand with a follow-up of 24 years	Gorham-Stout disease is a rare idiopathic syndrome with distinctive clinical, pathologic and radiologic features. It is a variant form of osseus angiomatosis associated with massive osteolysis of bone. Usually appearing after trauma, the disease is described to occur at any age. Especially in case of thoracic involvement (chylothorax), lethal outcomes are reported. In Medline, about 200 cases have been described. A patient with osteolysis of the right hand following contusion at the age of two years is reported. Despite radiotherapy and repeated bone grafting, the osteolysis progressed until today (24 years). The pathologic features and various treatment methods for hand involvement are discussed.	Labeled	clinical characteristics or disease pathology	0
26	1434243	35100862	Mitral valve replacement in a patient with hereditary hemorrhagic telangiectasia	A 46-year-old female with mitral insufficiency complicated by hereditary hemorrhagic telangiectasia (Osler's disease) underwent successfully mitral valve replacement. The patient had a history of repeated large-volume nasal bleeding. Mitral valve replacement using a xenograft was safely performed with various attempts for preventing abnormal postoperative hemorrhage.	Labeled	therapeutics in the clinic	3
