	doc_id	corpus_id	title	abstract	venue	n_citations	log_citations
10	114855222	114855222	A BIM based Decision Support System Framework for Predictive Maintenance Management of Building Facilities	Facility management (FM) involves multidisciplinary efforts and requires the coordination of different people, properties and processes. Therefore, extensive information of multiple dimensions needs to be stored and managed for FM. Currently, some buildings and facilities are managed manually, while some use databases and automated devices like sensors to capture and manage FM records. However, the current approaches do not fully utilize the collected FM records and provide a user friendly interface for facilitating the operation and maintenance (O&M) of building facilities. Several academic and commercial efforts attempted to leverage building information modeling (BIM) technology to link and visualize FM records, but these efforts are still weak in proactively predicting asset failure, suggesting maintenance schedules and allocating budget for FM. This paper presents a decision support system framework based on BIM for O&M of buildings. The framework consists of three modules: Condition Assessment Module, Failure Prediction Module, and Maintenance Planning and Budget Allocation Module. The Condition Assessment Module manages the facility condition data that are automatically captured by sensor devices as well as collected via inspection and condition survey. Incorporated with failure records and lifetime estimation models, the Failure Prediction Module integrates with the Condition Assessment Module and forecasts component failures. The results provide a basis for predictive maintenance of building facilities. BIM is also leveraged to manage and visualize not only the FM data but also the predictive maintenance results. Since each O&M action has its cost implications, the Maintenance Planning and Budget Allocation Module is included in this proposed framework to help facility managers evaluate cost implications and dynamically adjust maintenance plan.		11	2.3980000019073486
11	21494681	21494681	Example based super resolution via social images	A novel image patch based example based super resolution algorithm is proposed for benefitting from social image data. The proposed algorithm is designed based on matrix value operator learning techniques where the image patches are understood as the matrices and the single image super resolution is treated as a problem of learning a matrix value operator. Taking advantage of the matrix trick, the proposed algorithm is so fast that it could be trained on social image data. To our knowledge, the proposed algorithm is the fastest single image super resolution algorithm when both training and test time are considered. Experimental results have shown the efficiency and the competitive performance of the proposed algorithm to most of state of the art single image super resolution algorithms.	Neurocomputing	49	3.8919999599456787
12	9752308	9752308	Field Tests on Total Gap of Modular Expansion Joints to Avoid Bridge Pounding	Modular expansion joints (MEJs) are used for accommodating large relative displacements of adjacent bridge segments and for completely eliminating pounding. However, the minimum total gap that an MEJ needs to avoid pounding is not well investigated. To provide guidance for the seismic gap of MEJs, the maximum relative displacement of adjacent bridge segments subject to strong earthquakes was studied experimentally. To date, no experimental investigation of excitation spatial variation effect on bridge on natural soil has been reported. This research addressed a bridge with three identical segments of 100 m. A 1:22 scale bridge model founded on compacted beach sand was tested using electro magnetic inertial exciters. Different ground motions were applied to the model to simulate the effect of spatially varying ground motions. Soil structure interaction (SSI) was studied by comparing the minimum total gaps with those obtained from the fixed based experiments in the laboratory. The spatially varying ground motions were simulated based on the New Zealand design spectra for soft soil, shallow soil and strong rock conditions using an empirical coherency loss function. SSI was found to reduce the minimum total gap of an MEJ needed to avoid pounding between adjacent segments. Under spatially varying ground motions designing adjacent bridge segments with identical or similar fundamental frequencies is still recommended even if it does not necessarily preclude an out of phase movement of adjacent structures.	Front. Built Environ.	2	0.6930000185966492
13	64207048	64207048	Insight into Fuzzy Modeling: Novak/Insight into Fuzzy Modeling			39	3.6640000343322754
14	16790588	16790588	Refinement of the Lugano Classification lymphoma response criteria in the era of immunomodulatory therapy.	"Uniformly adopted response criteria are essential for assessment of therapies incorporating conventional chemotherapy and chemoimmunotherapy regimens. Recently, immunomodulatory agents, such as immune checkpoint inhibitors, have demonstrated impressive activity in a broad range of lymphoma histologies. However, these agents may be associated with clinical and imaging findings during treatment suggestive of progressive disease (PD) despite evidence of clinical benefit (eg, tumor flare or pseudo progression) Considering this finding as PD could lead to patients being prematurely removed from a treatment from which they actually stand to benefit. This phenomenon has been well described with checkpoint blockade therapy in solid tumors and anecdotally seen in lymphoma as well. To address this issue in the context of lymphoma immunomodulatory therapy, a workshop was convened to provide provisional recommendations to modify current response criteria in patients receiving these and future agents in clinical trials. The term ""indeterminate response"" was introduced to identify such lesions until confirmed as flare/pseudo progression or true PD by either biopsy or subsequent imaging."	Blood	211	5.3520002365112305
15	171241741	171241741	"""Frankenstein"" on language and becoming (post)human"	"espanolEl ""monstruo"" en Frankenstein de Shelley es un cuerpo forzado a convertirse en humano por si mismo, sin la ayuda de otros seres humanos. Este proceso esta condenado al fracaso, porque no hay humanidad sin socialidad. El caso del ""monstruo"" es confrontado con otros dos casos parecidos: la estatua de Condillac en Traite des sensations y el ""lenguaje privado"" en Wittgenstein en Investigaciones Filosoficas. Lo que al ""monstruo"" le falta es un espejo externo, social y linguistico, donde poder reconocerse a si mismo como ser humano. La ""criatura"" es todavia demasiado humana para sobrellevar su nueva condicion post humana. En este articulo se analizan las principales consecuencias teoricas de tal estado hibrido. En concreto, este trabajo finaliza con la propuesta del concepto provisional ""comunidad post humana"" EnglishThe ""monster"" in Shelley's Frankenstein is a body forced to become human by itself, without any help from other human beings. This process necessarily fails, because there is no humanity without sociality. The case of the ""monster"" is confronted with two similar cases: Condillac's statue in Traite des sensations and Wittgenstein's ""private language"" in Philosophical Investigations. What the ""monster"" lacks is an external social and linguistic mirror where it could recognize itself as a human being. But the ""creature"" is still too human to endure its new posthuman condition. The main theoretical consequences of such a hybrid state are analyzed here. In particular, the paper ends with the proposal of a tentative concept of ""post human community."""		1	0.0
16	23296681	23296681	Determination of polar pesticides in olive oil and olives by hydrophilic interaction liquid chromatography coupled to tandem mass spectrometry and high resolution mass spectrometry.	This article reports the development of two HPLC MS methods for the determination of polar pesticides in olive oil and olive samples by hydrophilic interaction liquid chromatography (HILIC) separation followed by mass spectrometry detection with tandem mass spectrometry using a triple quadrupole instrument operated in multiple reaction monitoring mode (HILIC MS/MS) or electrospray time of flight mass spectrometry (HILIC TOFMS) The selected polar pesticides included in the study were: amitrol, cyromazine, diquat, paraquat, mepiquat, trimethylsulfonium (trimesium, glyphosate counterion) and fosetyl aluminium. The simple sample treatment procedure was based on liquid partitioning with methanol. The performance of the sample extraction was evaluated in terms of recovery rates and matrix effects in both olive oil and olives matrices. The results obtained for olive oil were satisfactory while, due to the high complexity of olives, poor recovery rates were obtained for the extraction of diquat, paraquat and amitrol, although with a reasonable precision enabling its use in routine analysis. Similarly, matrix effects were minor in the case of olive oil (ca. 20% suppression average) while significantly higher suppression was observed for olives (30 50% suppression average) The studied approaches were found to be useful for the determination of the pesticides studied in olive oil and olives with limits of quantitation below 5ugkg( 1) in most cases when tandem mass spectrometry was used, thus being in compliance with MRLs set by current EU regulation.	Talanta	32	3.4660000801086426
17	148038463	148038463	Estimating the Effect of State Zero Tolerance Laws on Exclusionary Discipline, Racial Discipline Gaps, and Student Behavior	Zero tolerance discipline policies have come under criticism as contributors to racial discipline gaps; however, few studies have explicitly examined such policies. This study utilizes data from two nationally representative data sources to examine the effect of state zero tolerance laws on suspension rates and principal perceptions of problem behaviors. Utilizing state and year fixed effects models, this study finds that state zero tolerance laws are predictive of a 0.5 percentage point increase in district suspension rates and no consistent decreases in principals' perceptions of problem behaviors. Furthermore, the results indicate that the laws are predictive of larger increases in suspension rates for Blacks than Whites, potentially contributing to the Black White suspension gap. Implications for policy and practice are discussed.		81	4.394000053405762
18	26673228	26673228	Deep Metric Learning with Improved Triplet Loss for Face Clustering in Videos	Face clustering in videos is to partition a large amount of faces into a given number of clusters, such that some measure of distance is minimized within clusters and maximized between clusters. In real world videos, head pose, facial expression, scale, illumination, occlusion and some uncontrolled factors may dramatically change the appearance variations of faces. In this paper, we tackle this problem by learning non linear metric function with a deep convolutional neural network from the input image to a low dimensional feature embedding with the visual constraints among face tracks. Our network directly optimizes the embedding space so that the Euclidean distances correspond to a measure of semantic face similarity. This is technically realized by minimizing an improved triplet loss function, which pushes the negative face away from the positive pairs, and requires the distance of the positive pair to be less than a margin. We extensively evaluate the proposed algorithm on a set of challenging videos and demonstrate significant performance improvement over existing techniques.	PCM	24	3.177999973297119
19	7195224	7195224	Microbial community dynamics in soil aggregates shape biogeochemical gas fluxes from soil profiles upscaling an aggregate biophysical model.	Microbial communities inhabiting soil aggregates dynamically adjust their activity and composition in response to variations in hydration and other external conditions. These rapid dynamics shape signatures of biogeochemical activity and gas fluxes emitted from soil profiles. Recent mechanistic models of microbial processes in unsaturated aggregate like pore networks revealed a highly dynamic interplay between oxic and anoxic microsites jointly shaped by hydration conditions and by aerobic and anaerobic microbial community abundance and self organization. The spatial extent of anoxic niches (hotspots) flicker in time (hot moments) and support substantial anaerobic microbial activity even in aerated soil profiles. We employed an individual based model for microbial community life in soil aggregate assemblies represented by 3D angular pore networks. Model aggregates of different sizes were subjected to variable water, carbon and oxygen contents that varied with soil depth as boundary conditions. The study integrates microbial activity within aggregates of different sizes and soil depth to obtain estimates of biogeochemical fluxes from the soil profile. The results quantify impacts of dynamic shifts in microbial community composition on CO2 and N2 O production rates in soil profiles in good agreement with experimental data. Aggregate size distribution and the shape of resource profiles in a soil determine how hydration dynamics shape denitrification and carbon utilization rates. Results from the mechanistic model for microbial activity in aggregates of different sizes were used to derive parameters for analytical representation of soil biogeochemical processes across large scales of practical interest for hydrological and climate models.	Global change biology	74	4.303999900817871
20	24721499	24721499	Spatio temporal Pattern discovery in sensor data: A multivalued decision systems approach	"Uses multivalued decision systems for spatio temporal pattern recognition.Discovers local spatio temporal rules from cluster heads of sensors.Incorporates rough set inference to reason with space time variant data.Achieves data compression by using compact rules from the nodes to the sinks.Preserves underlying data semantics and quantifies uncertainty parameters. Discovering novel and interesting spatio temporal patterns in sensor data is a major challenge in many scientific domains. Such data are often continuous, unbounded, and associated with high speed, time variant distribution with local and spatial trends. This paper presents a formalism that includes an extension of classical rough set inference mechanism to reason with space time variant data streams. The concept of multivalued decision systems has been used to account for multiple patterns in a single time window or snapshot. Such patterns or templates are incorporated in rough set based rule induction process. A framework for sensor data integration is illustrated by using a space time clustering mechanism followed by the generation of templates and local rules from such clusters. The multivalued decision system allows mining complex multiple patterns instead of a single value in a given template without requiring complex feature transformation. It also allows us to quantify and estimate potential data compression and associated uncertainty parameters. Finally, the results are validated and compared with other related algorithms. In general, the framework will help us understand the underlying reasoning mechanism about the ""part and whole"" or spatio temporal mereological relationship without sacrificing the semantics of the sensor data attributes."	Knowl. Based Syst.	6	1.7920000553131104
21	62287243	62287243	Modularization strategy: analysis of published articles on production and operations management (1999 to 2013)	The objective of this study was to analyze the main topics studied on the subject of modularization in 81 academic articles published between 1999 and 2013 in international and Brazilian journals that include research related to production and operations management. This analysis proposes a general framework of studies that serves as support for future research on modularization strategy. To fulfill the proposed objective, a systematic literature review was conducted using 10 international academic journals and two Brazilian academic journals that publish studies on the study topic. The main results include identifying the lack of studies on the background that leads to modularization, the lack of empirical and quantitative studies on its effects, and the use of modularization in the organizational, service, and environmental contexts. The present study also organizes modularization studies in the proposed conceptual structure and classifies the articles analyzed into a specific modularization taxonomy and in terms of the study's objective.		26	3.257999897003174
22	114529088	114529088	Needs for Changing Accident Investigation from Blaming to Systems Approach	Objective: The purposes of this study are to survey needs for changing accident investigation from blaming to systems approach and to briefly summarize systemsbased accident analysis techniques. Background: In modern complex socio technical systems, accidents are caused by a variety of contributing factors including human, technical, organizational, social factors, not by just a single violation or error of a specific actor, but accidents investigation used to be focused on the incorrect action of individuals. A new approach investigating causes of accidents as a symptom of a deficient system is required. Method: This study was mainly based on survey of literatures related to accidents, accidents investigation, which included academic journals, newspapers, etc. Results: This study showed that accidents investigation of Korea focusing on blaming is problematic. This was confirmed by two concepts of migration and hindsight bias frequently found in accident causation studies, and an attribute of accidents having varying causes. This was illustrated with an example of Sewol ferry capsizing accident. Representative systems based accident analysis models including Swiss cheese model, AcciMap, HFACS, FRAM and STAMP were briefly introduced, which can be used in systematic accidents investigations. Finally, this study proposed a procedure for establishing preventive measures of accidents, which was composed of two steps: public inquiry and devising preventive measures. Conclusion: A new approach considering how safety critical components such as technical and social elements, and their interactions lead to accidents is needed for preventing reoccurrence of similar accidents in complex socio technical systems. Application: The results would be used as a reference or guideline when the safety relevant governmental organizations investigate accidents.		1	0.0
23	55387301	55387301	Volumetric, Acoustic and Conductometric Studies of Acetaminophen in Aqueous Ionic Liquid, 1 Octyl 3 methylimidazolium Bromide at T 293.15 308.15 K	The density (d) speed of sound (u) and electrolytic conductivity (L) for systems containing acetaminophen, ionic liquid {1 octyl 3 methyl imidazolium bromide, [OMIm] Br} and water have been measured at T 293.15 308.15 K. The measured data have been applied to calculate, standard partial molar volume Hepler's constant apparent molar isentropic compressibility (Kph) transfer volume transfer compressibility and hydration number (nH) and used to discuss various solute solvent interactions. The transfer quantities are positive and increase with molalities of ionic liquid and decrease with temperature, indicating the dominance of hydrophilic hydrophilic interactions between the ionic liquid and acetaminophen, and dehydration effect of ionic liquid on the solutions. The limiting molar conductivities and ion association constants (Ka) for [OMIm]Br in aqueous acetaminophen solutions have been estimated using low concentration Chemical Model (lcCM) The Ka values were also used to obtain the thermodynamic functions of association process. Thermodynamic results show that the formation process of ion association of the ionic liquid has endothermic nature and is driven by the change in entropy.		2	0.6930000185966492
24	99382340	99382340	Nanomaterials as a game changer in the management and treatment of diabetic foot ulcers	Nanoengineered biomaterials have tremendously improved the range of tools utilized for the control of as well as acceleration of healing of diabetic foot ulcers (DFU) over the last few decades. Despite nanoparticles and electrospun nanofibers being used extensively for the treatment of DFU, there has been no review available till now which addresses the utilization of the latest nanodelivery techniques along with modern electrospun nanofiber treatments for DFU. This review thoroughly summarizes the latest mindboggling findings of potential nanomaterials like polymeric and metallic nanoparticles and electrospun nanofibers for DFU treatment. In addition, a succinct insight into the potential of the aforementioned nanomaterials which can be exploited as therapeutic delivery agents for improving the regeneration of damaged dermal and epidermal tissues of DFU is underscored. Ultimately, current challenges and future prospects of nanoparticles and electrospun nanofibers for DFU treatment are highlighted.		45	3.806999921798706
25	211377770	211377770	An analysis of the effectiveness of sub regional bodies in offering remedy to post election violence in sub Saharan Africa: The case of SADC on Zimbabwe 2008 2014			1	0.0
26	5260166	5260166	Design of a secure smart card based multi server authentication scheme	Traditional two party client server authentication protocol may not provide a scalable solution for present network environments where personal and ubiquitous computing technologies are involved as it is now becoming multi server based. To achieve efficient authorized communication, multi server based authentication protocols have been designed. The key feature of multi server based protocols is one time registration. We study the existing multi server based authentication protocols, and identify that many of the multi server based authentication protocols involve control server in mutual authentication or trusted server environment is required. The involvement of central authority in mutual authentication may be a bottleneck for large network, and the servers may be semi trusted. To erase these drawbacks, Wei etzal. recently proposed a multi server based authentication protocol. Their protocol does not require all servers to be trusted and involvement of control server in mutual authentication. Unfortunately, we identify the security vulnerability of Wei etzal.'s scheme to insider attack and password guessing attack. Additionally, lack of pre smart card authentication leads to denial of service attack. To enhance the security of Wei etzal.'s protocol, we propose a secure biometric based authentication scheme for multi server environment using smart card. We simulate the proposed protocol for the formal security verification using the widely accepted AVISPA (Automated Validation of Internet Security Protocols and Applications) tool to show that our scheme is secure against active and passive attacks. In addition, we prove that our proposed scheme provides mutual authentication using the widely accepted Burrows Abadi Needham (BAN) logic and is also secured against various well known attacks. In addition, our scheme is efficient in terms of computational and communication overheads as compared to Wei etzal.'s scheme and other existing related schemes.	J. Inf. Secur. Appl.	19	2.944000005722046
