query	57 references	534 citations	BLIP: Bootstrapping Language-Image Pre-training for Unified Vision-Language Understanding and Generation
reference	246411402	222177123	75	Generative Data Augmentation for Commonsense Reasoning
reference	246411402	215754208	1103	Oscar: Object-Semantics Aligned Pre-training for Vision-Language Tasks
reference	246411402	215415945	23	e-SNLI-VE-2.0: Corrected Visual-Textual Entailment with Natural Language Explanations
reference	246411402	212821571	188	Do Not Have Enough Data? Deep Learning to the Rescue!
reference	246411402	216144451	47	G-DAug: Generative Data Augmentation for Commonsense Reasoning
reference	246411402	211987786	231	Data Augmentation using Pre-trained Transformer Models
reference	246411402	211296465	141	Hierarchical Conditional Relation Networks for Video Question Answering
reference	246411402	211258652	90	Training Question Answering Models from Synthetic Data
reference	246411402	209370497	477	End-to-End Learning of Visual Representations From Uncurated Instructional Videos
reference	246411402	208637304	78	Large-scale Pretraining for Visual Dialog: A Simple State-of-the-Art Baseline
reference	246411402	202786778	23330	PyTorch: An Imperative Style, High-Performance Deep Learning Library
reference	246411402	207853355	1591	Self-Training With Noisy Student Improves ImageNet Classification
reference	246411402	216080982	1211	UNITER: UNiversal Image-TExt Representation Learning
reference	246411402	202734445	582	Unified Vision-Language Pre-Training for Image Captioning and VQA
reference	246411402	199453025	2163	ViLBERT: Pretraining Task-Agnostic Visiolinguistic Representations for Vision-and-Language Tasks
reference	246411402	195811894	4713	A survey on Image Data Augmentation for Deep Learning
reference	246411402	127986954	1549	The Curious Case of Neural Text Degeneration
reference	246411402	104292176	167	Heterogeneous Memory Enhanced Multimodal Attention Model for Video Question Answering
reference	246411402	59599940	89	Multi-step Reasoning via Recurrent Dual Attention for Visual Dialog
reference	246411402	53178856	343	A Corpus for Reasoning about Natural Language Grounded in Photographs
reference	246411402	51876975	1191	Conceptual Captions: A Cleaned, Hypernymed, Image Alt-text Dataset For Automatic Image Captioning
reference	246411402	29150617	581	Bilinear Attention Networks
reference	246411402	53592270	8014	Decoupled Weight Decay Regularization
reference	246411402	8081284	1660	Making the V in VQA Matter: Elevating the Role of Image Understanding in Visual Question Answering
reference	246411402	4492210	3755	Visual Genome: Connecting Language and Vision Using Crowdsourced Dense Image Annotations
reference	246411402	6941275	1182	Flickr30k Entities: Collecting Region-to-Phrase Correspondences for Richer Image-to-Sentence Models
reference	246411402	3180429	3788	VQA: Visual Question Answering
reference	246411402	7200347	12310	Distilling the Knowledge in a Neural Network
reference	246411402	8517067	4885	Deep Visual-Semantic Alignments for Generating Image Descriptions
reference	246411402	14113767	27556	Microsoft COCO: Common Objects in Context
reference	246411402	14579301	989	Im2Text: Describing Images Using 1 Million Captioned Photographs
reference	246411402	52967399	53782	BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding
reference	246411402	56517630	172	nocaps: novel object captioning at scale
reference	246411402	*** ERROR ***	{'paperId': None, 'externalIds': None, 'title': '83k/41k/81k images for training/validation/test', 'citationCount': None}
citation	246411402	259202555	0	RS5M: A Large Scale Vision-Language Dataset for Remote Sensing Vision-Language Foundation Model
citation	246411402	259203436	0	Improving Image Captioning Descriptiveness by Ranking and LLM-based Fusion
citation	246411402	259203479	0	Improving visual image reconstruction from human brain activity using latent diffusion models via multiple decoded inputs
citation	246411402	259204086	0	UniG3D: A Unified 3D Object Generation Dataset
citation	246411402	259196025	0	Together Yet Apart: Multimodal Representation Learning for Personalised Visual Art Recommendation
citation	246411402	259177661	0	Covering Covers: Characterization Of Visual Elements Regarding Sleeves
citation	246411402	259187751	0	Group Orthogonalization Regularization For Vision Models Adaptation and Robustness
citation	246411402	259187874	0	Energy-Based Cross Attention for Bayesian Context Update in Text-to-Image Diffusion Models
citation	246411402	259202981	0	M3PT: A Multi-Modal Model for POI Tagging
citation	246411402	259165371	0	Training Multimedia Event Extraction With Generated Images and Captions
citation	246411402	259164829	0	Exploring the Application of Large-scale Pre-trained Models on Adverse Weather Removal
citation	246411402	259164552	0	COSA: Concatenated Sample Pretrained Vision-Language Foundation Model
citation	246411402	259165297	0	Contrasting Intra-Modal and Ranking Cross-Modal Hard Negatives to Enhance Visio-Linguistic Fine-grained Understanding
citation	246411402	259171757	0	Evaluating Data Attribution for Text-to-Image Models
citation	246411402	259203031	0	Retrieving-to-Answer: Zero-Shot Video Question Answering with Frozen Large Language Models
citation	246411402	259165402	0	Babel-ImageNet: Massively Multilingual Evaluation of Vision-and-Language Representations
citation	246411402	259165350	0	TWIGMA: A dataset of AI-Generated Images with Metadata From Twitter
citation	246411402	259164559	0	AssistGPT: A General Multi-modal Assistant that can Plan, Execute, Inspect, and Learn
citation	246411402	259164907	0	VidEdit: Zero-Shot and Spatially Aware Text-Driven Video Editing
citation	246411402	259164765	0	Towards AGI in Computer Vision: Lessons Learned from GPT and Large Language Models
citation	246411402	259165048	0	ZeroForge: Feedforward Text-to-Shape Without 3D Supervision
citation	246411402	259165143	0	Safeguarding Data in Multimodal AI: A Differentially Private Approach to CLIP Training
citation	246411402	259145282	2	Robustness of SAM: Segment Anything Under Corruptions and Beyond
citation	246411402	259144914	0	I See Dead People: Gray-Box Adversarial Attack on Image-To-Text Models
citation	246411402	259145047	0	Image Captioners Are Scalable Vision Learners Too
citation	246411402	259025421	1	LifeInsight: An Interactive Lifelog Retrieval System with Comprehensive Spatial Insights and Query Assistance
citation	246411402	259138650	1	Controlling Text-to-Image Diffusion by Orthogonal Finetuning
citation	246411402	259025398	1	E-LifeSeeker: An Interactive Lifelog Search Engine for LSC’23
citation	246411402	259025412	1	MemoriEase: An Interactive Lifelog Retrieval System for LSC’23
citation	246411402	259138572	0	Zero-shot Composed Text-Image Retrieval
citation	246411402	259137821	0	Scalable 3D Captioning with Pretrained Models
citation	246411402	259137818	0	Global and Local Semantic Completion Learning for Vision-Language Pre-training
citation	246411402	259145019	0	A Comprehensive Survey on Applications of Transformers for Deep Learning Tasks
citation	246411402	259138564	0	Bootstrapping Code-Text Pretrained Language Model to Detect Inconsistency Between Code and Comment
citation	246411402	259129746	1	Embodied Executable Policy Learning with Language-based Scene Summarization
citation	246411402	259137763	0	DocumentCLIP: Linking Figures and Main Body Text in Reflowed Documents
citation	246411402	259108774	0	Modular Visual Question Answering via Code Generation
citation	246411402	259108333	1	Video-ChatGPT: Towards Detailed Video Understanding via Large Vision and Language Models
citation	246411402	259096008	1	Fine-Grained Visual Prompting
citation	246411402	259096005	0	MarineVRS: Marine Video Retrieval System with Explainability via Semantic Understanding
citation	246411402	259108631	0	Generative Text-Guided 3D Vision-Language Pretraining for Unified Medical Image Segmentation
citation	246411402	259089333	0	Recognize Anything: A Strong Image Tagging Model
citation	246411402	259095728	0	Q: How to Specialize Large Vision-Language Models to Data-Scarce VQA Tasks? A: Self-Train on Unlabeled Images!
citation	246411402	259088699	1	SAM3D: Segment Anything in 3D Scenes
citation	246411402	259075465	0	Towards Unified Text-based Person Retrieval: A Large-scale Multi-Attribute and Language Search Benchmark
citation	246411402	259076409	0	User-friendly Image Editing with Minimal Text Input: Leveraging Captioning and Injection Techniques
citation	246411402	259089194	0	ChatGPT as a mapping assistant: A novel method to enrich maps with generative AI and content derived from street-level photographs
citation	246411402	259075604	0	VisualGPTScore: Visio-Linguistic Reasoning with Multimodal Generative Pre-Training Scores
citation	246411402	259063794	0	Video Colorization with Pre-trained Text-to-Image Diffusion Models
citation	246411402	258999295	1	Differential Diffusion: Giving Each Pixel Its Strength
citation	246411402	258999229	0	Vocabulary-free Image Classification
citation	246411402	258999236	0	Cocktail: Mixing Multi-Modality Controls for Text-Conditional Image Generation
citation	246411402	258999195	1	LIV: Language-Image Representations and Rewards for Robotic Control
citation	246411402	258999960	0	UniDiff: Advancing Vision-Language Models with Generative and Discriminative Learning
citation	246411402	258999763	1	The Hidden Language of Diffusion Models
citation	246411402	259064349	0	PV2TEA: Patching Visual Modality to Textual-Established Information Extraction
citation	246411402	258987617	0	Joint Adaptive Representations for Image-Language Learning
citation	246411402	258987899	1	Dense and Aligned Captions (DAC) Promote Compositional Reasoning in VL Models
citation	246411402	258987384	1	Understanding and Mitigating Copying in Diffusion Models
citation	246411402	258987414	0	LMCap: Few-shot Multilingual Image Captioning by Retrieval Augmented Language Model Prompting
citation	246411402	258987794	0	Too Large; Data Reduction for Vision-Language Pre-Training
citation	246411402	258987978	1	Boosting Text-to-Image Diffusion Models with Fine-Grained Semantic Rewards
citation	246411402	258999352	0	Using Visual Cropping to Enhance Fine-Detail Question Answering of BLIP-Family Models
citation	246411402	258990103	0	Unveiling Cross Modality Bias in Visual Question Answering: A Causal View with Possible Worlds VQA
citation	246411402	258987679	0	Chatting Makes Perfect - Chat-based Image Retrieval
citation	246411402	258999712	0	ManagerTower: Aggregating the Insights of Uni-Modal Experts for Vision-Language Representation Learning
citation	246411402	258967545	0	AlteredAvatar: Stylizing Dynamic 3D Avatars with Fast Style Adaptation
citation	246411402	258967184	3	GPT4Tools: Teaching Large Language Model to Use Tools via Self-instruction
citation	246411402	258968060	0	SAVE: Spectral-Shift-Aware Adaptation of Image Diffusion Models for Text-guided Video Editing
citation	246411402	258987808	0	Compositional diversity in visual concept learning
citation	246411402	258960145	0	Text-Only Image Captioning with Multi-Context Data Generation
citation	246411402	258959068	0	Improved Probabilistic Image-Text Representations
citation	246411402	258960280	0	LaFTer: Label-Free Tuning of Zero-shot Classifier using Language and Unlabeled Image Collections
citation	246411402	258960627	0	Conditional Score Guidance for Text-Driven Image-to-Image Translation
citation	246411402	258959340	0	HGT: A Hierarchical GCN-Based Transformer for Multimodal Periprosthetic Joint Infection Diagnosis Using CT Images and Text
citation	246411402	258967371	0	VAST: A Vision-Audio-Subtitle-Text Omni-Modality Foundation Model and Dataset
citation	246411402	258960254	0	FuseCap: Leveraging Large Language Models to Fuse Visual Data into Enriched Image Captions
citation	246411402	258960671	0	ConaCLIP: Exploring Distillation of Fully-Connected Knowledge Interaction Graph for Lightweight Text-Image Retrieval
citation	246411402	258959116	0	MPCHAT: Towards Multimodal Persona-Grounded Conversation
citation	246411402	258960368	0	CrossGET: Cross-Guided Ensemble of Tokens for Accelerating Vision-Language Transformers
citation	246411402	258959331	0	Benchmarking Diverse-Modal Entity Linking with Generative Models
citation	246411402	258960431	0	Modularized Zero-shot VQA with Pre-trained Models
citation	246411402	258947060	0	Learning to Imagine: Visually-Augmented Natural Language Generation
citation	246411402	258947177	0	On Evaluating Adversarial Robustness of Large Vision-Language Models
citation	246411402	258947090	0	CRoSS: Diffusion Model Makes Controllable, Robust and Secure Image Steganography
citation	246411402	258947620	0	Improved Visual Story Generation with Adaptive Context Modeling
citation	246411402	258947535	0	Zero-shot Visual Question Answering with Language Model Feedback
citation	246411402	258947362	0	S4M: Generating Radiology Reports by A Single Model for Multiple Body Parts
citation	246411402	258887629	8	The False Promise of Imitating Proprietary LLMs
citation	246411402	258888004	0	HAAV: Hierarchical Aggregation of Augmented Views for Image Captioning
citation	246411402	258887976	1	Diversify Your Vision Datasets with Automatic Diffusion-Based Augmentation
citation	246411402	258888242	0	Candidate Set Re-ranking for Composed Image Retrieval with Dual Multi-modal Encoder
citation	246411402	258947037	1	Are Diffusion Models Vision-And-Language Reasoners?
citation	246411402	258947323	0	DPOK: Reinforcement Learning for Fine-tuning Text-to-Image Diffusion Models
citation	246411402	258865775	0	SmartTrim: Adaptive Tokens and Parameters Pruning for Efficient Vision-Language Models
citation	246411402	258888223	0	Weakly Supervised Vision-and-Language Pre-training with Relative Representations
citation	246411402	258865561	0	UniChart: A Universal Vision-language Pretrained Model for Chart Comprehension and Reasoning
citation	246411402	258866097	0	ECHo: Event Causality Inference via Human-centric Reasoning
citation	246411402	258865326	0	Cheap and Quick: Efficient Vision-Language Instruction Tuning for Large Language Models
citation	246411402	258865473	0	BLIP-Diffusion: Pre-trained Subject Representation for Controllable Text-to-Image Generation and Editing
citation	246411402	258865601	0	Transferring Visual Attributes from Natural Language to Verified Image Generation
citation	246411402	258865469	0	PaCE: Unified Multi-modal Dialogue Pre-training with Progressive and Compositional Experts
citation	246411402	258865250	0	Exploring Diverse In-Context Configurations for Image Captioning
citation	246411402	258866049	1	ImageNetVC: Zero-Shot Visual Commonsense Evaluation on 1000 ImageNet Categories
citation	246411402	258865772	0	Reinforcement Learning finetuned Vision-Code Transformer for UI-to-Code Generation
citation	246411402	258865952	1	IdealGPT: Iteratively Decomposing Vision and Language Reasoning via Large Language Models
citation	246411402	258841623	2	Unsafe Diffusion: On the Generation of Unsafe Images and Hateful Memes From Text-To-Image Models
citation	246411402	258841347	0	Let's Think Frame by Frame: Evaluating Video Chain of Thought with Video Infilling and Prediction
citation	246411402	258841417	1	Can Language Models Understand Physical Concepts?
citation	246411402	258840973	0	Weakly-Supervised Learning of Visual Relations in Multimodal Pretraining
citation	246411402	258841626	0	Images in Language Space: Exploring the Suitability of Large Language Models for Vision & Language Tasks
citation	246411402	258841061	0	EDIS: Entity-Driven Image Search over Multimodal Web Content
citation	246411402	258841371	0	RaSa: Relation and Sensitivity Aware Representation Learning for Text-based Person Search
citation	246411402	258841252	0	Large Language Models are Frame-level Directors for Zero-shot Text-to-Video Generation
citation	246411402	258841699	0	S-CLIP: Semi-supervised Vision-Language Pre-training using Few Specialist Captions
citation	246411402	258841645	0	Control-A-Video: Controllable Text-to-Video Generation with Diffusion Models
citation	246411402	258841566	0	UNIMO-3: Multi-granularity Interaction for Vision-Language Representation Learning
citation	246411402	258833639	0	Text-based Person Search without Parallel Image-Text Data
citation	246411402	258832908	0	Album Storytelling with Iterative Story-aware Captioning and Large Language Models
citation	246411402	258833489	0	If at First You Don't Succeed, Try, Try Again: Faithful Diffusion-based Text-to-Image Generation by Selection
citation	246411402	258832414	2	Matcher: Segment Anything with One Shot Using All-Purpose Feature Matching
citation	246411402	258832930	0	VideoLLM: Modeling Video Sequence with Large Language Models
citation	246411402	258833355	1	UVOSAM: A Mask-free Paradigm for Unsupervised Video Object Segmentation via Segment Anything Model
citation	246411402	258833616	1	ViT-TTS: Visual Text-to-Speech with Scalable Diffusion Transformer
citation	246411402	258833704	0	VLAB: Enhancing Video Language Pre-training by Feature Adapting and Blending
citation	246411402	258832597	0	Enhance Reasoning Ability of Visual-Language Models via Large Language Models
citation	246411402	258832497	0	InstructVid2Vid: Controllable Video Editing with Natural Language Instructions
citation	246411402	258833320	0	i-Code V2: An Autoregressive Generation Framework over Vision, Language, and Speech Data
citation	246411402	258833200	0	TheoremQA: A Theorem-driven Question Answering dataset
citation	246411402	258832328	1	DiffCap: Exploring Continuous Diffusion on Image Captioning
citation	246411402	258832384	0	A request for clarity over the End of Sequence token in the Self-Critical Sequence Training
citation	246411402	258832380	0	Bi-VLGM : Bi-Level Class-Severity-Aware Vision-Language Graph Matching for Text Guided Medical Image Segmentation
citation	246411402	258833460	0	Prompt ChatGPT In MNER: Improved multimodal named entity recognition method based on auxiliary refining knowledge from ChatGPT
citation	246411402	258833156	1	What Makes for Good Visual Tokenizers for Large Language Models?
citation	246411402	258865195	2	PTGB: Pre-Train Graph Neural Networks for Brain Network Analysis
citation	246411402	258823213	0	Enhancing Vision-Language Pre-Training with Jointly Learned Questioner and Dense Captioner
citation	246411402	258823156	1	Inference-time Re-ranker Relevance Feedback for Neural Information Retrieval
citation	246411402	258823377	1	Cinematic Mindscapes: High-quality Video Reconstruction from Brain Activity
citation	246411402	258762408	0	MedBLIP: Bootstrapping Language-Image Pre-training from 3D Medical Images and Texts
citation	246411402	258762865	0	LLMScore: Unveiling the Power of Large Language Models in Text-to-Image Synthesis Evaluation
citation	246411402	258762310	1	Paxion: Patching Action Knowledge in Video-Language Foundation Models
citation	246411402	258762316	0	Vision-Language Pre-training with Object Contrastive Learning for 3D Scene Understanding
citation	246411402	258762390	2	ONE-PEACE: Exploring One General Representation Model Toward Unlimited Modalities
citation	246411402	258762826	1	OpenShape: Scaling Up 3D Shape Representation Towards Open-World Understanding
citation	246411402	258762871	1	X-IQE: eXplainable Image Quality Evaluation for Text-to-Image Generation with Visual Large Language Models
citation	246411402	258823112	0	Semantic Anomaly Detection with Large Language Models
citation	246411402	258762299	0	IMAD: IMage-Augmented multi-modal Dialogue
citation	246411402	258740697	3	Evaluating Object Hallucination in Large Vision-Language Models
citation	246411402	258740893	1	What You See is What You Read? Improving Text-Image Alignment Evaluation
citation	246411402	258685688	1	Improved baselines for vision-language pre-training
citation	246411402	258686381	1	Bridging the Domain Gap: Self-Supervised 3D Scene Understanding with Foundation Models
citation	246411402	258685299	0	Mode Approximation Makes Good Multimodal Prompts
citation	246411402	258685651	0	PLIP: Language-Image Pre-training for Person Representation Learning
citation	246411402	258686489	0	Edit As You Wish: Video Description Editing with Multi-grained Commands
citation	246411402	258686590	2	Make-A-Protagonist: Generic Video Editing with An Ensemble of Experts
citation	246411402	258947627	0	Semantic Composition in Visually Grounded Language Models
citation	246411402	258686565	2	ULIP-2: Towards Scalable Multimodal Pre-training for 3D Understanding
citation	246411402	258685677	9	CodeT5+: Open Code Large Language Models for Code Understanding and Generation
citation	246411402	258620491	0	Bi-directional Image–Text Matching Deep Learning-Based Approaches: Concepts, Methodologies, Benchmarks and Challenges
citation	246411402	258676543	1	CLIP-Count: Towards Text-Guided Zero-Shot Object Counting
citation	246411402	258762466	0	IMAGINATOR: Pre-Trained Image+Text Joint Embeddings using Word-Level Grounding of Images
citation	246411402	259138732	4	A Survey on Segment Anything Model (SAM): Vision Foundation Model Meets Prompt Engineering
citation	246411402	258615154	0	Musketeer (All for One, and One for All): A Generalist Vision-Language Model with Task Explanation Prompts
citation	246411402	258615266	19	InstructBLIP: Towards General-purpose Vision-Language Models with Instruction Tuning
citation	246411402	258615242	0	Image-to-Text Translation for Interactive Image Recognition: A Comparative User Study with Non-Expert Users
citation	246411402	258615748	0	Self-Chained Image-Language Model for Video Localization and Question Answering
citation	246411402	258587826	1	iEdit: Localised Text-guided Image Editing with Weak Supervision
citation	246411402	258588013	0	ChinaOpen: A Dataset for Open-world Multimodal Learning
citation	246411402	258588427	3	Incorporating Structured Representations into Pretrained Vision & Language Models Using Scene Graphs
citation	246411402	258588434	0	InfoMetIC: An Informative Metric for Reference-free Image Caption Evaluation
citation	246411402	258588306	15	VideoChat: Chat-Centric Video Understanding
citation	246411402	258588275	0	Multi-Prompt with Depth Partitioned Cross-Modal Learning
citation	246411402	258615178	0	ChatGPT-Like Large-Scale Foundation Models for Prognostics and Health Management: A Survey and Roadmaps
citation	246411402	258564567	0	Boosting Visual-Language Models by Exploiting Hard Samples
citation	246411402	258564640	2	SUR-adapter: Enhancing Text-to-Image Pre-trained Diffusion Models with Large Language Models
citation	246411402	258564914	7	InternGPT: Solving Vision-Centric Tasks by Interacting with Chatbots Beyond Language
citation	246411402	258588032	1	Vision-Language Models in Remote Sensing: Current Progress and Future Trends
citation	246411402	258557659	0	Vision Langauge Pre-training by Contrastive Learning with Cross-Modal Similarity Regulation
citation	246411402	258557860	0	IIITD-20K: Dense captioning for Text-Image ReID
citation	246411402	258557880	0	ReGeneration Learning of Diffusion Models with Rich Prompts for Zero-Shot Image Translation
citation	246411402	258558106	5	X-LLM: Bootstrapping Advanced Large Language Models by Treating Multi-Modalities as Foreign Languages
citation	246411402	258587972	1	Structure-CLIP: Enhance Multi-modal Language Representations with Structure Knowledge
citation	246411402	258547260	0	Data Curation for Image Captioning with Text-to-Image Generative Models
citation	246411402	258479994	4	Caption Anything: Interactive Image Description with Diverse Multimodal Controls
citation	246411402	258480288	0	Image Captioners Sometimes Tell More Than Images They See
citation	246411402	258461301	0	Making the Most of What You Have: Adapting Pre-trained Visual Language Models in the Low-data Regime
citation	246411402	258461059	3	Multimodal Procedural Planning via Dual Text-Image Prompting
citation	246411402	258436810	0	TMR: Text-to-Motion Retrieval Using Contrastive 3D Human Motion Synthesis
citation	246411402	258436732	2	An Alternative to WSSS? An Empirical Study of the Segment Anything Model (SAM) on Weakly-Supervised Semantic Segmentation Problems
citation	246411402	258436945	4	Transfer Visual Prompt Generator across LLMs
citation	246411402	258427120	1	ArK: Augmented Reality with Knowledge Interactive Emergent Ability
citation	246411402	258556962	0	Attack-SAM: Towards Attacking Segment Anything Model With Adversarial Examples
citation	246411402	258333899	0	Identifying Creative Harmful Memes via Prompt based Approach
citation	246411402	258377506	0	Visual Item Selection With Voice Assistants: A systems perspective
citation	246411402	258426716	2	Instruction-ViT: Multi-Modal Prompts for Instruction Learning in ViT
citation	246411402	258418343	11	LLaMA-Adapter V2: Parameter-Efficient Visual Instruction Model
citation	246411402	258418310	1	Interpreting Vision and Language Generative Models with Semantic Visual Priors
citation	246411402	258352810	1	Retrieval-based Knowledge Augmented Vision Language Pre-training
citation	246411402	258352499	0	Towards Medical Artificial General Intelligence via Knowledge-Enhanced Multimodal Pretraining
citation	246411402	258352289	0	TR0N: Translator Networks for 0-Shot Plug-and-Play Conditional Generation
citation	246411402	258309660	0	The Potential of Visual ChatGPT For Remote Sensing
citation	246411402	258298825	16	A Cookbook of Self-Supervised Learning
citation	246411402	258298127	2	SATIN: A Multi-Task Metadataset for Classifying Satellite Imagery using Vision-Language Models
citation	246411402	258291685	0	RoCOCO: Robust Benchmark MS-COCO to Stress-test Robustness of Image-Text Matching Models
citation	246411402	258291599	1	Improved Diffusion-based Image Colorization via Piggybacked Models
citation	246411402	258291684	0	CLaMP: Contrastive Language-Music Pre-training for Cross-Modal Symbolic Music Information Retrieval
citation	246411402	258546776	0	Building Multimodal AI Chatbots
citation	246411402	258236591	0	Movie Box Office Prediction With Self-Supervised and Visually Grounded Pretraining
citation	246411402	258291950	4	Text2Seg: Remote Sensing Image Semantic Segmentation via Text-Guided Visual Foundation Models
citation	246411402	258291930	66	MiniGPT-4: Enhancing Vision-Language Understanding with Advanced Large Language Models
citation	246411402	258236693	11	Anything-3D: Towards Single-view Anything Reconstruction in the Wild
citation	246411402	258212979	0	Promptify: Text-to-Image Generation through Interactive Prompt Exploration with Large Language Models
citation	246411402	258179576	8	VALOR: Vision-Audio-Language Omni-Perception Pretraining Model and Dataset
citation	246411402	258179783	0	DisCo-CLIP: A Distributed Contrastive Loss for Memory Efficient CLIP Training
citation	246411402	258180543	0	Multimodal Representation Learning of Cardiovascular Magnetic Resonance Imaging
citation	246411402	258179436	1	Detecting Out-of-Context Multimodal Misinformation with interpretable neural-symbolic model
citation	246411402	258170168	0	WYTIWYR: A User Intent-Aware Framework with Multi-modal Inputs for Visualization Retrieval
citation	246411402	258170346	13	On the Opportunities and Challenges of Foundation Models for Geospatial Artificial Intelligence
citation	246411402	258108246	2	DiffFit: Unlocking Transferability of Large Diffusion Models via Simple Parameter-Efficient Fine-Tuning
citation	246411402	258108191	0	Converting ECG Signals to Images for Efficient Image-text Retrieval via Encoding
citation	246411402	258079316	15	ImageReward: Learning and Evaluating Human Preferences for Text-to-Image Generation
citation	246411402	258108162	0	An Edit Friendly DDPM Noise Space: Inversion and Manipulations
citation	246411402	258060056	0	FashionSAP: Symbols and Attributes Prompt for Fine-grained Fashion Vision-Language Pre-training
citation	246411402	258049178	2	DetCLIPv2: Scalable Open-Vocabulary Object Detection Pre-training via Word-Region Alignment
citation	246411402	258048445	4	Video ChatCaptioner: Towards Enriched Spatiotemporal Descriptions
citation	246411402	258048950	0	CCLAP: Controllable Chinese Landscape Painting Generation via Latent Diffusion Model
citation	246411402	257985469	0	Learning Instance-Level Representation for Large-Scale Multi-Modal Pretraining in E-commerce
citation	246411402	258041361	1	Exposing and Mitigating Spurious Correlations for Cross-Modal Retrieval
citation	246411402	257921928	0	Cross-Domain Image Captioning with Discriminative Finetuning
citation	246411402	257921626	0	Exploring Vision-Language Models for Imbalanced Learning
citation	246411402	257921318	0	AToMiC: An Image/Text Retrieval Test Collection to Support Multimedia Content Creation
citation	246411402	257913684	2	Not All Features Matter: Enhancing Few-shot CLIP with Adaptive Prior Refinement
citation	246411402	257912791	0	Textile Pattern Generation Using Diffusion Models
citation	246411402	258113964	0	Möglichkeiten zur Erkennung von Hate Speech
citation	246411402	258234923	0	Dual-decoder transformer network for answer grounding in visual question answering
citation	246411402	257913422	1	Self-Supervised Multimodal Learning: A Survey
citation	246411402	257804730	0	AutoAD: Movie Description in Context
citation	246411402	257804958	0	Mask-free OVIS: Open-Vocabulary Instance Segmentation without Manual Mask Annotations
citation	246411402	257833837	1	Going Beyond Nouns With Vision & Language Models Using Synthetic Data
citation	246411402	257833913	0	KD-DLGAN: Data Limited Image Generation via Knowledge Distillation
citation	246411402	257834090	7	WavCaps: A ChatGPT-Assisted Weakly-Labelled Audio Captioning Dataset for Audio-Language Multimodal Research
citation	246411402	257833784	2	A Study of Autoregressive Decoders for Multi-Tasking in Computer Vision
citation	246411402	257771787	13	Your Diffusion Model is Secretly a Zero-Shot Classifier
citation	246411402	257804631	2	Bi-directional Training for Composed Image Retrieval via Text Prompt Learning
citation	246411402	257804657	3	MaMMUT: A Simple Architecture for Joint Learning for MultiModal Tasks
citation	246411402	257807793	1	A Review of the Application of Multi-modal Deep Learning in Medicine: Bibliometrics and Future Directions
citation	246411402	257833577	0	Multimodal Image-Text Matching Improves Retrieval-based Chest X-Ray Report Generation
citation	246411402	257834042	0	EgoTV: Egocentric Task Verification from Natural Language Task Descriptions
citation	246411402	257846934	0	Research on visual question answering system based on deep neural network model
citation	246411402	257771811	35	LLaMA-Adapter: Efficient Fine-tuning of Language Models with Zero-init Attention
citation	246411402	257766798	4	Revisiting Multimodal Representation in Contrastive Learning: From Patch and Token Embeddings to Finite Discrete Tokens
citation	246411402	257767223	9	Sigmoid Loss for Language Image Pre-Training
citation	246411402	257771337	0	Fine-grained Audible Video Description
citation	246411402	258108134	0	CoRe-Sleep: A Multimodal Fusion Framework for Time Series Robust to Imperfect Modalities
citation	246411402	257766245	2	Equivariant Similarity for Vision-Language Foundation Models
