query	172 references	583 citations	Flamingo: a Visual Language Model for Few-Shot Learning
reference	248476411	*** ERROR ***	{'paperId': None, 'externalIds': None, 'title': 'The first icon is provided under license by Flaticon, the second image is provided under license by Unsplash, the third one is provided under license by Sketchfab', 'citationCount': None}
reference	248476411	*** ERROR ***	{'paperId': None, 'externalIds': None, 'title': 'All visuals are sourced from various sources including the COCO dataset', 'citationCount': None}
citation	248476411	259224345	0	AudioPaLM: A Large Language Model That Can Speak and Listen
citation	248476411	259224904	0	TaCA: Upgrading Your Visual Foundation Model with Task-agnostic Compatible Adapter
citation	248476411	259202791	0	RM-PRT: Realistic Robotic Manipulation Simulator and Benchmark with Progressive Reasoning Tasks
citation	248476411	259203436	0	Improving Image Captioning Descriptiveness by Ranking and LLM-based Fusion
citation	248476411	259203790	0	Dense Video Object Captioning from Disjoint Supervision
citation	248476411	259203302	0	RemoteCLIP: A Vision Language Foundation Model for Remote Sensing
citation	248476411	259203619	0	Path to Medical AGI: Unify Domain-specific Medical LLMs with the Lowest Cost
citation	248476411	259203241	0	Language-Guided Generation of Physically Realistic Robot Motion and Control
citation	248476411	259202797	0	MO-VLN: A Multi-Task Benchmark for Open-set Zero-Shot Vision-and-Language Navigation
citation	248476411	259187896	0	Investigating Prompting Techniques for Zero- and Few-Shot Visual Question Answering
citation	248476411	259187722	0	$\pi2\text{vec}$: Policy Representations with Successor Features
citation	248476411	259202622	0	Meta-Personalizing Vision-Language Models to Find Named Instances in Video
citation	248476411	259188122	0	Sample-Efficient Learning of Novel Visual Concepts
citation	248476411	259203031	0	Retrieving-to-Answer: Zero-Shot Video Question Answering with Frozen Large Language Models
citation	248476411	259165195	0	Active Representation Learning for General Task Space with Applications in Robotics
citation	248476411	259165602	0	Encyclopedic VQA: Visual questions about detailed properties of fine-grained categories
citation	248476411	259164552	0	COSA: Concatenated Sample Pretrained Vision-Language Foundation Model
citation	248476411	259165297	0	Contrasting Intra-Modal and Ranking Cross-Modal Hard Negatives to Enhance Visio-Linguistic Fine-grained Understanding
citation	248476411	259165040	0	LVLM-eHub: A Comprehensive Evaluation Benchmark for Large Vision-Language Models
citation	248476411	259165461	0	Macaw-LLM: Multi-Modal Language Modeling with Image, Audio, Video, and Text Integration
citation	248476411	259164765	0	Towards AGI in Computer Vision: Lessons Learned from GPT and Large Language Models
citation	248476411	259165417	0	Explore In-Context Learning for 3D Point Cloud Understanding
citation	248476411	259145047	0	Image Captioners Are Scalable Vision Learners Too
citation	248476411	259144833	0	Retrieve Anyone: A General-purpose Person Re-identification Task with Instructions
citation	248476411	259164452	0	AVIS: Autonomous Visual Information Seeking with Large Language Models
citation	248476411	259137821	0	Scalable 3D Captioning with Pretrained Models
citation	248476411	259137602	0	A Survey of Vision-Language Pre-training from the Lens of Multimodal Machine Translation
citation	248476411	259137882	0	Generating Language Corrections for Teaching Physical Control Tasks
citation	248476411	259137758	0	Retrieval-Enhanced Contrastive Vision-Text Models
citation	248476411	259138650	1	Controlling Text-to-Image Diffusion by Orthogonal Finetuning
citation	248476411	259138958	0	LAMM: Language-Assisted Multi-Modal Instruction-Tuning Dataset, Framework, and Benchmark
citation	248476411	259129379	0	Customizing General-Purpose Foundation Models for Medical Report Generation
citation	248476411	259129535	0	Leveraging Large Language Models for Scalable Vector Graphics-Driven Image Understanding
citation	248476411	259129811	0	On the Challenges and Perspectives of Foundation Models for Medical Image Analysis
citation	248476411	259137763	0	DocumentCLIP: Linking Figures and Main Body Text in Reflowed Documents
citation	248476411	259108315	0	On the Effectiveness of Out-of-Distribution Data in Self-Supervised Long-Tail Learning
citation	248476411	259108333	1	Video-ChatGPT: Towards Detailed Video Understanding via Large Vision and Language Models
citation	248476411	259108295	1	MIMIC-IT: Multi-Modal In-Context Instruction Tuning
citation	248476411	259108774	0	Modular Visual Question Answering via Code Generation
citation	248476411	259129468	1	Artificial General Intelligence for Medical Imaging
citation	248476411	259129698	0	AircraftVerse: A Large-Scale Multimodal Dataset of Aerial Vehicle Designs
citation	248476411	259144953	0	Speech-to-Text Adapter and Speech-to-Entity Retriever Augmented LLMs for Speech Understanding
citation	248476411	259096008	1	Fine-Grained Visual Prompting
citation	248476411	259095579	0	Youku-mPLUG: A 10 Million Large-scale Chinese Video-Language Dataset for Pre-training and Benchmarks
citation	248476411	259108631	0	Generative Text-Guided 3D Vision-Language Pretraining for Unified Medical Image Segmentation
citation	248476411	259108935	0	UniBoost: Unsupervised Unimodal Pre-training for Boosting Zero-shot Vision-Language Tasks
citation	248476411	259095728	0	Q: How to Specialize Large Vision-Language Models to Data-Scarce VQA Tasks? A: Self-Train on Unlabeled Images!
citation	248476411	259075356	4	Video-LLaMA: An Instruction-tuned Audio-Visual Language Model for Video Understanding
citation	248476411	259076072	0	Improved Active Multi-Task Representation Learning via Lasso
citation	248476411	259075811	0	A survey of Generative AI Applications
citation	248476411	259077070	1	GIMLET: A Unified Graph-Text Model for Instruction-Based Molecule Zero-Shot Learning
citation	248476411	259075891	0	MoviePuzzle: Visual Narrative Reasoning through Multimodal Order Learning
citation	248476411	259075598	0	Efficient Text-Guided 3D-Aware Portrait Generation with Score Distillation Sampling on Distribution
citation	248476411	259076349	0	Benchmarking Robustness of Adaptation Methods on Pre-trained Vision-Language Models
citation	248476411	259064165	0	DocFormerv2: Local Features for Document Understanding
citation	248476411	259064260	0	MetaVL: Transferring In-Context Learning Ability From Language Models to Vision-Language Models
citation	248476411	259063725	0	Towards In-context Scene Understanding
citation	248476411	259075604	0	VisualGPTScore: Visio-Linguistic Reasoning with Multimodal Generative Pre-Training Scores
citation	248476411	258999563	0	STEVE-1: A Generative Model for Text-to-Behavior in Minecraft
citation	248476411	258999229	0	Vocabulary-free Image Classification
citation	248476411	258999962	0	GPT4Image: Can Large Pre-trained Models Help Vision Models on Perception Tasks?
citation	248476411	258999306	0	Prompt Algebra for Task Composition
citation	248476411	259000022	0	MEWL: Few-shot multimodal word learning with referential uncertainty
citation	248476411	258999728	0	Exploring Open-Vocabulary Semantic Segmentation without Human Labels
citation	248476411	258999941	2	AWQ: Activation-aware Weight Quantization for LLM Compression and Acceleration
citation	248476411	259064349	0	PV2TEA: Patching Visual Modality to Textual-Established Information Extraction
citation	248476411	258987414	0	LMCap: Few-shot Multilingual Image Captioning by Retrieval Augmented Language Model Prompting
citation	248476411	258987794	0	Too Large; Data Reduction for Vision-Language Pre-Training
citation	248476411	258987617	0	Joint Adaptive Representations for Image-Language Learning
citation	248476411	258967184	3	GPT4Tools: Teaching Large Language Model to Use Tools via Self-instruction
citation	248476411	258967442	0	Multi-modal Queried Object Detection in the Wild
citation	248476411	258967796	0	Learning without Forgetting for Vision-Language Models
citation	248476411	258967855	0	Generate then Select: Open-ended Visual Question Answering Guided by World Knowledge
citation	248476411	258987968	0	Blockwise Parallel Transformer for Long Context Large Models
citation	248476411	258967670	3	PaLI-X: On Scaling up a Multilingual Vision and Language Model
citation	248476411	258959011	0	Contextual Object Detection with Multimodal Large Language Models
citation	248476411	258959425	1	InstructEdit: Improving Automatic Masks for Diffusion-based Image Editing With User Instructions
citation	248476411	258967371	0	VAST: A Vision-Audio-Subtitle-Text Omni-Modality Foundation Model and Dataset
citation	248476411	258959022	2	Plug-and-Play Document Modules for Pre-trained Models
citation	248476411	258960436	0	Adapting Language-Audio Models as Few-Shot Audio Learners
citation	248476411	258967932	0	KAFA: Rethinking Image Ad Understanding with Knowledge-Augmented Feature Adaptation of Vision-Language Models
citation	248476411	258960368	0	CrossGET: Cross-Guided Ensemble of Tokens for Accelerating Vision-Language Transformers
citation	248476411	258947631	0	A Reminder of its Brittleness: Language Reward Shaping May Hinder Learning for Instruction Following Agents
citation	248476411	258959284	2	Generating Images with Multimodal Language Models
citation	248476411	258947177	0	On Evaluating Adversarial Robustness of Large Vision-Language Models
citation	248476411	258947339	0	LANISTR: Multimodal Learning from Structured and Unstructured Data
citation	248476411	258947192	0	Hybrid Energy Based Model in the Feature Space for Out-of-Distribution Detection
citation	248476411	258947331	0	BiomedGPT: A Unified and Generalist Biomedical Generative Pre-trained Transformer for Vision, Language, and Multimodal Tasks
citation	248476411	258947535	0	Zero-shot Visual Question Answering with Language Model Feedback
citation	248476411	258947729	1	Emergent Agentic Transformer from Chain of Hindsight Experience
citation	248476411	258887944	1	ChatBridge: Bridging Modalities with Large Language Model as a Language Catalyst
citation	248476411	258887648	0	Enhancing the Ranking Context of Dense Retrieval Methods through Reciprocal Nearest Neighbors
citation	248476411	258887821	0	ChatCAD+: Towards a Universal and Reliable Interactive CAD using LLMs
citation	248476411	258947721	6	PandaGPT: One Model To Instruction-Follow Them All
citation	248476411	258865250	0	Exploring Diverse In-Context Configurations for Image Captioning
citation	248476411	258866097	0	ECHo: Event Causality Inference via Human-centric Reasoning
citation	248476411	258865326	0	Cheap and Quick: Efficient Vision-Language Instruction Tuning for Large Language Models
citation	248476411	258865444	0	Text Conditional Alt-Text Generation for Twitter Images
citation	248476411	258865186	0	DiffBlender: Scalable and Composable Multimodal Text-to-Image Diffusion Models
citation	248476411	258865469	0	PaCE: Unified Multi-modal Dialogue Pre-training with Progressive and Compositional Experts
citation	248476411	258865639	1	PathAsst: Redefining Pathology through Generative Foundation AI Assistant for Pathology
citation	248476411	258865950	1	LayoutGPT: Compositional Visual Planning and Generation with Large Language Models
citation	248476411	258866049	1	ImageNetVC: Zero-Shot Visual Commonsense Evaluation on 1000 ImageNet Categories
citation	248476411	258865772	0	Reinforcement Learning finetuned Vision-Code Transformer for UI-to-Code Generation
citation	248476411	258865718	3	EmbodiedGPT: Vision-Language Pre-Training via Embodied Chain of Thought
citation	248476411	258865952	1	IdealGPT: Iteratively Decomposing Vision and Language Reasoning via Large Language Models
citation	248476411	258865419	0	GRILL: Grounded Vision-language Pre-training via Aligning Text and Image Regions
citation	248476411	258840892	0	Perception Test: A Diagnostic Benchmark for Multimodal Video Models
citation	248476411	258841347	0	Let's Think Frame by Frame: Evaluating Video Chain of Thought with Video Infilling and Prediction
citation	248476411	258841099	1	MemeCap: A Dataset for Captioning and Interpreting Memes
citation	248476411	258841118	4	Improving Factuality and Reasoning in Language Models through Multiagent Debate
citation	248476411	258841131	0	Training Transitive and Commutative Multimodal Transformers with LoReTTa
citation	248476411	258841440	0	i-Code Studio: A Configurable and Composable Framework for Integrative AI
citation	248476411	258840973	0	Weakly-Supervised Learning of Visual Relations in Multimodal Pretraining
citation	248476411	258841035	1	LLM-grounded Diffusion: Enhancing Prompt Understanding of Text-to-Image Diffusion Models with Large Language Models
citation	248476411	258841635	1	VIP5: Towards Multimodal Foundation Models for Recommendation
citation	248476411	258841626	0	Images in Language Space: Exploring the Suitability of Large Language Models for Vision & Language Tasks
citation	248476411	258841642	1	CLIP4STR: A Simple Baseline for Scene Text Recognition with Pre-trained Vision-Language Model
citation	248476411	258841699	0	S-CLIP: Semi-supervised Vision-Language Pre-training using Few Specialist Captions
citation	248476411	258832930	0	VideoLLM: Modeling Video Sequence with Large Language Models
citation	248476411	258832908	0	Album Storytelling with Iterative Story-aware Captioning and Large Language Models
citation	248476411	258833704	0	VLAB: Enhancing Video Language Pre-training by Feature Adapting and Blending
citation	248476411	258832597	0	Enhance Reasoning Ability of Visual-Language Models via Large Language Models
citation	248476411	258833320	0	i-Code V2: An Autoregressive Generation Framework over Vision, Language, and Speech Data
citation	248476411	258833156	1	What Makes for Good Visual Tokenizers for Large Language Models?
citation	248476411	258833112	0	On the Trade-off of Intra-/Inter-class Diversity for Supervised Pre-training
citation	248476411	258833460	0	Prompt ChatGPT In MNER: Improved multimodal named entity recognition method based on auxiliary refining knowledge from ChatGPT
citation	248476411	258823141	0	Pengi: An Audio Language Model for Audio Tasks
citation	248476411	258823258	0	LLM Itself Can Read and Generate CXR Images
citation	248476411	258822817	1	Any-to-Any Generation via Composable Diffusion
citation	248476411	258823350	1	Multimodal Web Navigation with Instruction-Finetuned Foundation Models
citation	248476411	258823213	0	Enhancing Vision-Language Pre-Training with Jointly Learned Questioner and Dense Captioner
citation	248476411	258823403	0	Few-Shot Learning with Visual Distribution Calibration and Cross-Modal Distribution Alignment
citation	248476411	258762158	0	Semantically Aligned Task Decomposition in Multi-Agent Reinforcement Learning
citation	248476411	258762310	1	Paxion: Patching Action Knowledge in Video-Language Foundation Models
citation	248476411	258762316	0	Vision-Language Pre-training with Object Contrastive Learning for 3D Scene Understanding
citation	248476411	258762408	0	MedBLIP: Bootstrapping Language-Image Pre-training from 3D Medical Images and Texts
citation	248476411	258762390	2	ONE-PEACE: Exploring One General Representation Model Toward Unlimited Modalities
citation	248476411	258762519	0	Going Denser with Open-Vocabulary Part Segmentation
citation	248476411	258762579	6	VisionLLM: Large Language Model is also an Open-Ended Decoder for Vision-Centric Tasks
citation	248476411	258762560	0	Listen, Think, and Understand
citation	248476411	258762826	1	OpenShape: Scaling Up 3D Shape Representation Towards Open-World Understanding
citation	248476411	258823112	0	Semantic Anomaly Detection with Large Language Models
citation	248476411	258823458	0	Collaborative Generative AI: Integrating GPT-k for Efficient Editing in Text-to-Image Generation
citation	248476411	258740697	3	Evaluating Object Hallucination in Large Vision-Language Models
citation	248476411	258740893	1	What You See is What You Read? Improving Text-Image Alignment Evaluation
citation	248476411	258741360	1	PMC-VQA: Visual Instruction Tuning for Medical Visual Question Answering
citation	248476411	258762221	0	Rethinking Multimodal Content Moderation from an Asymmetric Angle with Mixed-modality
citation	248476411	258762299	0	IMAD: IMage-Augmented multi-modal Dialogue
citation	248476411	258777310	1	Accelerating the integration of ChatGPT and other large‐scale AI models into biomedical research and healthcare
citation	248476411	258685299	0	Mode Approximation Makes Good Multimodal Prompts
citation	248476411	258686381	1	Bridging the Domain Gap: Self-Supervised 3D Scene Understanding with Foundation Models
citation	248476411	258685422	2	On the Hidden Mystery of OCR in Large Multimodal Models
