query	53 references	8595 citations	Show, Attend and Tell: Neural Image Caption Generation with Visual Attention
citation	1055111	257783093	0	SFSS-Net:shape-awared filter and sematic-ranked sampler for voxel-based 3D object detection
citation	1055111	257496152	2	Interventional Bag Multi-Instance Learning On Whole-Slide Pathological Images
citation	1055111	257496389	0	Focus on Change: Mood Prediction by Learning Emotion Changes via Spatio-Temporal Attention
citation	1055111	257496352	1	ZeroNLG: Aligning and Autoencoding Domains for Zero-Shot Multimodal and Multilingual Natural Language Generation
citation	1055111	257496768	0	Learning Combinatorial Prompts for Universal Controllable Image Captioning
citation	1055111	257365705	0	Comparative study of Transformer and LSTM Network with attention mechanism on Image Captioning
citation	1055111	257365573	3	ConZIC: Controllable Zero-shot Image Captioning by Sampling-Based Polishing
citation	1055111	258465567	0	Attention Based Evolutionary Approach for Image Classification
citation	1055111	258869982	0	Deep Ensemble Architecture for Knee Osteoarthritis Severity Prediction and Report Generation*
citation	1055111	259123166	0	Image Dense Captioning of Irregular Regions Based on Visual Saliency
citation	1055111	255086691	1	Part-aware attention correctness for video salient object detection
citation	1055111	256493601	1	Power quality improvement using Distribution Static Synchronous Compensator
citation	1055111	257370183	0	Transformer-based local-global guidance for image captioning
citation	1055111	245624487	0	Vision-and-Language Navigation Based on Cross-Modal Feature Fusion in Indoor Environment
citation	1055111	252421522	1	Towards Zero-Shot Learning: A Brief Review and an Attention-Based Embedding Network
citation	1055111	247102871	2	Multistream 3-D Convolution Neural Network With Parameter Sharing for Human State Estimation
citation	1055111	257434562	0	A uniform transformer-based structure for feature fusion and enhancement for RGB-D saliency detection
citation	1055111	257449695	0	Mineral Prospectivity Mapping Using Attention–based Convolutional Neural Network
citation	1055111	257760613	0	SqueezExpNet: Dual-stage convolutional neural network for accurate facial expression recognition with attention mechanism
citation	1055111	257870622	1	Wavelet-Seq2Seq-LSTM with attention for time series forecasting of level of dams in hydroelectric power plants
citation	1055111	257891309	0	CAGCN: Causal attention graph convolutional network against adversarial attacks
citation	1055111	257296801	0	Semantic enhancement methods for image captioning
citation	1055111	258745851	0	Controllable Image Caption Based on Adaptive Weight and Optimization Strategy
citation	1055111	257079667	0	Learning to Infer Product Attribute Values From Descriptive Texts and Images
citation	1055111	257219734	8	Inseq: An Interpretability Toolkit for Sequence Generation Models
citation	1055111	257243320	0	Prediction of State of Health of Lithium-Ion Battery Using Health Index Informed Attention Model
citation	1055111	256630986	0	Understanding Social Media Cross-Modality Discourse in Linguistic Space
citation	1055111	257171674	0	Research on CNN-based hyperspectral and multispectral image fusion methods
citation	1055111	257124666	0	Temporal Pattern Attention for Multivariate Time Series of Tennis Strokes Classification
citation	1055111	257121884	0	Research on image captioning based on LSTM and YOLOv5 fusion attention mechanism
citation	1055111	257169742	0	Context-aware and co-attention network based image captioning model
citation	1055111	257050658	2	Parallel Sentence-Level Explanation Generation for Real-World Low-Resource Scenarios
citation	1055111	257106544	1	Reinforcement learning of non-additive joint steganographic embedding costs with attention mechanism
citation	1055111	257721056	0	Captioning Remote Sensing Images Using Transformer Architecture
citation	1055111	257071273	0	Hierarchical Attentive Network for Gestational Age Estimation in Low-Resource Settings
citation	1055111	256901128	1	Retrieval-augmented Image Captioning
citation	1055111	256905056	1	A Visual Attention-Based Model for Bengali Image Captioning
citation	1055111	256826762	1	Large Scale Multi-Lingual Multi-Modal Summarization Dataset
citation	1055111	257050403	0	See Your Heart: Psychological states Interpretation through Visual Creations
citation	1055111	256827089	0	Sketch Less Face Image Retrieval: A New Challenge
citation	1055111	256701737	0	Multilingual translation for zero-shot biomedical classification using BioTranslator
citation	1055111	256808676	2	Long-Tailed Partial Label Learning via Dynamic Rebalancing
citation	1055111	256758917	0	LBCRN: lightweight bidirectional correction residual network for image super-resolution
citation	1055111	259139699	0	A Local Attention-based Neural Networks for Abstractive Text Summarization
citation	1055111	256697198	0	Stacked Cross-modal Feature Consolidation Attention Networks for Image Captioning
citation	1055111	256632251	1	Image caption generation using Visual Attention Prediction and Contextual Spatial Relation Extraction
citation	1055111	256662201	0	Dual-interest Factorization-heads Attention for Sequential Recommendation
citation	1055111	256664984	0	Enough Waiting for the Couriers — Learning to Estimate Package Pick-up Arrival Time from Couriers’ Spatial-Temporal Behaviors
citation	1055111	258584034	0	Hybrid Image Captioning Model
citation	1055111	257432237	0	A Survey on Attention mechanism in NLP
citation	1055111	256615290	0	Transform, Contrast and Tell: Coherent Entity-Aware Multi-Image Captioning
citation	1055111	256584708	0	A CNN-LSTM-based model for fashion image aesthetic captioning
citation	1055111	256588446	0	Research on commodity image detection based on improved YOLOv5
citation	1055111	253876383	0	Extracting Worker Unsafe Behaviors from Construction Images Using Image Captioning with Deep Learning–Based Attention Mechanism
citation	1055111	254396466	1	Fusing high-resolution multispectral image with trajectory for user next travel location prediction
citation	1055111	255534454	0	ELSA: Ensemble learning based sentiment analysis for diversified text
citation	1055111	249526829	2	A 16-nm SoC for Noise-Robust Speech and NLP Edge AI Inference With Bayesian Sound Source Separation and Attention-Based DNNs
citation	1055111	256827118	1	Towards Local Visual Modeling for Image Captioning
citation	1055111	256936214	2	Human Action Recognition: A Taxonomy-Based Survey, Updates, and Opportunities
citation	1055111	256646073	1	State of the Art of Visual Analytics for eXplainable Deep Learning
citation	1055111	257649755	0	Conceptual Attention in StyleGAN
citation	1055111	256492999	0	CNN deep learning-based image to vector depiction
citation	1055111	256362104	0	Static information, K-neighbor, and self-attention aggregated scheme: a transient stability prediction model with enhanced interpretability
citation	1055111	256453489	2	Text Sentiment Classification Based on BERT Embedding and Sliced Multi-Head Self-Attention Bi-GRU
citation	1055111	256391173	0	DPACS: Hardware Accelerated Dynamic Neural Network Pruning through Algorithm-Architecture Co-design
citation	1055111	256274557	0	Semi-Supervised Image Captioning by Adversarially Propagating Labeled Data
citation	1055111	256274623	1	Open Problems in Applied Deep Learning
citation	1055111	256358690	0	Style-Aware Contrastive Learning for Multi-Style Image Captioning
citation	1055111	256194266	2	A two stages Deep Learning Architecture for Model Reduction of Parametric Time-Dependent Problems
citation	1055111	256105770	0	Explaining Deep Learning Hidden Neuron Activations using Concept Induction
citation	1055111	256105778	0	HRVQA: A Visual Question Answering Benchmark for High-Resolution Aerial Images
citation	1055111	256288570	1	Fashion-Oriented Image Captioning with External Knowledge Retrieval and Fully Attentive Gates
citation	1055111	256219792	0	Federated deep active learning for attention-based transaction classification
citation	1055111	256105118	1	Summarize the Past to Predict the Future: Natural Language Descriptions of Context Boost Multimodal Object Interaction
citation	1055111	255967032	0	Bottom-up and Top-down Object Inference Networks for Image Captioning
citation	1055111	257082740	0	Opportunities and Challenges in Development of Support System for Visually Impaired: A Survey
citation	1055111	255998461	3	Joint Representation Learning for Text and 3D Point Cloud
citation	1055111	256021455	2	Supervised Attention-Based Bidirectional Long Short-Term Memory Network for Nonlinear Dynamic Soft Sensor Application
citation	1055111	255998421	0	Embodied Agents for Efficient Exploration and Smart Scene Description
citation	1055111	255942711	2	UATVR: Uncertainty-Adaptive Text-Video Retrieval
citation	1055111	252316914	0	A Fine-Grained Attention Model for High Accuracy Operational Robot Guidance
citation	1055111	255898632	0	Pyramid feature boosted network for single image dehazing
citation	1055111	256808405	0	A Novel Improved Mask RCNN for Multiple Targets Detection in the Indoor Complex Scenes
citation	1055111	255440590	0	Adaptively Clustering Neighbor Elements for Image Captioning
citation	1055111	255497366	0	Visual question answering model for fruit tree disease decision-making based on multimodal deep learning
citation	1055111	255393673	0	Further Improving Weakly-supervised Object Localization via Causal Knowledge Distillation
citation	1055111	255638287	0	Pan-sharpening of remote sensing images based on gradient projection and cross fusion
citation	1055111	248608518	0	Vagueness in Artificial Intelligence: The ‘Fuzzy Logic’ of AI-Related Patent Claims
citation	1055111	256150898	0	Applications of machine learning in tabular document digitisation
citation	1055111	256661156	2	Expert-defined Keywords Improve Interpretability of Retinal Image Captioning
citation	1055111	250723571	0	Clinical Validation and Treatment Plan Evaluation Based on Autodelineation of the Clinical Target Volume for Prostate Cancer Radiotherapy
citation	1055111	252630991	0	Deep arrhythmia classification based on SENet and lightweight context transform.
citation	1055111	253691546	2	Fault diagnosis based on gated recurrent unit network with attention mechanism and transfer learning under few samples in nuclear power plants
citation	1055111	251849518	0	TCRNet: A Trifurcated Cascaded Refinement Network for Salient Object Detection
citation	1055111	251664268	1	Diverse Feature Learning Network With Attention Suppression and Part Level Background Suppression for Person Re-Identification
citation	1055111	255675508	0	Contrastive pre-training and linear interaction attention-based transformer for universal medical reports generation
citation	1055111	255713291	0	Graph attention reinforcement learning with flexible matching policies for multi-depot vehicle routing problems
citation	1055111	255928607	0	Network representation learning via improved random walk with restart
citation	1055111	256295391	0	Relational-Convergent Transformer for image captioning
citation	1055111	256382651	1	Interpretable local flow attention for multi-step traffic flow prediction
citation	1055111	256434453	0	Self-supervised recalibration network for person re-identification
citation	1055111	256645559	1	Couplformer: Rethinking Vision Transformer with Coupling Attention
citation	1055111	256646187	0	Aggregating Bilateral Attention for Few-Shot Instance Localization
citation	1055111	256669074	0	Privacy-Aware Forecasting of Quality of Service in Mobile Edge Computing
citation	1055111	255415872	2	Unpacking the "Black Box" of AI in Education
citation	1055111	255340485	0	On the Interpretability of Attention Networks
citation	1055111	259215746	0	Bengali Caption Generation for Images Using Deep Learning
citation	1055111	255186699	0	SSR-Net: A Spatial Structural Relation Network for Vehicle Re-identification
citation	1055111	255264583	0	Price movement prediction using deep learning: a case study of the China futures market
citation	1055111	257083314	1	Traffic Captioning: Deep Learning-based Method to Understand and Describe Traffic Images
citation	1055111	255186162	1	Noise-aware Learning from Web-crawled Image-Text Data for Image Captioning
citation	1055111	255096964	0	Dynamic Convolution-based Encoder-Decoder Framework for Image Captioning in Hindi
