query	49 references	492 citations	Meshed-Memory Transformer for Image Captioning
citation	219635470	256827118	1	Towards Local Visual Modeling for Image Captioning
citation	219635470	257719718	0	CTA: Hardware-Software Co-design for Compressed Token Attention Mechanism
citation	219635470	256385370	0	Image Captioning Generator and Comparison Study
citation	219635470	256274557	0	Semi-Supervised Image Captioning by Adversarially Propagating Labeled Data
citation	219635470	256288570	1	Fashion-Oriented Image Captioning with External Knowledge Retrieval and Fully Attentive Gates
citation	219635470	256105220	0	Visual Semantic Relatedness Dataset for Image Captioning
citation	219635470	255967032	0	Bottom-up and Top-down Object Inference Networks for Image Captioning
citation	219635470	255998421	0	Embodied Agents for Efficient Exploration and Smart Scene Description
citation	219635470	255905958	0	Vision Enhanced Generative Pre-trained Language Model for Multimodal Sentence Summarization
citation	219635470	258009239	0	CITE: Compact Interactive TransformEr for Multilingual Image Captioning
citation	219635470	255522451	2	End-to-End 3D Dense Captioning with Vote2Cap-DETR
citation	219635470	255440590	0	Adaptively Clustering Neighbor Elements for Image Captioning
citation	219635470	256652844	3	Fashion Image Retrieval with Text Feedback by Additive Attention Compositional Learning
citation	219635470	255186162	1	Noise-aware Learning from Web-crawled Image-Text Data for Image Captioning
citation	219635470	255096964	0	Dynamic Convolution-based Encoder-Decoder Framework for Image Captioning in Hindi
citation	219635470	254974529	0	Confidence-Aware Paced-Curriculum Learning by Label Smoothing for Surgical Scene Understanding
citation	219635470	254904999	0	Layer-wise enhanced transformer with multi-modal fusion for image caption
citation	219635470	256315090	0	Improving Radiology Report Generation via Object Dropout Strategy and MLP-based Captioner
citation	219635470	255994913	0	Dual-stream Self-attention Network for Image Captioning
citation	219635470	254275438	4	Semantic-Conditional Diffusion Networks for Image Captioning
citation	219635470	255417861	0	Clinically Coherent Radiology Report Generation with Imbalanced Chest X-rays
citation	219635470	254247022	2	Controllable Image Captioning via Prompting
citation	219635470	254045294	0	An integration of Pseudo Anomalies and Memory Augmented Autoencoder for Video Anomaly Detection
citation	219635470	254096325	0	Uncertainty-Aware Image Captioning
citation	219635470	254043612	0	Task-aware asynchronous multi-task model with class incremental contrastive learning for surgical scene understanding
citation	219635470	254044466	0	CLID: Controlled-Length Image Descriptions with Limited Data
citation	219635470	253828769	0	Separate Syntax and Semantics: Part-of-Speech-Guided Transformer for Image Captioning
citation	219635470	253735413	6	Exploring Discrete Diffusion Models for Image Captioning
citation	219635470	253734818	1	How to Describe Images in a More Funny Way? Towards a Modular Approach to Cross-Modal Sarcasm Generation
citation	219635470	253735108	2	VER: Learning Natural Language Representations for Verbalizing Entities and Relations
citation	219635470	253734458	3	ArtELingo: A Million Emotion Annotations of WikiArt with Emphasis on Diversity over Language and Culture
citation	219635470	253581736	4	Language Conditioned Spatial Relation Reasoning for 3D Object Grounding
citation	219635470	255265500	0	A complete human verified Turkish caption dataset for MS COCO and performance evaluation with well-known image caption models trained against it
citation	219635470	253446846	0	VieCap4H-VLSP 2021: ObjectAoA - Enhancing performance of Object Relation Transformer with Attention on Attention for Vietnamese image captioning
citation	219635470	253370358	1	OSIC: A New One-Stage Image Captioner Coined
citation	219635470	253265349	0	CAMANet: Class Activation Map Guided Attention Network for Radiology Report Generation
citation	219635470	253905588	1	Modeling graph-structured contexts for image captioning
citation	219635470	253658119	0	Semantic space captioner: generating image captions step by step
citation	219635470	253123249	2	ViA: A Novel Vision-Transformer Accelerator Based on FPGA
citation	219635470	253186597	4	Double-Stream Position Learning Transformer Network for Image Captioning
citation	219635470	249814970	1	SentiStory: A Multi-Layered Sentiment-Aware Generative Model for Visual Storytelling
citation	219635470	256463088	0	FineFormer: Fine-Grained Adaptive Object Transformer for Image Captioning
citation	219635470	256033858	0	A Multi-scale Approach for Vietnamese Image Captioning in Healthcare Domain
citation	219635470	253097943	1	Towards Unifying Reference Expression Generation and Comprehension
citation	219635470	253018728	1	Visual Spatial Description: Controlled Spatial-Oriented Image-to-Text Generation
citation	219635470	258060164	0	Prophet Attention: Predicting Attention with Future Attention for Image Captioning
citation	219635470	252904928	0	Look Twice as Much as You Say: Scene Graph Contrastive Learning for Self-Supervised Image Caption Generation
citation	219635470	253346884	0	CSTNET: Enhancing Global-To-Local Interactions for Image Captioning
citation	219635470	252907742	0	Vision Transformer Visualization: What Neurons Tell and How Neurons Behave?
citation	219635470	252846468	11	Multi-Granularity Cross-modal Alignment for Generalized Medical Visual Representation Learning
citation	219635470	252840716	0	Multi-feature fusion enhanced transformer with multi-layer fused decoding for image captioning
citation	219635470	252782111	3	Progressive Tree-Structured Prototype Network for End-to-End Image Captioning
citation	219635470	252782976	3	MMT: Image-guided Story Ending Generation with Multimodal Memory Transformer
citation	219635470	252783076	1	Image Understanding by Captioning with Differentiable Architecture Search
citation	219635470	252783135	2	Unsupervised and Pseudo-Supervised Vision-Language Alignment in Visual Dialog
citation	219635470	248921640	0	LANBIQUE: LANguage-based Blind Image QUality Evaluation
citation	219635470	252811365	1	PL-Transformer: a POS-aware and layer ensemble transformer for text classification
citation	219635470	255394080	0	Progressive Text-to-Image Generation
citation	219635470	252693009	1	Learning to Collocate Visual-Linguistic Neural Modules for Image Captioning
citation	219635470	252715427	1	Affection: Learning Affective Explanations for Real-World Visual Data
citation	219635470	253423925	0	Multi-view Attention with Memory Assistant for Image Captioning
citation	219635470	253123908	0	Vi-DRSNet: A Novel Hybrid Model for Vietnamese Image Captioning in Healthcare Domain
citation	219635470	253467044	1	Rethinking Feature Extraction: Gradient-Based Localized Feature Extraction for End-To-End Surgical Downstream Tasks
citation	219635470	251205472	2	FloorplanGAN: Vector residential floorplan adversarial generation
citation	219635470	249220818	4	Vision-Enhanced and Consensus-Aware Transformer for Image Captioning
citation	219635470	258068271	0	Lightweight Transformer with GRU Integrated Decoder for Image Captioning
citation	219635470	252768930	0	Image-Caption Model Based on Fusion Feature
citation	219635470	252568043	1	Human-in-the-loop Robotic Grasping Using BERT Scene Representation
citation	219635470	252531372	0	Word to Sentence Visual Semantic Similarity for Caption Generation: Lessons Learned
citation	219635470	252531901	0	Paraphrasing Is All You Need for Novel Object Captioning
citation	219635470	253803633	0	A Survey of Deep learning-based Image caption
citation	219635470	252449039	0	Input enhanced asymmetric transformer for image captioning
citation	219635470	252367787	3	Learning Distinct and Representative Modes for Image Captioning
citation	219635470	252368295	1	Belief Revision Based Caption Re-ranker with Visual Semantic Information
citation	219635470	252344571	2	Multilevel attention and relation network based image captioning model
citation	219635470	252090065	2	Every picture tells a story: Image-grounded controllable stylistic story generation
citation	219635470	247353013	3	Adaptive Path Selection for Dynamic Image Captioning
citation	219635470	248587516	0	Energy-Efficient Online Scheduling of Transformer Inference Services on GPU Servers
citation	219635470	252574390	2	Graph neural network-based visual relationship and multilevel attention for image captioning
citation	219635470	257719607	0	Graph Alignment Transformer for More Grounded Image Captioning
citation	219635470	252847304	0	MMCN: Multi-Modal Co-attention Network for Medical Visual Question Answering
citation	219635470	254610997	0	Automatic Indonesian Image Captioning using CNN and Transformer-Based Model Approach
citation	219635470	251711307	1	An Object Localization-based Dense Image Captioning Framework in Hindi
citation	219635470	251743693	15	AAP-MIT: Attentive Atrous Pyramid Network and Memory Incorporated Transformer for Multisentence Video Description
citation	219635470	251719362	5	A Medical Semantic-Assisted Transformer for Radiographic Report Generation
citation	219635470	254099509	0	Improved Transformer with Parallel Encoders for Image Captioning
citation	219635470	253421929	0	Hybrid-Spatial Transformer for Image Captioning
citation	219635470	251643619	7	GSRFormer: Grounded Situation Recognition Transformer with Alternate Semantic Attention Refinement
citation	219635470	251544167	0	Incorporating retrieval-based method for feature enhanced image captioning
citation	219635470	251493180	11	HERO: HiErarchical spatio-tempoRal reasOning with Contrastive Action Correspondence for End-to-End Video Object Grounding
citation	219635470	251403041	1	Distinctive Image Captioning via CLIP Guided Group Optimization
citation	219635470	254351737	0	The Role of Transformer-based Image Captioning for Indoor Environment Visual Understanding
citation	219635470	251370286	0	Sliding space-disparity transformer for stereo matching
citation	219635470	252166889	0	Skipped-Connection Transformer for Image Captioning*
citation	219635470	251875111	0	Local-global visual interaction attention for image captioning
citation	219635470	251971495	0	Uncertainty-aware report generation for chest X-rays by variational topic inference
citation	219635470	251196713	2	ALADIN: Distilling Fine-grained Alignment Scores for Efficient Image-Text Matching and Retrieval
citation	219635470	251108880	0	SIG-Former: monocular surgical instruction generation with transformers
citation	219635470	251104967	3	Iterative Scene Graph Generation
citation	219635470	251104951	13	Retrieval-Augmented Transformer for Image Captioning
citation	219635470	252395170	0	Image Caption Method Based on Graph Attention Network with Global Context
citation	219635470	251040408	3	Is GPT-3 all you need for Visual Question Answering in Cultural Heritage?
citation	219635470	251018407	9	Rethinking the Reference-based Distinctive Image Captioning
citation	219635470	251018605	4	Efficient Modeling of Future Context for Image Captioning
citation	219635470	250698884	24	GRIT: Faster and Better Image captioning Transformer Using Dual Visual Features
citation	219635470	251847651	0	Dynamic Transformer for Image Captioning
citation	219635470	250626683	5	Unifying Event Detection and Captioning as Sequence Generation via Pre-Training
citation	219635470	251846986	1	Improving Image Paragraph Captioning with Dual Relations
citation	219635470	251848067	0	Relational Graph Reasoning Transformer for Image Captioning
citation	219635470	250496989	2	Adaptive Text Denoising Network for Image Caption Editing
citation	219635470	252342447	0	Feature-Fusion Parallel Decoding Transformer for Image Captioning
citation	219635470	250451078	2	A Baseline for Detecting Out-of-Distribution Examples in Image Captioning
citation	219635470	250426167	6	Cross-modal Prototype Driven Network for Radiology Report Generation
citation	219635470	250426135	1	FSHMEM: Supporting Partitioned Global Address Space on FPGAs for Large-Scale Hardware Acceleration Infrastructure
citation	219635470	250426368	1	Horizontal and Vertical Attention in Transformers
citation	219635470	250425831	2	CoMER: Modeling Coverage for Transformer-based Handwritten Mathematical Expression Recognition
citation	219635470	250426538	2	BOSS: Bottom-up Cross-modal Semantic Composition with Hybrid Counterfactual Training for Robust Content-based Image Retrieval
citation	219635470	250334615	1	ExpansionNet: exploring the sequence length bottleneck in the Transformer for Image Captioning
citation	219635470	250264390	1	Attributed Abnormality Graph Embedding for Clinically Accurate X-Ray Report Generation
citation	219635470	250279760	0	Are metrics measuring what they should? An evaluation of image captioning task metrics
citation	219635470	250253261	1	Dual-Modal Transformer with Enhanced Inter- and Intra-Modality Interactions for Image Captioning
citation	219635470	250630409	9	S2 Transformer for Image Captioning
citation	219635470	250714667	1	Affective word embedding in affective explanation generation for fine art paintings
citation	219635470	250244065	2	Rethinking Surgical Captioning: End-to-End Window-Based MLP Transformer Using Patches
citation	219635470	251765356	2	A Spatio- Temporal Attentive Network for Video-Based Crowd Counting
citation	219635470	250192188	2	Deep Vision Multimodal Learning: Methodology, Benchmark, and Trend
citation	219635470	250288254	8	Attention-Aligned Transformer for Image Captioning
citation	219635470	250113782	0	ZoDIAC: Zoneout Dropout Injection Attention Calculation
citation	219635470	249960356	2	Improving Image Captioning via Enhancing Dual-Side Context Awareness
citation	219635470	249960256	0	Improve Image Captioning by Modeling Dynamic Scene Graph Extension
citation	219635470	249960378	1	OCR-oriented Master Object for Text Image Captioning
citation	219635470	250107033	2	UAT: Universal Attention Transformer for Video Captioning
citation	219635470	236460239	41	Competence-based Multimodal Curriculum Learning for Medical Report Generation
citation	219635470	249926686	2	Surgical-VQA: Visual Question Answering in Surgical Scenes using Transformer
citation	219635470	249885869	8	Knowing What to Learn: A Metric-Oriented Focal Mechanism for Image Captioning
citation	219635470	249939755	2	A Mask-Guided Transformer Network with Topic Token for Remote Sensing Image Captioning
citation	219635470	249642175	55	Multimodal Learning with Transformers: A Survey
citation	219635470	249431622	0	Improving Image Captioning with Control Signal of Sentence Quality
citation	219635470	249440365	2	Incorporating structured emotion commonsense knowledge and interpersonal relation into context-aware emotion recognition
citation	219635470	249916633	11	DeeCap: Dynamic Early Exiting for Efficient Image Captioning
citation	219635470	249642656	26	Comprehending and Ordering Semantics for Image Captioning
citation	219635470	250520562	11	Show, Deconfound and Tell: Image Captioning with Causal Inference
citation	219635470	250563752	7	DIFNet: Boosting Visual Information Flow for Image Captioning
citation	219635470	251020112	14	The Unreasonable Effectiveness of CLIP Features for Image Captioning: An Experimental Analysis
citation	219635470	250980730	20	3DJCG: A Unified Framework for Joint Dense Captioning and Visual Grounding on 3D Point Clouds
citation	219635470	249191288	0	Variational Transformer: A Framework Beyond the Trade-off between Accuracy and Diversity for Image Captioning
citation	219635470	252647793	15	M-FFN: multi-scale feature fusion network for image captioning
citation	219635470	248768445	0	A variational auto-encoder framework with attention mechanism for image captioning
citation	219635470	248762420	3	Enhance understanding and reasoning ability for image captioning
citation	219635470	248693482	2	A Comprehensive Survey of Automated Audio Captioning
citation	219635470	248572429	13	Beyond a Pre-Trained Object Detector: Cross-Modal Textual and Visual Context for Image Captioning
citation	219635470	248562568	3	Dual-Level Decoupled Transformer for Video Captioning
citation	219635470	248514098	5	Automated Radiographic Report Generation Purely on Transformer: A Multicriteria Supervised Approach
citation	219635470	248496343	14	UTC: A Unified Transformer with Inter-Task Contrastive Learning for Visual Dialog
citation	219635470	252312145	0	A Survey of Image Captioning Algorithms Based on Deep Learning
citation	219635470	248602580	2	Effective Pre-Training Method and Its Compositional Intelligence for Image Captioning
citation	219635470	248427256	0	Controllable Image Captioning
citation	219635470	248405744	1	CapOnImage: Context-driven Dense-Captioning on Image
citation	219635470	248391953	1	Super-Prompting: Utilizing Model-Independent Contextual Data to Reduce Data Annotation Required in Visual Commonsense Tasks
citation	219635470	254275049	5	SceneTrilogy: On Human Scene-Sketch and its Complementarity with Photo and Text
citation	219635470	248366424	10	Spatiality-guided Transformer for 3D Dense Captioning on Point Clouds
citation	219635470	248300068	0	Perception Visualization: Seeing Through the Eyes of a DNN
citation	219635470	248227560	8	Towards Lightweight Transformer Via Group-Wise Transformation for Vision-and-Language Tasks
citation	219635470	248218435	2	Guiding Attention using Partial-Order Relationships for Image Captioning
citation	219635470	248227685	8	It is Okay to Not Be Okay: Overcoming Emotional Bias in Affective Image Captioning by Contrastive Data Collection
citation	219635470	248136145	0	A local representation-enhanced recurrent convolutional network for image captioning
citation	219635470	248220819	0	Scene captioning with deep fusion of images and point clouds
citation	219635470	248250638	5	Decoding Selective Auditory Attention with EEG using A Transformer Model.
citation	219635470	247839345	20	TransEditor: Transformer-Based Dual-Space GAN for Highly Controllable Facial Editing
citation	219635470	247793987	28	TubeDETR: Spatio-Temporal Video Grounding with Transformers
citation	219635470	247839845	12	VL-InterpreT: An Interactive Visualization Tool for Interpreting Vision-Language Transformers
citation	219635470	247778753	13	Vision Transformers in Medical Computer Vision - A Contemplative Retrospection
citation	219635470	247778466	19	End-to-End Transformer Based Model for Image Captioning
citation	219635470	247793745	7	NICGSlowDown: Evaluating the Efficiency Robustness of Neural Image Caption Generation Models
citation	219635470	247788375	0	Towards a large-scale person search by vietnamese natural language: dataset and methods
citation	219635470	243973878	38	A General Survey on Attention Mechanisms in Deep Learning
citation	219635470	247727343	2	Learning cross-modality features for image caption generation
citation	219635470	247647272	0	Caption TLSTMs: combining transformer with LSTMs for image captioning
citation	219635470	238208093	29	AlignTransformer: Hierarchical Alignment of Visual Regions and Disease Tags for Medical Report Generation
citation	219635470	247491459	3	Semantic association enhancement transformer with relative position for image captioning
citation	219635470	247447136	1	Taking an Emotional Look at Video Paragraph Captioning
citation	219635470	247411059	0	Font Shape-to-Impression Translation
citation	219635470	247362647	1	Knowledge-Enriched Attention Network With Group-Wise Semantic for Visual Storytelling
citation	219635470	247362532	5	StyleBabel: Artistic Style Tagging and Captioning
citation	219635470	247362537	9	NLX-GPT: A Model for Natural Language Explanations in Vision and Vision-Language Tasks
citation	219635470	247315573	4	Image Search with Text Feedback by Additive Attention Compositional Learning
citation	219635470	247240162	0	When Pairs Meet Triplets: Improving Low-Resource Captioning via Multi-Objective Optimization
citation	219635470	247218430	15	X -Trans2Cap: Cross-Modal Knowledge Transfer using Transformer for 3D Dense Captioning
citation	219635470	247025790	11	CaMEL: Mean Teacher Learning for Image Captioning
citation	219635470	246815287	11	Image captioning model using attention and object features to mimic human image understanding
citation	219635470	246652429	3	Inference of captions from histopathological patches
citation	219635470	246634787	0	Catch Me if You Can: A Novel Task for Detection of Covert Geo-Locations (CGL)
citation	219635470	246566716	1	Image-Captioning Model Compression
citation	219635470	246834890	5	Cross Encoder-Decoder Transformer with Global-Local Visual Extractor for Medical Image Captioning
citation	219635470	244220470	9	Revisiting image captioning via maximum discrepancy competition
citation	219635470	246430542	0	Deep Learning Approaches on Image Captioning: A Review
citation	219635470	248178267	4	A Frustratingly Simple Approach for End-to-End Image Captioning
citation	219635470	246240729	97	Transformers in Medical Imaging: A Survey
citation	219635470	246240082	6	Improving Chest X-Ray Report Generation by Leveraging Warm-Starting
citation	219635470	245987157	2	Backpropagation-Based Decoding for Multimodal Machine Translation
citation	219635470	245948459	0	Incorporating attentive multi-scale context information for image captioning
citation	219635470	245769906	5	Compact Bidirectional Transformer for Image Captioning
citation	219635470	246872138	2	Improve Image Captioning by Estimating the Gazing Patterns from the Caption
citation	219635470	246339563	10	Data-efficient image captioning of fine art paintings via virtual-real semantic alignment training
citation	219635470	246420371	4	ACORT: A Compact Object Relation Transformer for Parameter Efficient Image Captioning
citation	219635470	245537457	0	Synchronized Audio-Visual Frames with Fractional Positional Encoding for Transformers in Video-to-Text Translation
citation	219635470	245537675	0	Extended Self-Critical Pipeline for Transforming Videos to Text (TRECVID-VTT Task 2021) - Team: MMCUniAugsburg
citation	219635470	245424641	24	Cross Modal Retrieval with Querybank Normalisation
citation	219635470	245218943	7	TransZero++: Cross Attribute-Guided Transformer for Zero-Shot Learning
citation	219635470	245187599	4	Efficient Channel Attention Based Encoder–Decoder Approach for Image Captioning in Hindi
citation	219635470	246532479	0	Image Captioning Based on An Improved Transformer with IoU Position Encoding
citation	219635470	245124461	15	MAGIC: Multimodal relAtional Graph adversarIal inferenCe for Diverse and Unpaired Text-based Image Captioning
citation	219635470	245117748	1	Visual Transformers with Primal Object Queries for Multi-Label Image Classification
citation	219635470	245117789	29	Injecting Semantic Concepts into End-to-End Image Captioning
citation	219635470	244896293	7	Hybrid Instance-aware Temporal Fusion for Online Video Instance Segmentation
citation	219635470	244896547	29	TransZero: Attribute-guided Transformer for Zero-Shot Learning
citation	219635470	244798910	4	Object-Centric Unsupervised Image Captioning
citation	219635470	244862941	17	Aligning Source Visual and Target Language Domains for Unpaired Video Captioning
citation	219635470	245205987	9	A CNN-transformer hybrid approach for decoding visual neural activity into text
citation	219635470	240358907	2	Language Based Image Quality Assessment
citation	219635470	244728216	14	Monte Carlo denoising via auxiliary feature guided self-attention
citation	219635470	245839068	6	S2TD: A Tree-Structured Decoder for Image Paragraph Captioning
citation	219635470	244556055	0	An Implementation of the "Guess Who?" Game Using CLIP
citation	219635470	253176366	0	A Picture is Worth a Thousand Words: Using Cross-Modal Transformers and Variational AutoEncoders to Generate Images from Text
citation	219635470	244714558	50	ZeroCap: Zero-Shot Image-to-Text Generation for Visual-Semantic Arithmetic
citation	219635470	244729197	8	Neural attention for image captioning: review of outstanding methods
citation	219635470	244527510	97	Scaling Up Vision-Language Pretraining for Image Captioning
citation	219635470	247778870	6	Universal Captioner: Inducing Content-Style Separation in Vision-and-Language Model Training
citation	219635470	246289766	4	Memory transformer with hierarchical attention for long document processing
citation	219635470	244568974	16	A deep learning‐based image captioning method to automatically generate comprehensive explanations of bridge damage
citation	219635470	244478553	7	L-Verse: Bidirectional Generation Between Image and Text
citation	219635470	244092642	11	Bi-Directional Co-Attention Network for Image Captioning
